Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Henry Bolte,RHB,ATH,Yusei Kikuchi,L,28.5,26.5,30,67.4,38
Willson Contreras,RHB,BOS,Parker Messick,L,50.5,42.9,26.3,39.5,37.8
Nolan Gorman,LHB,STL,Jared Jones,R,30.2,42.9,21.4,53.3,37.8
Yordan Alvarez,LHB,HOU,Logan Gilbert,R,28.8,41.5,19.8,57.7,37.8
Luis Garcia Jr.,LHB,NYY,Nick Martinez,R,37.6,32.9,43.5,32.9,36.6
Ryan Jeffers,RHB,MIN,Anthony Molina,R,48.9,40,30.9,29.9,35.6
Ben Rice,LHB,NYY,Nick Martinez,R,41.6,29.2,38.6,36.5,35.1
Grant McCray,LHB,SF,Taj Bradley,R,52.4,31.4,19.8,51,34.9
Kyle Schwarber,LHB,PHI,Dustin May,R,27.5,43.8,27.5,33.3,34.7
Pete Crow-Armstrong,LHB,CHC,Janson Junk,R,31.6,25.7,39.7,42.7,34.7
Juan Soto,LHB,NYM,MacKenzie Gore,L,24.4,30.9,33.9,43.7,34.3
Yainer Diaz,RHB,HOU,Logan Gilbert,R,27.4,30.7,33.8,41.9,34.1
Elias Diaz,RHB,TEX,Sean Manaea,L,22.5,38.5,33,33,33.9
James Wood,LHB,WSH,Drew Anderson,R,37.1,44.7,11.1,43.7,33.6
Justin Foscue,RHB,TEX,Sean Manaea,L,32.2,29.1,22.5,51.5,33
Josh Bell,SHB,MIN,Anthony Molina,R,33.5,34,16.2,50.4,32.7
Jake McCarthy,LHB,COL,Michael Soroka,R,48.7,36,16.9,40.6,32.7
Jonah Heim,SHB,ATH,Yusei Kikuchi,L,33.5,30.2,35.5,30,32.1
Denzer Guzman,RHB,LAA,Brady Basso,L,7.7,41.4,37.3,20.3,31.5
Cole Carrigg,SHB,COL,Michael Soroka,R,26.4,24.9,21.5,52.7,31
Yohandy Morales,RHB,WSH,Drew Anderson,R,7.7,31.4,31.4,39.1,31
Zach Neto,RHB,LAA,Brady Basso,L,43,23.9,24,43.6,30.8
Derek Hill,RHB,PHI,Dustin May,R,32.8,23.1,28,43.2,30.6
Nolan Arenado,RHB,ARI,Kyle Freeland,L,41.9,15.3,26.9,52,30.6
Zac Veen,LHB,COL,Michael Soroka,R,34.7,26.9,25.9,38.9,30.4
Lars Nootbaar,LHB,ARI,Kyle Freeland,L,35.6,35.4,12.7,41.3,30.1
Randal Grichuk,RHB,CWS,Daniel Lynch IV,L,41.2,38,17.7,29.1,30
Gabriel Moreno,RHB,ARI,Kyle Freeland,L,14,32.7,32.7,29.2,30
Sean Keys,LHB,TOR,Chris Bassitt,R,43.3,28.2,28.6,28.2,29.8
Shea Langeliers,RHB,ATH,Yusei Kikuchi,L,23.4,36.6,18.5,36.2,29.8
Vinnie Pasquantino,LHB,KC,Anthony Kay,L,30.5,33.6,30.5,23.4,29.8
Seiya Suzuki,RHB,CHC,Janson Junk,R,45.6,24.8,25.9,34.6,29.7
Ian Happ,SHB,CHC,Janson Junk,R,29,18.8,27.4,47.6,29.6
Michael Busch,LHB,CHC,Janson Junk,R,43.2,21.6,17.9,47.8,29.2
Yandy Diaz,RHB,TB,Carlos Rodon,L,11.3,37,17.5,38.3,28.9
Francisco Alvarez,RHB,NYM,MacKenzie Gore,L,24.4,27.1,31,30.7,28.9
Carter Jensen,LHB,KC,Anthony Kay,L,36.7,25.5,23.6,36.7,28.8
Bobby Witt Jr.,RHB,KC,Anthony Kay,L,22.7,33.7,12.7,43.6,28.8
Matt Shaw,RHB,CHC,Janson Junk,R,28.5,27.9,24.6,35.1,28.8
Gabriel Arias,RHB,CHC,Janson Junk,R,39.9,27.4,24.5,30.9,28.7
Max Muncy,RHB,ATH,Yusei Kikuchi,L,34.3,26.1,20.9,39.4,28.7
Adael Amador,SHB,COL,Michael Soroka,R,29.4,23.2,29.3,35,28.6
Miguel Vargas,RHB,CWS,Daniel Lynch IV,L,25.2,23.8,16.9,49.4,28.3
Kyle Karros,RHB,COL,Michael Soroka,R,50.6,16.1,22.9,42.6,28.2
Jake Rogers,RHB,CWS,Daniel Lynch IV,L,31.2,39.5,8,34.9,28.1
Edmundo Sosa,RHB,PHI,Dustin May,R,24.6,29.4,20.1,36.8,28
Ildemaro Vargas,SHB,ARI,Kyle Freeland,L,31.9,14.7,27.1,42.5,27.1
Spencer Jones,LHB,NYY,Nick Martinez,R,35.2,21.9,21.9,36.5,26.9
Ke'Bryan Hayes,RHB,CIN,JR Ritchie,R,40.8,33.3,16.6,24.9,26.9
Chase DeLauter,LHB,CLE,Payton Tolle,L,58.9,28.4,22.1,17.4,26.8
Ketel Marte,SHB,ARI,Kyle Freeland,L,28.5,24,17.2,41.4,26.8
Jac Caglianone,LHB,KC,Anthony Kay,L,34.5,19.4,25.4,35.4,26.7
Kody Clemens,LHB,MIN,Anthony Molina,R,29.5,26.8,23.1,28.8,26.5
David Fry,RHB,CLE,Payton Tolle,L,10.9,12.1,22,58.4,26.5
Hao-Yu  Lee,RHB,DET,Jackson Kent,L,19,24,18.2,42.5,26.4
Julio Rodriguez,RHB,SEA,Cristian Javier,R,30.9,18.7,12.6,52,26.4
Christian Walker,RHB,HOU,Logan Gilbert,R,32.1,23.9,25.3,28.5,26.3
Jose Siri,RHB,LAA,Brady Basso,L,18.9,29.4,20.9,31.3,26.3
Moisés Ballesteros,LHB,LAA,Brady Basso,L,42.2,35.2,,39.1,26.3
Jake Burger,RHB,TEX,Sean Manaea,L,52.4,17.9,19.5,35.5,26.2
Brenton Doyle,RHB,CWS,Daniel Lynch IV,L,36.3,26.7,9.6,41.4,26.2
Corbin Carroll,LHB,ARI,Kyle Freeland,L,37.6,21,18.3,38.3,26.2
William Contreras,RHB,MIL,Zack Wheeler,R,34,23.2,21.4,31.6,25.8
Mickey Moniak,LHB,COL,Michael Soroka,R,33.8,21.2,15.5,41,25.7
Davis Schneider,RHB,TOR,Chris Bassitt,R,45.2,22.1,22.1,25.5,25.3
Christian Encarnacion-Strand,RHB,BAL,Max Scherzer,R,32.7,31.4,10.3,31.7,25.3
Pete Alonso,RHB,BAL,Max Scherzer,R,39.5,11.1,28.3,35.6,25.2
Colton Cowser,LHB,BAL,Max Scherzer,R,41.2,34.1,17.4,15.7,25.2
Ozzie Albies,SHB,ATL,Brandon Williamson,L,25.1,17.7,23.9,36.5,25
Taylor Trammell,LHB,HOU,Logan Gilbert,R,29.1,31.3,9.5,33.3,25
Andy Pages,RHB,LAD,Michael King,R,17.3,26.6,19,32.7,24.9
LaMonte Wade Jr.,LHB,HOU,Logan Gilbert,R,27.1,12.6,18.9,47.7,24.7
Jeremy Pena,RHB,HOU,Logan Gilbert,R,56.6,20.8,16.3,27,24.6
Daylen Lile,LHB,WSH,Drew Anderson,R,13.4,19.1,19.5,43,24.6
Oneil Cruz,LHB,PIT,Andre Pallante,R,40.5,28,12.3,28,24.5
Ezequiel Duran,RHB,TEX,Sean Manaea,L,21.1,25.2,10.6,41.4,24.5
Cody Bellinger,LHB,NYY,Nick Martinez,R,21.9,21,27.4,26.5,24.4
Bryson Stott,LHB,PHI,Dustin May,R,30.8,18.8,12.1,44.5,24.4
Michael Massey,LHB,KC,Anthony Kay,L,53.4,9.3,24.4,33.7,24.3
Josh Smith,LHB,TOR,Chris Bassitt,R,28.2,27.4,10.7,34.8,24.3
Danny Jansen,RHB,TEX,Sean Manaea,L,20.6,19.8,22.5,33,24
Spencer Torkelson,RHB,DET,Jackson Kent,L,22.1,27.3,10.1,36.7,24
Nick Allen,RHB,HOU,Logan Gilbert,R,41.1,5.5,23.5,43.1,23.9
Brandon Lowe,LHB,PIT,Andre Pallante,R,30.8,19,30.3,20.4,23.9
Brady House,RHB,WSH,Drew Anderson,R,37.5,30,7.2,29.8,23.9
Gary Sanchez,RHB,MIL,Zack Wheeler,R,34.6,21.3,17.3,30.9,23.8
Jose Ramirez,SHB,CLE,Payton Tolle,L,15.7,29.3,12.1,33.4,23.8
Max Muncy,LHB,LAD,Michael King,R,19.2,23.4,17.3,33.6,23.7
Ryan Kreidler,RHB,MIN,Anthony Molina,R,18.7,21.3,19.9,33.5,23.7
Daniel Schneemann,LHB,CLE,Payton Tolle,L,61.9,10.7,10.7,42.4,23.7
Christopher Morel,RHB,NYM,MacKenzie Gore,L,34.7,23.5,,47.6,23.6
Bryce Harper,LHB,PHI,Dustin May,R,28.2,21.1,25.8,22.2,23.5
Jordan Lawlar,RHB,ARI,Kyle Freeland,L,29.2,19.6,29.2,19.6,23.4
Dillon Dingler,RHB,DET,Jackson Kent,L,13.2,23.8,21.4,29.5,23.4
JJ Wetherholt,LHB,STL,Jared Jones,R,22.9,21.5,,53.4,23.2
Jake Bauers,LHB,MIL,Zack Wheeler,R,38.2,31.7,13.9,16.6,23.2
Jahmai Jones,RHB,BOS,Parker Messick,L,32.3,16.9,24.8,26.3,23.2
Francisco Lindor,SHB,NYM,MacKenzie Gore,L,25.9,19,25.7,24.7,23.1
Ryan Vilade,RHB,TB,Carlos Rodon,L,19.1,25,9.5,38.3,23.1
Isaac Paredes,RHB,HOU,Logan Gilbert,R,33.3,14.9,13.9,41.5,23.1
Alejandro Kirk,RHB,TOR,Chris Bassitt,R,9,17.8,27.9,30.5,23.1
Bo Bichette,RHB,NYM,MacKenzie Gore,L,20.8,28.8,25,13.5,23
Sal Stewart,RHB,CIN,JR Ritchie,R,24.4,21.9,21.8,25,22.9
Henry Davis,RHB,PIT,Andre Pallante,R,39.7,24.7,16.5,21.3,22.9
Coby Mayo,RHB,BAL,Max Scherzer,R,30.8,19.9,9.7,39.7,22.9
TJ Rumfield,LHB,COL,Michael Soroka,R,23.1,13,20.3,39.2,22.8
Héctor Rodríguez,LHB,CIN,JR Ritchie,R,30.5,8.8,12.9,51.4,22.8
Michael Conforto,LHB,CHC,Janson Junk,R,38.9,16.8,15,34,22.8
Jose Tena,LHB,WSH,Drew Anderson,R,18.9,16.9,30.1,22.7,22.5
Riley Greene,LHB,DET,Jackson Kent,L,51.8,19.7,9,30.9,22.5
Alex Freeland,SHB,LAD,Michael King,R,26.7,34.6,7.5,21.5,22.4
Pedro Pages,RHB,STL,Jared Jones,R,35,23.2,22.2,16.3,22.4
Miguel Amaya,RHB,CHC,Janson Junk,R,32.6,14.8,14.7,37.7,22.3
Dominic Canzone,LHB,SEA,Cristian Javier,R,28,23.3,15.4,26.5,22.2
Mauricio Dubon,RHB,ATL,Brandon Williamson,L,9.9,23.8,21.5,25.3,22.1
CJ Abrams,LHB,WSH,Drew Anderson,R,21.2,17,11.1,42.3,22
Kyle Teel,LHB,CWS,Daniel Lynch IV,L,46.4,18,,44.2,22
Bryan Reynolds,SHB,PIT,Andre Pallante,R,38.5,14.1,18.1,30.8,21.9
Wilyer Abreu,LHB,BOS,Parker Messick,L,25.2,23.9,25.1,14.1,21.9
Tim Tawa,RHB,ARI,Kyle Freeland,L,32.6,25.7,,38,21.8
Andruw Monasterio,RHB,BOS,Parker Messick,L,20.1,22.2,16.3,28.3,21.7
Amed Rosario,RHB,NYY,Nick Martinez,R,24,19.5,18.8,27.2,21.7
Munetaka Murakami,LHB,CWS,Daniel Lynch IV,L,49.7,18,16.6,21.6,21.6
Rafael Flores,RHB,PIT,Andre Pallante,R,24.6,17.1,14.2,35.6,21.6
Abimelec Ortiz,LHB,WSH,Drew Anderson,R,13.2,24.5,11.3,33,21.5
Taylor Ward,RHB,SEA,Cristian Javier,R,25.7,23.6,,42.5,21.5
Angel Martinez,SHB,CLE,Payton Tolle,L,21.9,18.3,18.3,29.7,21.5
Walker Jenkins,LHB,MIN,Anthony Molina,R,30.9,8,14.9,44.3,21.4
Joc Pederson,LHB,TEX,Sean Manaea,L,29.7,10.6,10.6,46.1,21.4
Tyler Stephenson,RHB,CIN,JR Ritchie,R,29.5,14.9,18.6,30.7,21.4
Jose Altuve,RHB,HOU,Logan Gilbert,R,32,16.3,24.2,20.3,21.2
Victor Bericoto,RHB,SF,Taj Bradley,R,33.1,20.2,11.9,28.8,21.2
Cam Smith,RHB,HOU,Logan Gilbert,R,38.9,13.9,14.9,32,21.2
Caleb Durbin,RHB,BOS,Parker Messick,L,32.2,10.5,25.2,26.8,21.2
Mike Trout,RHB,LAA,Brady Basso,L,30.4,14.7,9.5,39.5,20.9
Samuel Basallo,LHB,BAL,Max Scherzer,R,27.8,14.3,15.5,33.6,20.8
Gunnar Henderson,LHB,BAL,Max Scherzer,R,24.1,19.4,15.9,27.2,20.8
Weston Wilson,RHB,SEA,Cristian Javier,R,48.1,7.7,7.7,43.6,20.7
Jonny DeLuca,RHB,TB,Carlos Rodon,L,31,6.3,9.5,50.1,20.7
Jo Adell,RHB,CLE,Payton Tolle,L,33.4,28.7,15.9,9.9,20.6
Jackson Chourio,RHB,MIL,Zack Wheeler,R,24.7,17.3,13.1,32,20.5
Nathan Church,LHB,STL,Jared Jones,R,17.3,17.8,6.1,42.6,20.4
Dansby Swanson,RHB,CHC,Janson Junk,R,45.5,17.7,9.8,27,20.4
Zack Gelof,RHB,ATH,Yusei Kikuchi,L,8.6,22.3,9.4,35.1,20.3
