Matchup,BAL @ LAD
Pitcher,Trevor Rogers
Pitcher Team,BAL
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,66.0,290,0.279,0.341,0.457,0.177,1.45,9,1.23,7.6%,22.0%,16.6%,12.8%,11.3%,6.55,68.0%,7.6%,6.8%,39.3%,23.7%,15.4%,19.6%
vsLHB,16.1,69,0.213,0.287,0.361,0.148,1.22,1,0.55,10.1%,25.2%,21.7%,18.3%,12.5%,8.27,69.6%,9.5%,4.3%,34.0%,19.1%,-,17.0%
vsRHB,49.2,221,0.299,0.358,0.485,0.186,1.53,8,1.45,6.8%,21.1%,14.9%,11.3%,11.0%,5.98,67.6%,6.9%,7.6%,40.7%,25.0%,18.6%,20.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Shohei Ohtani LHB,,+250,16,15,3.80,2,3,0.400,0.400,0.867,0.467,0.543,-,17.2%,33.3%,8.3%,96.6,335.6,4,4,40.0%,-,-,70.0%,40.0%,74.2,47.8%,34.8%,21.7%,79.3%,40.0%,25.0%,30.0%,30.0%,10.0%,60.0%,30.0%,31.6%
Freddie Freeman LHB,,+549,20,14,4.40,1,1,0.231,0.286,0.462,0.231,0.329,-,18.8%,21.4%,12.5%,90.3,279.0,3,2,20.0%,10.0%,20.0%,40.0%,50.0%,70.7,10.3%,24.1%,13.8%,90.6%,50.0%,20.0%,30.0%,20.0%,30.0%,40.0%,30.0%,58.3%
Kyle Tucker LHB,,+650,21,20,4.00,0,0,0.062,0.250,0.062,-,0.174,20.0%,19.0%,25.0%,9.6%,83.6,222.3,1,0,-,-,9.1%,18.2%,9.1%,70.9,27.8%,13.9%,2.8%,90.0%,27.3%,0.0%,-,54.5%,63.6%,9.1%,27.3%,60.0%
Miguel Rojas RHB,,+675,17,16,2.40,0,0,0.214,0.312,0.286,0.071,0.272,12.5%,23.1%,18.8%,10.5%,88.2,267.1,2,1,-,-,9.1%,36.4%,27.3%,69.5,13.0%,21.7%,-,95.8%,27.3%,0.0%,18.2%,45.5%,36.4%,45.5%,18.2%,0.0%
Max Muncy LHB,,+197,25,15,3.40,0,0,0.182,0.400,0.182,-,0.296,20.0%,29.0%,20.0%,16.4%,82.8,268.7,0,0,12.5%,12.5%,12.5%,12.5%,37.5%,69.0,8.3%,12.5%,4.2%,77.4%,-,-,25.0%,75.0%,50.0%,50.0%,-,30.0%
Andy Pages RHB,,+340,19,15,4.60,0,1,0.154,0.267,0.231,0.077,0.231,13.3%,20.0%,6.7%,10.7%,92.6,302.6,5,2,-,-,16.7%,50.0%,33.3%,72.5,24.1%,31.0%,10.3%,96.7%,41.7%,0.0%,25.0%,33.3%,25.0%,58.3%,16.7%,56.2%
Mookie Betts RHB,,+420,20,14,4.20,0,0,0.308,0.357,0.385,0.077,0.328,7.1%,23.8%,7.1%,7.9%,91.5,277.7,5,1,8.3%,-,25.0%,33.3%,75.0%,67.9,5.6%,38.9%,11.1%,90.0%,33.3%,0.0%,58.3%,-,25.0%,41.7%,33.3%,10.5%
Alex Freeland SHB,,+760,2,11,3.20,0,0,0.182,0.182,0.273,0.091,0.196,-,43.8%,45.5%,16.7%,89.9,308.9,3,1,-,-,-,33.3%,33.3%,69.2,7.7%,38.5%,15.4%,81.2%,50.0%,0.0%,16.7%,33.3%,33.3%,33.3%,33.3%,44.4%
Alex Call RHB,,+940,6,9,2.80,0,0,-,0.222,-,-,0.144,22.2%,31.8%,-,13.2%,73.2,169.4,0,0,-,-,-,14.3%,14.3%,66.3,-,15.8%,5.3%,86.4%,14.3%,0.0%,14.3%,42.9%,14.3%,42.9%,42.9%,26.7%
Dalton Rushing LHB,,+680,15,8,4.20,0,0,0.143,0.250,0.286,0.143,0.249,-,35.3%,12.5%,16.2%,84.2,289.2,1,1,-,-,33.3%,16.7%,33.3%,73.1,26.7%,13.3%,6.7%,88.2%,16.7%,0.0%,33.3%,50.0%,66.7%,16.7%,16.7%,50.0%
Ryan Ward LHB,—,N/A,-,3,3.20,0,0,-,-,-,-,-,-,50.0%,66.7%,42.9%,27.6,-,0,0,-,-,-,-,-,71.6,16.7%,-,-,100.0%,-,-,-,100.0%,-,-,100.0%,100.0%
Chuckie Robinson RHB,—,N/A,-,1,3.00,0,0,-,-,-,-,-,-,0.0%,-,-,86.3,58.2,0,0,-,-,-,-,-,75.2,100.0%,-,-,100.0%,-,-,-,-,-,-,100.0%,33.3%
Tommy Edman SHB,,+470,-,1,4.50,0,0,-,-,-,-,-,-,0.0%,-,-,107.4,-,0,0,-,-,-,100.0%,-,70.1,-,33.3%,33.3%,100.0%,-,-,-,100.0%,-,100.0%,-,0.0%
