Bat Side,L
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"5,038",1.13,1.13,1.10,1.08,1.09,1.37,0.87,1.02,1.06,1.02,1.07,88.5,173.9
2,Sutter Health Park,24',Open,"2,744",1.05,1.02,1.04,1.04,1.08,0.85,0.96,1.10,0.97,0.98,1.01,88.7,176.3
3,Great American Ball Park,535',Open,"4,237",1.05,1.14,1.03,1.01,1.00,0.91,1.00,1.05,1.02,0.98,1.00,88.2,175.8
4,Citizens Bank Park,20',Open,"4,976",1.02,1.11,1.03,1.02,0.98,0.91,1.05,0.96,0.96,0.98,1.01,88.8,171.5
5,Daikin Park,45',Retractable,"3,820",1.02,1.11,1.03,1.02,0.96,0.90,1.08,1.02,0.99,1.04,1.00,89.5,175.2
6,Oriole Park at Camden Yards,33',Open,"5,654",1.02,1.07,1.02,1.01,0.99,0.95,0.97,0.97,1.01,1.01,1.00,89,170.2
7,Rate Field,595',Open,"4,961",1.02,1.04,1.01,1.01,0.96,1.00,0.97,1.07,1.03,1.01,0.99,88,172.4
8,Nationals Park,35',Open,"5,899",1.02,1.01,1.02,1.03,0.96,0.96,0.94,1.00,1.05,1.02,1.00,88.6,166.5
9,Target Field,828',Open,"5,198",1.02,0.97,1.03,1.05,1.03,0.88,0.99,0.98,1.01,1.01,1.01,88.5,176.9
10,PNC Park,780',Open,"4,797",1.01,0.94,1.01,0.97,1.19,0.94,0.97,0.98,1.02,1.02,1.01,89.5,175.5
11,Rogers Centre,270',Retractable,"4,669",1.01,1.05,1.00,0.97,1.08,0.87,1.02,0.98,1.04,1.00,1.00,87.7,166.9
12,Kauffman Stadium,856',Open,"5,161",1.01,0.84,1.02,1.02,1.12,1.27,0.94,1.01,0.97,1.02,1.01,88.5,171.3
13,Progressive Field,653',Open,"6,329",1.01,1.06,1.00,1.00,0.99,0.86,1.04,1.03,1.05,1.02,0.99,87.7,168.2
14,loanDepot park,10',Retractable,"5,193",1.01,0.95,1.01,1.01,1.01,1.14,0.97,1.04,1.02,1.04,1.00,88.7,167.3
15,Angel Stadium,151',Open,"4,051",0.99,1.03,0.99,0.98,0.97,0.94,1.01,1.03,1.02,1.04,1.00,88.5,165.4
16,Yankee Stadium,55',Open,"5,245",0.99,1.04,0.98,0.96,1.01,0.84,1.03,1.05,1.01,1.00,1.00,89.2,172.4
17,Truist Park,1001',Open,"5,047",0.99,1.01,1.00,1.02,0.94,0.97,1.04,0.98,0.97,0.98,1.02,88.8,169.3
18,Comerica Park,600',Open,"5,061",0.98,0.95,1.00,1.01,0.94,1.28,0.99,0.97,0.96,1.02,1.00,88.7,171.5
19,Chase Field,1086',Retractable,"5,495",0.98,0.82,1.00,1.01,1.04,1.30,0.93,0.99,0.95,1.03,1.02,88.9,164.6
20,Fenway Park,21',Open,"5,407",0.98,0.84,1.00,1.00,1.13,0.87,0.98,0.98,0.91,0.99,0.99,88.6,164.1
21,Citi Field,10',Open,"4,953",0.98,0.93,0.99,1.01,0.99,0.82,1.04,1.06,0.92,0.97,0.99,88.7,165.4
22,American Family Field,597',Retractable,"4,835",0.97,1.01,0.99,1.00,0.92,1.05,1.09,1.01,0.95,0.97,1.01,87,161.4
23,Wrigley Field,595',Open,"4,573",0.97,0.97,0.99,1.03,0.88,1.11,1.01,0.97,0.98,1.00,0.99,88.8,171.8
24,Globe Life Field,545',Retractable,"4,944",0.97,0.96,0.98,0.98,0.97,0.98,1.01,0.96,0.99,1.01,1.00,88.7,173.1
25,Busch Stadium,460',Open,"5,377",0.97,0.82,0.99,1.02,1.02,0.91,0.93,0.94,0.99,1.02,1.00,88.7,161.5
26,Oracle Park,',Open,"4,841",0.97,0.78,1.00,1.03,1.02,1.15,0.96,0.98,0.93,1.00,0.99,88.2,156
27,Dodger Stadium,515',Open,"4,949",0.96,1.02,0.96,0.96,0.94,0.77,1.04,1.01,0.94,1.00,1.01,89.4,171.1
28,T-Mobile Park,10',Retractable,"5,326",0.96,0.99,0.98,0.98,1.01,0.67,1.10,0.93,0.99,1.02,0.99,88.7,170.4
29,Tropicana Field,15',Dome,"2,268",0.95,0.96,0.96,0.95,0.98,1.02,1.02,0.94,0.98,0.97,1.00,87.3,172.5
30,Petco Park,23',Open,"4,945",0.95,0.97,0.95,0.97,0.92,0.84,1.05,1.02,1.02,0.99,0.99,87.7,167.2
