HR Split,Overall
Dates,="8/17/2026"
Games,11

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,7:40 PM,Mason Barnett,@,1.37,0.25,2.23,2.61,9.5%,22.7%,37.8%,33.9%,4.4%,355
2,8:40 PM,Tomoyuki Sugano,vs,1.34,1.46,0.75,2.16,12.9%,22.0%,41.3%,29.1%,6.7%,1265
3,8:05 PM,Luis Castillo,@,1.03,1.41,0.13,1.90,10.5%,22.0%,38.5%,30.0%,7.7%,1383
4,8:05 PM,Shota Imanaga,vs,0.85,1.22,0.42,1.87,9.3%,18.1%,35.0%,34.7%,7.2%,1267
5,7:40 PM,Bailey Ober,vs,0.72,0.59,0.67,1.50,11.7%,15.5%,37.3%,31.0%,8.2%,1152
6,7:10 PM,Mitch Bratt,@,0.27,0.33,0.22,1.35,6.8%,15.3%,32.6%,33.5%,8.3%,258
7,6:40 PM,Rhett Lowder,vs,0.25,0.82,-0.98,1.12,9.5%,12.8%,37.2%,29.9%,7.9%,528
8,7:10 PM,Nolan McLean,vs,0.22,0.41,-0.43,1.22,7.6%,16.6%,38.7%,27.1%,6.5%,876
9,6:40 PM,Janson Junk,@,0.21,0.18,0.19,1.15,7.7%,17.0%,40.2%,22.5%,8.8%,914
10,7:40 PM,Michael Wacha,vs,0.08,-0.58,0.94,1.07,7.5%,10.0%,36.4%,31.5%,9.3%,1452
11,6:05 PM,Brandon Young,@,0.02,-0.51,0.61,1.08,6.5%,14.1%,38.8%,26.9%,6.7%,863
12,7:10 PM,Walker Buehler,@,0.01,-0.19,0.32,1.01,7.7%,15.4%,35.6%,23.3%,8.2%,1169
13,7:05 PM,Carmen Mlodzinski,vs,-0.15,-0.30,0.07,0.71,6.7%,9.5%,49.8%,25.4%,7.8%,912
14,7:05 PM,Framber Valdez,@,-0.21,-0.54,-0.05,0.76,5.0%,19.1%,46.6%,14.7%,7.6%,1507
15,6:05 PM,Shane McClanahan,vs,-0.43,-0.15,-0.43,0.49,7.1%,6.9%,37.9%,28.7%,8.3%,505
16,7:40 PM,Martin Perez,@,-0.51,-0.13,-0.50,0.67,5.1%,11.8%,39.4%,21.1%,5.3%,755
17,6:40 PM,Andre Pallante,@,-0.85,-0.55,-0.85,0.45,4.8%,8.2%,33.8%,16.0%,7.6%,1369
18,6:40 PM,Cristopher Sanchez,vs,-0.86,-1.08,-0.61,0.52,4.5%,8.5%,37.3%,13.0%,6.0%,1623
19,8:40 PM,Blake Snell,@,-1.70,-1.13,-1.37,0.10,0.9%,2.5%,17.1%,22.0%,3.9%,464
20,1:40 PM,Kent Emanuel,vs,-,-,-,-,-,-,-,-,-,0
21,1:40 PM,Quinn Mathews,@,-,-,-1.35,0.00,0.0%,0.0%,22.2%,33.3%,2.1%,48
22,7:10 PM,Alec Gamboa,vs,-,-,-,-,-,-,-,-,-,0
