Matchup,MIL @ COL
Pitcher,Valente Bellozo
Pitcher Team,COL
Opposing Team,MIL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,18.0,78,0.310,0.390,0.580,0.270,1.55,4,2.00,8.5%,20.0%,18.0%,18.0%,10.0%,8.00,55.0%,8.0%,12.0%,44.0%,35.0%,18.0%,14.0%
vsLHB,8.0,38,0.280,0.360,0.520,0.240,1.40,2,2.25,7.0%,22.0%,20.0%,20.0%,11.0%,9.00,54.0%,7.5%,11.0%,42.0%,32.0%,20.0%,12.0%
vsRHB,10.0,40,0.340,0.420,0.640,0.300,1.70,2,1.80,10.0%,18.0%,16.0%,16.0%,9.0%,7.20,56.0%,8.5%,13.0%,46.0%,38.0%,16.0%,16.0%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jackson Chourio RHB,+399,32,4.20,3,5,0.357,0.438,0.821,0.464,0.520,12.5%,21.3%,21.9%,8.8%,96.4,28.6%,-,-,52.4%,42.9%,75.4,54.5%,34.1%,22.7%,93.6%,57.1%,25.0%,19.0%,19.0%,9.5%,47.6%,42.9%,31.2%
David Hamilton LHB,+600,15,3.80,2,2,0.214,0.267,0.643,0.429,0.383,6.7%,16.0%,13.3%,5.5%,94.3,-,-,8.3%,50.0%,41.7%,69.7,4.3%,47.8%,17.4%,92.0%,66.7%,25.0%,16.7%,16.7%,8.3%,58.3%,33.3%,10.0%
Jake Bauers LHB,+375,22,4.20,1,1,0.167,0.318,0.333,0.167,0.301,9.1%,32.5%,40.9%,13.4%,91.4,11.1%,-,11.1%,55.6%,33.3%,77.6,82.9%,17.1%,14.3%,87.5%,22.2%,50.0%,33.3%,44.4%,44.4%,11.1%,44.4%,14.3%
Garrett Mitchell LHB,+505,19,3.20,1,1,0.133,0.316,0.333,0.200,0.294,21.1%,47.1%,42.1%,19.8%,96.0,14.3%,-,-,42.9%,28.6%,76.6,68.8%,15.6%,9.4%,94.1%,28.6%,50.0%,14.3%,57.1%,14.3%,57.1%,28.6%,25.0%
William Contreras RHB,+415,28,4.40,0,0,0.154,0.179,0.192,0.038,0.164,3.6%,20.0%,21.4%,11.2%,88.8,4.8%,-,-,38.1%,14.3%,73.5,38.1%,31.0%,11.9%,84.0%,33.3%,0.0%,9.5%,52.4%,19.0%,57.1%,23.8%,51.7%
Brice Turang LHB,+469,23,4.00,0,0,0.111,0.304,0.111,-,0.218,21.7%,28.9%,26.1%,11.4%,89.8,-,-,8.3%,50.0%,25.0%,68.8,5.1%,23.1%,7.7%,86.7%,16.7%,0.0%,25.0%,58.3%,25.0%,41.7%,33.3%,34.8%
Andrew Vaughn RHB,N/A,23,3.80,0,1,0.261,0.261,0.304,0.043,0.249,-,13.6%,8.7%,6.5%,89.3,-,-,23.8%,42.9%,28.6%,68.3,4.9%,36.6%,14.6%,93.2%,28.6%,0.0%,33.3%,33.3%,23.8%,28.6%,47.6%,24.0%
Christian Yelich LHB,+396,20,4.80,0,1,0.222,0.300,0.333,0.111,0.281,10.0%,47.4%,55.0%,20.5%,89.0,-,-,14.3%,42.9%,42.9%,73.7,36.4%,12.1%,6.1%,86.8%,42.9%,0.0%,14.3%,42.9%,42.9%,28.6%,28.6%,10.5%
Joey Ortiz RHB,N/A,19,2.80,0,1,0.214,0.421,0.286,0.071,0.331,26.3%,14.8%,-,5.2%,83.4,-,-,-,28.6%,21.4%,73.1,33.3%,25.0%,16.7%,92.3%,35.7%,0.0%,14.3%,42.9%,28.6%,14.3%,57.1%,23.5%
Blake Perkins SHB,N/A,18,2.00,0,1,-,0.111,-,-,0.076,5.6%,41.9%,38.9%,18.3%,80.0,-,-,11.1%,44.4%,-,69.7,4.2%,20.8%,4.2%,85.7%,33.3%,0.0%,-,44.4%,33.3%,33.3%,33.3%,0.0%
Gary Sanchez RHB,N/A,15,1.60,0,0,0.182,0.400,0.273,0.091,0.322,20.0%,38.1%,26.7%,14.5%,85.5,-,-,-,28.6%,14.3%,70.6,11.1%,22.2%,11.1%,85.7%,28.6%,0.0%,14.3%,57.1%,28.6%,57.1%,14.3%,26.7%
Sal Frelick LHB,+640,15,3.80,0,0,0.357,0.400,0.500,0.143,0.391,6.7%,9.4%,13.3%,4.2%,90.1,-,-,16.7%,25.0%,50.0%,67.2,-,37.0%,11.1%,87.1%,8.3%,0.0%,41.7%,50.0%,66.7%,16.7%,16.7%,22.7%
Luis Rengifo SHB,+649,14,4.20,0,0,0.154,0.214,0.154,-,0.174,7.1%,13.8%,-,7.7%,79.9,7.7%,7.7%,7.7%,30.8%,30.8%,71.1,18.5%,33.3%,7.4%,96.4%,-,-,30.8%,53.8%,23.1%,38.5%,38.5%,31.2%
