Matchup,NYY @ ATH
Pitcher,J.T. Ginn
Pitcher Team,ATH
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,53.2,217,0.200,0.283,0.337,0.137,1.14,6,1.01,10.6%,24.3%,22.1%,21.6%,11.0%,8.05,53.4%,6.6%,6.3%,32.9%,21.0%,16.7%,16.8%
vsLHB,27.2,122,0.229,0.321,0.390,0.162,1.45,4,1.30,13.1%,22.8%,18.9%,18.0%,10.4%,7.48,49.2%,6.0%,6.1%,32.9%,19.5%,18.8%,20.7%
vsRHB,25.2,95,0.165,0.233,0.271,0.106,0.82,2,0.70,7.4%,26.4%,26.3%,26.6%,11.8%,8.77,58.8%,7.4%,6.6%,32.8%,23.0%,14.3%,11.5%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jazz Chisholm Jr. LHB,+440,24,4.20,2,2,0.368,0.500,0.737,0.368,0.511,20.8%,37.5%,20.8%,15.6%,89.3,14.3%,-,14.3%,35.7%,35.7%,72.2,24.3%,27.0%,10.8%,92.5%,28.6%,50.0%,14.3%,57.1%,71.4%,7.1%,21.4%,42.1%
Ben Rice LHB,+340,23,4.40,2,2,0.261,0.261,0.565,0.304,0.354,-,22.0%,21.7%,10.6%,90.0,16.7%,5.6%,22.2%,50.0%,55.6%,72.3,7.7%,30.8%,12.8%,95.1%,38.9%,28.6%,33.3%,27.8%,38.9%,44.4%,16.7%,39.1%
Ryan McMahon LHB,+540,21,3.40,2,2,0.190,0.190,0.476,0.286,0.285,-,37.8%,38.1%,20.6%,88.0,15.4%,-,-,38.5%,30.8%,75.9,67.7%,22.6%,12.9%,83.8%,30.8%,25.0%,15.4%,53.8%,38.5%,30.8%,30.8%,36.8%
Cody Bellinger LHB,+440,25,4.00,1,1,0.263,0.440,0.474,0.211,0.397,24.0%,22.0%,12.0%,8.7%,92.2,6.2%,6.2%,25.0%,43.8%,25.0%,69.6,-,35.3%,14.7%,82.9%,50.0%,12.5%,18.8%,25.0%,50.0%,25.0%,25.0%,29.2%
Trent Grisham LHB,+350,24,4.40,1,1,0.400,0.500,0.700,0.300,0.503,16.7%,12.8%,20.8%,5.0%,85.5,13.3%,-,6.7%,26.7%,40.0%,70.2,11.1%,22.2%,8.3%,92.3%,26.7%,25.0%,20.0%,53.3%,46.7%,26.7%,26.7%,36.8%
Austin Wells LHB,+520,23,4.00,1,1,0.190,0.261,0.333,0.143,0.264,8.7%,28.9%,39.1%,16.2%,91.8,16.7%,8.3%,41.7%,66.7%,50.0%,73.2,34.1%,19.5%,14.6%,91.1%,41.7%,20.0%,25.0%,33.3%,66.7%,25.0%,8.3%,57.1%
Aaron Judge RHB,+220,18,4.40,1,2,0.267,0.389,0.600,0.333,0.415,16.7%,16.7%,5.6%,7.5%,97.7,21.4%,-,7.1%,71.4%,35.7%,75.6,62.9%,31.4%,22.9%,97.2%,35.7%,20.0%,28.6%,35.7%,28.6%,57.1%,14.3%,30.0%
J.C. Escarra LHB,N/A,19,3.20,0,0,0.235,0.316,0.294,0.059,0.276,10.5%,11.5%,5.3%,4.7%,83.2,-,-,6.2%,43.8%,31.2%,70.7,4.2%,37.5%,16.7%,92.3%,12.5%,0.0%,25.0%,56.2%,18.8%,56.2%,25.0%,26.3%
Anthony Volpe RHB,N/A,15,4.00,0,0,0.333,0.467,0.417,0.083,0.392,20.0%,21.2%,20.0%,9.5%,87.5,-,-,22.2%,33.3%,33.3%,70.9,3.3%,16.7%,6.7%,90.9%,22.2%,0.0%,22.2%,33.3%,44.4%,22.2%,33.3%,25.0%
Paul Goldschmidt RHB,+540,14,4.40,0,0,0.077,0.143,0.077,-,0.110,7.1%,39.3%,21.4%,18.0%,81.3,-,-,10.0%,20.0%,30.0%,69.4,3.7%,18.5%,3.7%,96.4%,20.0%,0.0%,10.0%,60.0%,30.0%,60.0%,10.0%,31.6%
Jose Caballero RHB,+1120,14,3.20,0,0,0.231,0.286,0.308,0.077,0.264,7.1%,17.4%,-,8.2%,77.9,7.7%,-,15.4%,15.4%,30.8%,69.6,-,35.0%,10.0%,87.0%,7.7%,0.0%,23.1%,46.2%,30.8%,30.8%,38.5%,41.2%
Amed Rosario RHB,N/A,6,2.80,0,0,0.333,0.333,0.333,-,0.297,-,25.0%,16.7%,12.5%,100.2,-,-,-,80.0%,20.0%,73.2,27.3%,18.2%,18.2%,84.6%,-,-,20.0%,60.0%,-,80.0%,20.0%,54.5%
Max Schuemann RHB,N/A,3,2.80,0,0,0.333,0.333,0.333,-,0.297,-,40.0%,33.3%,10.5%,94.7,-,-,-,50.0%,-,67.2,-,50.0%,50.0%,66.7%,50.0%,0.0%,-,50.0%,-,50.0%,50.0%,16.7%
