Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-06-23,Angel Stadium,BAL @ LAA,9:38,+17%,-4%,+1%,+5%,+0.37,-0.16,+0.12,+0.48,+9%,-4%,+1%,+3%,+0.20,-0.14,+0.16,+0.27,+8%,-1%,0%,+2%,+0.17,-0.02,-0.03,+0.21
2026-06-23,Coors Field,BOS @ COL,8:40,+16%,+29%,+13%,+27%,+0.36,+1.00,+1.39,+2.41,+20%,+30%,+15%,+32%,+0.46,+1.04,+1.64,+2.80,-4%,-1%,-2%,-4%,-0.10,-0.04,-0.25,-0.39
2026-06-23,Great American BP,MIL @ CIN,7:10,+9%,0%,-2%,+6%,+0.21,-0.01,-0.18,+0.51,+14%,+2%,0%,+10%,+0.32,+0.08,-0.04,+0.87,-5%,-3%,-1%,-4%,-0.10,-0.09,-0.14,-0.36
2026-06-23,Rogers Centre,HOU @ TOR,4:07,+7%,+3%,0%,+2%,+0.17,+0.09,-0.04,+0.21,+6%,-2%,-2%,-2%,+0.13,-0.07,-0.26,-0.17,+2%,+5%,+2%,+4%,+0.03,+0.16,+0.22,+0.38
2026-06-23,Citi Field,CHC @ NYM,7:10,-2%,-20%,-5%,-9%,-0.05,-0.68,-0.50,-0.76,-1%,-19%,-4%,-8%,-0.02,-0.68,-0.48,-0.70,-1%,0%,0%,-1%,-0.03,0.00,-0.02,-0.06
2026-06-23,Tropicana Field,KC  @ TB,6:40,-3%,-7%,-8%,-6%,-0.06,-0.23,-0.84,-0.51,-3%,-6%,-8%,-6%,-0.08,-0.22,-0.83,-0.52,+1%,0%,0%,+0%,+0.02,-0.01,-0.01,+0.01
2026-06-23,Nationals Park,PHI @ WAS,6:45,-4%,+10%,+4%,+4%,-0.08,+0.35,+0.43,+0.34,+2%,+5%,+3%,+3%,+0.04,+0.16,+0.35,+0.28,-6%,+5%,+1%,+1%,-0.12,+0.19,+0.09,+0.06
2026-06-23,Petco Park,ATL @ SD,9:40,-5%,-12%,-8%,-10%,-0.12,-0.40,-0.83,-0.89,-4%,-11%,-4%,-7%,-0.10,-0.40,-0.46,-0.63,-1%,0%,-3%,-3%,-0.02,0.00,-0.37,-0.26
2026-06-23,Rate Field,CLE @ CHW,7:40,-9%,-15%,+7%,-4%,-0.20,-0.53,+0.75,-0.38,+2%,-8%,+3%,+0%,+0.05,-0.29,+0.31,+0.04,-11%,-7%,+4%,-5%,-0.26,-0.24,+0.44,-0.42
2026-06-23,Target Field,LAD @ MIN,7:40,-10%,-4%,0%,-5%,-0.23,-0.13,-0.02,-0.44,-5%,+1%,+2%,+0%,-0.12,+0.04,+0.16,+0.02,-5%,-5%,-2%,-5%,-0.11,-0.17,-0.18,-0.47
2026-06-23,Comerica Park,NYY @ DET,6:40,-11%,-3%,+4%,-5%,-0.24,-0.11,+0.45,-0.42,-11%,+1%,+6%,-2%,-0.25,+0.04,+0.63,-0.16,+1%,-4%,-2%,-3%,+0.01,-0.14,-0.18,-0.27
2026-06-23,PNC Park,SEA @ PIT,6:40,-12%,+10%,+1%,+1%,-0.27,+0.34,+0.12,+0.07,-13%,+11%,+0%,+0%,-0.29,+0.37,+0.04,+0.01,+1%,-1%,+1%,+1%,+0.02,-0.03,+0.08,+0.06
2026-06-23,LoanDepot Park,TEX @ MIA,6:40,-13%,+2%,-2%,-5%,-0.28,+0.08,-0.22,-0.43,-12%,+2%,-1%,-4%,-0.28,+0.06,-0.12,-0.39,0%,+1%,-1%,0%,-0.01,+0.02,-0.09,-0.03
2026-06-23,Oracle Park,ATH @ SF,9:45,-18%,-7%,+8%,-7%,-0.41,-0.25,+0.82,-0.61,-13%,+11%,+6%,+1%,-0.29,+0.38,+0.67,+0.10,-5%,-18%,+1%,-8%,-0.12,-0.62,+0.15,-0.71
2026-06-23,Busch Stadium,ARI @ STL,7:45,-20%,-1%,+5%,-8%,-0.46,-0.04,+0.53,-0.73,-9%,-5%,+4%,-6%,-0.19,-0.17,+0.43,-0.50,-12%,+4%,+1%,-3%,-0.27,+0.13,+0.09,-0.23
