Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Garrett Mitchell,LHB,MIL,Christian Scott,R,50.1,50.7,30.6,73.1,50.2
James Wood,LHB,WSH,Gabriel Hughes,R,43.9,52.7,26.9,59.2,45.7
Tyrone Taylor,RHB,NYM,Logan Henderson,R,49,41.7,31.8,55.1,42.8
Jordan Walker,RHB,STL,Reid Detmers,L,44,40.5,19,66.7,41
Francisco Alvarez,RHB,NYM,Logan Henderson,R,54.2,38,38.1,41.1,40.4
Cole Carrigg,SHB,COL,Cade Cavalli,R,54.4,30.8,21,69,39.8
TJ Rumfield,LHB,COL,Cade Cavalli,R,36,31.8,30.8,60.1,39
Bryce Eldridge,LHB,SF,Seth Lugo,R,35.1,47.4,20.5,49.9,38.7
Gary Sanchez,RHB,MIL,Christian Scott,R,37.5,31.8,32.4,52.7,37.8
Mickey Moniak,LHB,COL,Cade Cavalli,R,35.2,29.3,26.3,62.5,37.3
Victor Mesa Jr.,LHB,TB,Braydon Fisher,R,45.1,36.3,19.2,55.9,37
Jake Bauers,LHB,MIL,Christian Scott,R,53.4,27,37.8,42.4,36.7
Tyler Stephenson,RHB,CIN,Emerson Hancock,R,42.4,23.1,33.6,57.1,36.7
Marcus Semien,RHB,NYM,Logan Henderson,R,51.1,34.4,25.9,46.4,36.5
Jake McCarthy,LHB,COL,Cade Cavalli,R,53.8,37.7,18.4,49.6,36.5
Jackson Chourio,RHB,MIL,Christian Scott,R,36.6,41,30.5,37.5,36.5
Luis Garcia Jr.,LHB,WSH,Gabriel Hughes,R,40.8,33.7,33.7,41.2,36.3
Esmerlyn Valdez,RHB,PIT,Gerrit Cole,R,45.1,36,36,33.2,36.2
Yordan Alvarez,LHB,HOU,Sandy Alcantara,R,37.6,40.2,27.5,40.5,36.2
Michael Conforto,LHB,CHC,Keider Montero,R,39.7,25.9,19.9,67.9,36
Kyle Schwarber,LHB,PHI,Eric Lauer,L,51.7,25.4,33.8,46.4,35.8
Jonathan Aranda,LHB,TB,Braydon Fisher,R,24.1,35.2,30,45.2,35
Leo Jimenez,RHB,MIA,Peter Lambert,R,37.7,49.1,,56.2,35
Rafael Devers,LHB,SF,Seth Lugo,R,46.2,21.2,32.3,51.2,34.5
Ian Happ,SHB,CHC,Keider Montero,R,27,34.7,19.8,53.2,34.1
Gabriel Arias,RHB,CLE,Bailey Ober,R,47.1,33.5,32.9,29.3,33.6
Seiya Suzuki,RHB,CHC,Keider Montero,R,50.9,26.9,24.6,44.8,33.1
Josh Bell,SHB,MIN,Slade Cecconi,R,26.2,23.6,38.2,38.4,31.9
Ildemaro Vargas,SHB,ARI,Gage Jump,L,26.9,22.7,22.7,57.1,31.7
Pete Crow-Armstrong,LHB,CHC,Keider Montero,R,27.8,38,9.4,50.6,31.6
Daylen Lile,LHB,WSH,Gabriel Hughes,R,36.8,36.3,25.8,30.1,31.6
Mike Trout,RHB,LAA,Hunter Dobbins,R,39.8,35.5,20.1,35.5,31.3
Kyle Manzardo,LHB,CLE,Bailey Ober,R,32,32,19.3,44.2,31.2
Colson Montgomery,LHB,CWS,Tyler Alexander,L,41.6,21.3,37.5,33.2,31.2
Yainer Diaz,RHB,HOU,Sandy Alcantara,R,36.8,25.9,25.9,42.3,31.1
CJ Abrams,LHB,WSH,Gabriel Hughes,R,37.2,22.4,32.7,38.8,31.1
Juan Soto,LHB,NYM,Logan Henderson,R,24.8,27.2,26.6,44.2,31
Braden Shewmake,LHB,MIL,Christian Scott,R,41.3,39.9,9.9,39.9,31
Liam Hicks,LHB,MIA,Peter Lambert,R,42.8,34.5,17,37.5,30.8
Ben Rice,LHB,NYY,Mitch Keller,R,28.8,21.4,30.5,43.1,30.3
Coby Mayo,RHB,BAL,Jake Bennett,L,44.6,33.7,24.4,26.5,30.2
Dylan Crews,RHB,WSH,Gabriel Hughes,R,51.7,21.7,20.3,43,29.6
Nathaniel Lowe,LHB,CIN,Emerson Hancock,R,32.5,17.7,28.7,45.6,29.5
Justin Foscue,RHB,TEX,Anthony Kay,L,28.7,25.4,15.8,50.6,29.2
Michael Busch,LHB,CHC,Keider Montero,R,50.6,28.7,21,30.7,29.1
Nelson Velazquez,RHB,STL,Reid Detmers,L,44.3,20,20,46.2,29
Jared Young,LHB,NYM,Logan Henderson,R,46.1,22.6,19.4,42.5,29
JJ Wetherholt,LHB,STL,Reid Detmers,L,27.1,26.7,24.8,37.4,28.8
Ketel Marte,SHB,ARI,Gage Jump,L,48.9,26,20.4,34.3,28.7
Willy Adames,RHB,SF,Seth Lugo,R,52.1,16.2,26.1,39.9,28.7
Kyle Stowers,LHB,MIA,Peter Lambert,R,24.9,21.8,14.7,56.8,28.7
Zach Neto,RHB,LAA,Hunter Dobbins,R,42.8,22.7,28.1,32.3,28.7
Dalton Rushing,LHB,LAD,Aaron Nola,R,32.3,32.2,20.3,32.4,28.7
Jo Adell,RHB,LAA,Hunter Dobbins,R,43.3,23.5,12,49.8,28.6
Curtis Mead,RHB,WSH,Gabriel Hughes,R,30,30.5,30.3,22.8,28.5
Marcell Ozuna,RHB,PIT,Gerrit Cole,R,44.7,26.3,12.1,44.3,28.4
Willi Castro,SHB,COL,Cade Cavalli,R,39.4,23.6,25.2,34.4,28.4
Trevor Larnach,LHB,MIN,Slade Cecconi,R,46.7,15,12.2,58,28.1
Denzer Guzman,RHB,LAA,Hunter Dobbins,R,45.2,16.9,22.6,42.9,27.9
Jake Burger,RHB,TEX,Anthony Kay,L,23.2,14.2,30.1,46.4,27.9
Jorge Barrosa,SHB,ARI,Gage Jump,L,30.1,33.6,26,20.9,27.8
Jorge Soler,RHB,LAA,Hunter Dobbins,R,40.8,32,22.6,22.6,27.7
Gabriel Moreno,RHB,ARI,Gage Jump,L,24.9,21.1,21.1,45.7,27.6
David Fry,RHB,CLE,Bailey Ober,R,31.4,29.3,20.6,32.3,27.6
Isaac Paredes,RHB,HOU,Sandy Alcantara,R,36.1,17.8,18.9,48,27.5
Gunnar Henderson,LHB,BAL,Jake Bennett,L,48.3,22,22,33.2,27.4
Spencer Steer,RHB,CIN,Emerson Hancock,R,42.4,20.4,18.1,41.9,27.3
Willson Contreras,RHB,BOS,Dean Kremer,R,39.5,20.8,26.1,32.1,27.1
Vaughn Grissom,RHB,LAA,Hunter Dobbins,R,39.1,23.4,9.7,48.4,27.1
Jackson Merrill,LHB,SD,Martin Perez,L,29.4,18,20.1,47.3,27.1
A.J. Ewing,LHB,NYM,Logan Henderson,R,39.3,24.6,19.4,34.7,27
Brandon Lowe,LHB,PIT,Gerrit Cole,R,40.3,34,19.3,20.9,26.9
Christian Yelich,LHB,MIL,Christian Scott,R,41.4,17.8,17.5,43.9,26.6
Casey Schmitt,RHB,SF,Seth Lugo,R,44,23.2,10.5,43.2,26.5
Heliot Ramos,RHB,SF,Seth Lugo,R,43,19.1,14.4,44.3,26.4
Munetaka Murakami,LHB,CWS,Tyler Alexander,L,30.8,21.8,23.6,33.9,26.3
William Contreras,RHB,MIL,Christian Scott,R,44,24.7,17.4,32.1,26.3
Derek Hill,RHB,PHI,Eric Lauer,L,15.6,32.5,25.7,22.3,26.2
Miguel Amaya,RHB,CHC,Keider Montero,R,30.7,19.6,9.3,53,26
Spencer Jones,LHB,NYY,Mitch Keller,R,15.1,11,11,69.5,26
Drake Baldwin,LHB,ATL,Michael King,R,27.3,23.7,16.7,40,26
Sal Stewart,RHB,CIN,Emerson Hancock,R,33.3,25.9,18.3,31.7,25.8
Chase DeLauter,LHB,CLE,Bailey Ober,R,17.4,31.6,25.9,21,25.8
Gleyber Torres,RHB,DET,Colin Rea,R,24.5,25.3,14,41,25.8
Andy Pages,RHB,LAD,Aaron Nola,R,37.1,17.4,16.4,43.9,25.7
Salvador Perez,RHB,KC,Landen Roupp,R,31.8,15.6,22.4,40.6,25.5
Manny Machado,RHB,SD,Martin Perez,L,25.5,26.8,24.5,24.7,25.5
