Matchup,SD @ PHI
Pitcher,Lucas Giolito
Pitcher Team,SD
Opposing Team,PHI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,12.2,56,0.227,0.345,0.364,0.136,1.66,2,1.42,19.6%,21.5%,10.7%,9.4%,8.2%,4.26,52.6%,5.8%,2.6%,42.1%,28.9%,18.2%,26.3%
vsLHB,7.0,33,0.292,0.410,0.417,0.125,2.14,1,1.29,24.2%,19.2%,3.0%,2.5%,7.1%,1.29,54.5%,7.1%,-,43.5%,21.7%,20.0%,34.8%
vsRHB,5.2,23,0.150,0.254,0.300,0.150,1.06,1,1.59,13.0%,24.4%,21.7%,20.8%,9.8%,7.94,50.0%,3.9%,6.7%,40.0%,40.0%,16.7%,13.3%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kyle Schwarber LHB,+226,15,4.20,2,2,0.143,0.200,0.571,0.429,0.323,6.7%,38.2%,53.3%,21.3%,97.8,33.3%,33.3%,50.0%,66.7%,50.0%,77.9,84.4%,12.5%,9.4%,94.1%,83.3%,20.0%,16.7%,-,50.0%,33.3%,16.7%,25.0%
Bryson Stott LHB,+670,16,3.80,1,2,0.143,0.250,0.357,0.214,0.268,12.5%,17.1%,6.2%,7.7%,90.6,23.1%,-,-,46.2%,30.8%,69.9,9.4%,31.2%,9.4%,94.1%,46.2%,16.7%,15.4%,23.1%,15.4%,53.8%,30.8%,26.3%
J.T. Realmuto RHB,+630,15,2.80,1,1,0.231,0.333,0.462,0.231,0.350,6.7%,15.4%,20.0%,8.0%,86.0,20.0%,10.0%,10.0%,40.0%,50.0%,71.5,19.0%,23.8%,14.3%,84.0%,20.0%,50.0%,30.0%,30.0%,30.0%,40.0%,30.0%,40.0%
Trea Turner RHB,+579,12,4.00,1,2,0.167,0.167,0.417,0.250,0.249,-,29.7%,16.7%,20.0%,93.0,20.0%,10.0%,20.0%,70.0%,40.0%,72.2,25.0%,18.8%,6.2%,88.9%,50.0%,20.0%,20.0%,20.0%,20.0%,20.0%,60.0%,46.7%
Alec Bohm RHB,+710,11,4.00,1,1,0.200,0.273,0.500,0.300,0.331,9.1%,26.9%,9.1%,12.5%,89.8,11.1%,-,-,33.3%,11.1%,69.4,-,35.0%,10.0%,76.9%,44.4%,25.0%,-,55.6%,11.1%,44.4%,44.4%,43.8%
Bryce Harper LHB,+354,17,3.80,0,0,0.154,0.353,0.154,-,0.257,23.5%,18.2%,11.8%,6.5%,90.1,-,-,-,45.5%,18.2%,74.4,42.9%,28.6%,9.5%,100.0%,18.2%,0.0%,18.2%,63.6%,45.5%,45.5%,9.1%,28.6%
Rafael Marchan SHB,N/A,16,2.60,0,0,0.067,0.125,0.067,-,0.096,6.2%,15.2%,6.2%,8.3%,82.7,-,-,21.4%,7.1%,14.3%,66.1,-,28.1%,-,97.0%,7.1%,0.0%,7.1%,35.7%,42.9%,21.4%,35.7%,23.5%
Edmundo Sosa RHB,N/A,12,2.40,0,1,-,-,-,-,-,-,42.4%,33.3%,28.6%,90.1,25.0%,12.5%,25.0%,50.0%,37.5%,71.9,20.7%,20.7%,10.3%,87.9%,25.0%,0.0%,25.0%,37.5%,50.0%,37.5%,12.5%,23.1%
Adolis Garcia RHB,+522,11,3.20,0,0,-,0.091,-,-,0.059,9.1%,69.2%,72.7%,31.6%,84.8,-,-,-,-,-,69.7,9.1%,4.5%,-,84.6%,-,-,-,50.0%,50.0%,-,50.0%,38.5%
Brandon Marsh LHB,+570,10,3.40,0,0,0.556,0.600,0.556,-,0.510,10.0%,17.4%,20.0%,8.7%,95.6,-,-,14.3%,42.9%,71.4%,72.6,23.8%,28.6%,14.3%,91.3%,-,-,71.4%,28.6%,42.9%,57.1%,-,23.1%
Garrett Stubbs LHB,N/A,10,2.60,0,0,-,0.200,-,-,0.137,10.0%,4.8%,-,2.7%,73.8,-,-,12.5%,37.5%,25.0%,68.6,-,26.7%,-,88.2%,25.0%,0.0%,25.0%,12.5%,12.5%,62.5%,25.0%,30.0%
Justin Crawford LHB,+1080,8,3.40,0,0,-,-,-,-,-,-,18.5%,37.5%,10.0%,90.8,-,-,-,-,-,69.4,-,19.2%,-,96.3%,40.0%,0.0%,-,40.0%,20.0%,20.0%,60.0%,40.0%
Steward Berroa SHB,N/A,1,2.00,0,0,1.000,1.000,1.000,-,0.890,-,0.0%,-,-,91.8,-,-,-,-,100.0%,68.6,-,100.0%,-,100.0%,-,-,100.0%,-,-,100.0%,-,100.0%
