Matchup,STL @ CHC
Pitcher,Andre Pallante
Pitcher Team,STL
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,57.0,236,0.260,0.301,0.379,0.119,1.21,5,0.79,5.1%,19.6%,17.8%,14.7%,9.0%,6.63,68.6%,7.4%,4.5%,33.1%,14.6%,19.2%,13.5%
vsLHB,29.1,126,0.277,0.306,0.387,0.109,1.36,2,0.61,5.6%,16.7%,15.9%,14.1%,7.7%,6.14,65.9%,8.1%,4.0%,35.4%,12.1%,16.7%,11.1%
vsRHB,27.2,110,0.240,0.295,0.370,0.130,1.05,3,0.98,4.5%,22.7%,20.0%,15.4%,10.4%,7.16,71.8%,6.6%,5.1%,30.4%,17.7%,21.4%,16.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Pete Crow-Armstrong LHB,,+144,22,15,4.80,2,2,0.400,0.600,1.000,0.600,0.615,33.3%,42.3%,20.0%,17.5%,79.9,293.3,2,2,14.3%,-,28.6%,28.6%,57.1%,74.7,52.4%,9.5%,9.5%,80.8%,57.2%,28.6%,100.0%,28.6%,28.6%,42.9%,57.1%,-,36.8%
Dansby Swanson RHB,,+193,23,16,4.20,1,1,0.154,0.312,0.462,0.308,0.332,18.8%,24.0%,18.8%,11.1%,96.1,341.7,4,2,10.0%,10.0%,20.0%,70.0%,20.0%,71.1,13.6%,45.5%,18.2%,88.0%,60.0%,40.0%,25.0%,20.0%,40.0%,60.0%,30.0%,10.0%,40.0%
Seiya Suzuki RHB,,+160,32,14,5.20,1,2,0.286,0.286,0.571,0.286,0.368,-,15.0%,28.6%,5.5%,84.2,284.0,3,3,10.0%,-,30.0%,40.0%,30.0%,73.6,35.7%,35.7%,7.1%,73.7%,50.0%,40.0%,25.0%,10.0%,40.0%,50.0%,40.0%,10.0%,16.7%
Carson Kelly RHB,—,N/A,11,13,3.00,1,1,0.300,0.462,0.600,0.300,0.448,23.1%,11.1%,7.7%,4.1%,76.6,359.0,3,1,11.1%,11.1%,22.2%,11.1%,22.2%,71.2,11.8%,17.6%,5.9%,94.4%,33.3%,22.2%,50.0%,11.1%,66.7%,66.7%,22.2%,11.1%,28.6%
Nico Hoerner RHB,,+414,11,18,4.20,0,0,0.250,0.333,0.312,0.062,0.295,5.6%,16.7%,11.1%,9.1%,80.3,235.9,1,0,-,-,14.3%,35.7%,28.6%,67.1,-,31.2%,6.2%,69.6%,50.0%,21.4%,0.0%,28.6%,50.0%,21.4%,42.9%,35.7%,46.2%
Alex Bregman RHB,,+223,20,14,5.20,0,0,0.111,0.357,0.111,-,0.259,14.3%,9.1%,-,3.5%,84.1,208.7,3,1,-,-,30.0%,30.0%,50.0%,70.1,5.6%,22.2%,5.6%,81.8%,50.0%,10.0%,0.0%,40.0%,10.0%,40.0%,40.0%,20.0%,20.0%
Michael Busch LHB,,+173,21,14,5.00,0,0,0.083,0.214,0.167,0.083,0.183,14.3%,20.0%,21.4%,10.4%,85.9,242.6,2,0,-,-,-,22.2%,22.2%,66.1,-,33.3%,4.2%,96.0%,66.7%,55.6%,0.0%,11.1%,22.2%,22.2%,11.1%,66.7%,50.0%
Michael Conforto LHB,,+217,22,12,2.80,0,1,-,0.167,-,-,0.108,16.7%,35.3%,41.7%,12.5%,92.8,309.3,2,0,-,-,20.0%,20.0%,40.0%,71.7,23.1%,23.1%,7.7%,76.5%,60.0%,60.0%,0.0%,-,40.0%,20.0%,60.0%,20.0%,28.6%
Pedro Ramirez SHB,—,N/A,16,11,3.20,0,0,0.182,0.182,0.182,-,0.162,-,29.2%,45.5%,14.9%,98.4,257.3,0,0,-,-,-,83.3%,16.7%,71.4,13.6%,22.7%,18.2%,91.7%,16.7%,-,-,16.7%,83.3%,33.3%,50.0%,16.7%,16.7%
Miguel Amaya RHB,,+254,22,10,3.80,0,0,0.125,0.300,0.125,-,0.226,10.0%,14.3%,30.0%,6.3%,85.2,291.0,0,0,-,-,-,20.0%,20.0%,69.4,4.3%,17.4%,4.3%,85.2%,20.0%,-,-,20.0%,80.0%,40.0%,60.0%,-,15.4%
Ian Happ SHB,,+174,25,10,4.20,0,0,-,0.200,-,-,0.130,20.0%,42.9%,60.0%,18.8%,91.2,147.7,0,0,-,-,-,50.0%,-,71.0,7.7%,7.7%,-,96.3%,100.0%,50.0%,0.0%,50.0%,-,-,50.0%,50.0%,44.4%
Justin Dean RHB,—,N/A,-,2,1.25,0,0,0.500,0.500,1.500,1.000,0.810,-,40.0%,50.0%,33.3%,98.7,300.4,1,0,-,-,-,100.0%,100.0%,65.8,-,25.0%,25.0%,80.0%,100.0%,-,-,100.0%,-,-,-,100.0%,0.0%
Kevin Alcantara RHB,—,N/A,-,2,1.80,0,0,-,-,-,-,-,-,50.0%,50.0%,20.0%,94.6,-,0,0,-,-,-,-,-,79.0,75.0%,-,-,100.0%,-,-,-,-,100.0%,100.0%,-,-,0.0%
