HR Split,Overall
Dates,"=""8/2/2026"""
Games,19

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,1:37 PM,Max Scherzer,vs,1.96,2.20,0.83,3.43,12.4%,35.4%,37.0%,27.5%,7.3%,619
2,1:40 PM,Gavin Williams,vs,0.73,0.42,0.62,1.53,10.2%,24.7%,48.5%,29.4%,8.2%,1378
3,3:10 PM,Kyle Freeland,vs,0.67,-0.21,0.60,1.68,11.4%,18.7%,43.3%,28.3%,8.9%,1281
4,1:40 PM,Merrill Kelly,@,0.58,0.85,0.08,1.52,12.0%,18.9%,49.0%,25.8%,5.4%,1331
5,2:20 PM,Gerrit Cole,@,0.51,0.69,0.04,1.32,11.4%,16.1%,44.5%,32.9%,8.3%,396
6,4:05 PM,Gage Jump,vs,0.31,-0.13,0.25,1.53,7.8%,22.9%,44.2%,26.7%,8.1%,374
7,4:10 PM,George Kirby,vs,0.25,0.55,-0.04,1.49,9.3%,16.8%,42.6%,26.9%,8.0%,1222
8,4:10 PM,Taj Bradley,@,0.24,0.84,-0.33,1.32,9.1%,20.7%,42.6%,27.8%,7.7%,1234
9,2:20 PM,Colin Rea,vs,0.14,-0.29,0.61,1.48,9.4%,14.5%,39.2%,28.6%,7.2%,1297
10,3:10 PM,Seth Lugo,@,0.05,0.48,-0.26,1.14,8.1%,14.2%,47.6%,29.2%,8.5%,1249
11,7:20 PM,Emmet Sheehan,vs,0.03,0.08,0.08,1.27,8.8%,16.5%,38.2%,31.3%,6.2%,832
12,3:15 PM,Jacob Misiorowski,@,-0.02,-0.72,0.77,1.33,5.1%,29.0%,38.6%,26.4%,8.0%,877
13,2:10 PM,Kumar Rocker,@,-0.03,0.67,-0.49,1.38,7.6%,16.8%,40.6%,25.9%,8.2%,838
14,1:40 PM,Chase Burns,vs,-0.10,0.55,-0.59,1.02,8.8%,12.6%,38.7%,33.6%,7.4%,762
15,1:40 PM,Mitch Keller,@,-0.17,0.44,-0.63,1.21,7.7%,10.3%,43.6%,27.0%,8.3%,1343
16,1:40 PM,Griffin Jax,vs,-0.22,0.03,-0.16,0.99,8.8%,16.7%,38.4%,26.3%,6.7%,750
17,1:35 PM,Zack Wheeler,@,-0.26,0.18,-0.50,1.36,5.0%,27.6%,34.2%,24.6%,5.2%,1093
18,1:40 PM,Anthony Kay,@,-0.28,-1.13,0.13,1.17,8.3%,15.2%,37.9%,23.9%,6.2%,567
19,1:37 PM,Matthew Liberatore,@,-0.32,0.04,-0.22,1.18,5.9%,14.4%,41.9%,28.0%,6.7%,1214
20,1:40 PM,Sandy Alcantara,@,-0.39,-0.09,-0.31,1.15,6.2%,18.4%,38.0%,22.6%,7.4%,1508
21,4:10 PM,Michael King,vs,-0.39,-0.12,-0.21,1.03,8.5%,12.2%,30.8%,31.3%,5.8%,944
22,1:35 PM,Cade Cavalli,@,-0.42,0.05,-0.50,0.97,5.9%,16.4%,43.6%,22.4%,9.0%,826
23,4:05 PM,Keider Montero,@,-0.53,0.30,-0.73,1.03,5.7%,20.7%,36.2%,20.1%,8.1%,930
24,2:10 PM,Peter Lambert,vs,-0.80,-0.84,-0.20,0.62,5.8%,7.5%,35.8%,33.4%,6.9%,548
25,7:20 PM,Jake Bennett,@,-0.80,-1.81,-0.16,0.76,5.2%,10.1%,36.4%,27.4%,8.1%,383
26,1:35 PM,Kyle Bradish,vs,-0.90,-0.69,-0.40,0.64,6.6%,10.9%,36.9%,23.4%,5.4%,746
27,4:10 PM,Landen Roupp,@,-0.93,-1.03,-0.21,0.84,5.9%,14.1%,30.9%,22.6%,4.9%,1064
28,3:15 PM,Walbert Urena,vs,-1.42,-0.60,-1.17,0.45,3.9%,7.9%,32.6%,21.4%,6.3%,510
29,1:35 PM,JR Ritchie,vs,0.55,0.40,0.70,1.60,8.5%,16.0%,38.0%,28.0%,7.0%,150
30,1:40 PM,Robert Stock,vs,0.50,0.35,0.65,1.55,8.0%,15.0%,37.0%,27.0%,7.0%,80
