Matchup,LAA @ LAD
Pitcher,Reid Detmers
Pitcher Team,LAA
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,68.0,287,0.227,0.290,0.363,0.137,1.18,6,0.79,7.7%,29.4%,28.6%,22.2%,14.4%,10.85,61.5%,8.1%,7.2%,35.6%,30.0%,9.3%,13.9%
vsLHB,18.1,75,0.197,0.250,0.258,0.061,0.98,1,0.49,6.7%,29.7%,24.0%,20.5%,14.1%,8.84,64.0%,7.9%,8.2%,36.7%,24.5%,-,2.0%
vsRHB,49.1,212,0.237,0.305,0.400,0.163,1.26,5,0.91,8.0%,29.3%,30.2%,22.8%,14.5%,11.68,60.6%,8.1%,6.9%,35.1%,32.1%,11.9%,18.3%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Santiago Espinal RHB,N/A,14,2.60,1,1,0.154,0.143,0.385,0.231,0.214,-,16.0%,21.4%,7.1%,85.3,9.1%,9.1%,18.2%,27.3%,54.5%,68.9,9.1%,36.4%,9.1%,88.0%,63.6%,14.3%,9.1%,18.2%,27.3%,27.3%,45.5%,18.2%
Mookie Betts RHB,N/A,13,4.40,1,1,0.364,0.385,0.727,0.364,0.446,7.7%,22.2%,15.4%,9.7%,88.1,10.0%,-,30.0%,20.0%,60.0%,66.6,-,26.1%,4.3%,92.0%,50.0%,20.0%,30.0%,10.0%,40.0%,30.0%,30.0%,27.3%
Andy Pages RHB,N/A,14,5.00,0,0,0.286,0.286,0.500,0.214,0.336,-,27.3%,21.4%,12.5%,86.9,9.1%,-,9.1%,45.5%,63.6%,72.6,30.0%,25.0%,20.0%,95.2%,27.3%,0.0%,36.4%,36.4%,27.3%,72.7%,-,28.6%
Will Smith RHB,N/A,13,3.80,0,0,0.100,0.308,0.100,-,0.218,23.1%,9.5%,23.1%,3.3%,97.7,14.3%,-,28.6%,71.4%,57.1%,71.4,20.0%,35.0%,15.0%,95.2%,42.9%,0.0%,42.9%,14.3%,28.6%,71.4%,-,23.1%
Alex Call RHB,N/A,12,3.40,0,0,0.636,0.583,0.818,0.182,0.582,-,13.6%,-,7.1%,80.8,-,-,-,8.3%,16.7%,67.6,5.3%,31.6%,-,86.4%,16.7%,0.0%,16.7%,41.7%,16.7%,41.7%,41.7%,20.0%
Max Muncy LHB,N/A,10,3.40,0,0,0.125,0.300,0.125,-,0.219,20.0%,35.0%,40.0%,14.3%,83.7,-,-,50.0%,25.0%,-,70.3,-,12.5%,6.2%,84.2%,50.0%,0.0%,-,50.0%,75.0%,25.0%,-,36.4%
Shohei Ohtani LHB,N/A,9,5.00,0,0,0.222,0.222,0.333,0.111,0.240,-,10.0%,22.2%,4.8%,95.8,-,-,14.3%,71.4%,42.9%,73.1,44.4%,66.7%,22.2%,90.0%,28.6%,0.0%,28.6%,28.6%,28.6%,28.6%,42.9%,57.1%
Kyle Tucker LHB,N/A,9,4.20,0,1,0.500,0.667,0.833,0.333,0.597,33.3%,25.0%,-,12.5%,85.3,16.7%,16.7%,33.3%,16.7%,50.0%,69.4,17.6%,23.5%,5.9%,89.5%,16.7%,0.0%,50.0%,16.7%,33.3%,16.7%,50.0%,41.7%
Dalton Rushing LHB,N/A,9,3.00,0,0,0.250,0.333,0.250,-,0.270,11.1%,50.0%,44.4%,24.0%,91.3,-,-,-,50.0%,50.0%,71.2,10.0%,30.0%,20.0%,83.3%,25.0%,0.0%,50.0%,25.0%,25.0%,75.0%,-,60.0%
Miguel Rojas RHB,N/A,8,2.40,0,0,0.286,0.375,0.286,-,0.312,-,4.8%,12.5%,2.4%,79.2,-,-,-,-,66.7%,66.1,4.8%,14.3%,-,100.0%,33.3%,0.0%,33.3%,33.3%,16.7%,66.7%,16.7%,20.0%
Freddie Freeman LHB,N/A,7,4.80,0,1,0.167,0.286,0.333,0.167,0.274,14.3%,23.5%,57.1%,11.1%,98.5,50.0%,50.0%,50.0%,100.0%,50.0%,68.8,-,16.7%,8.3%,70.6%,50.0%,0.0%,-,50.0%,100.0%,-,-,33.3%
Alex Freeland SHB,N/A,5,3.20,0,0,0.250,0.400,0.250,-,0.308,20.0%,38.5%,20.0%,13.5%,82.2,-,-,66.7%,-,100.0%,69.0,-,-,-,90.0%,33.3%,0.0%,33.3%,33.3%,66.7%,33.3%,-,37.5%
