Split,vsLHB
Range,L10
Dates,="8/22/2026"
Games,15

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
7:15 PM,Patrick Sandoval,vs,6.0,39,5.60,0.500,0.545,3.33,0.250,0.750,2,3.00,27,24.2%,25.6%,29.4%,10.7%,15.00,2,5.1%,56.4%,6.4%,26,38.5%,2,7.7%,38.5%,20.0%,11.5%
7:05 PM,Cody Bradford,vs,4.1,23,6.56,0.400,0.433,2.31,0.150,0.550,1,2.08,11,7.4%,8.7%,20.0%,2.8%,4.15,2,8.7%,78.3%,5.6%,19,47.4%,1,5.3%,47.4%,11.1%,15.8%
2:10 PM,Martin Perez,@,13.0,56,3.48,0.309,0.326,1.38,0.127,0.436,2,1.38,24,18.3%,21.4%,19.0%,8.6%,8.31,1,1.8%,55.4%,6.8%,43,48.8%,2,4.7%,16.3%,28.6%,14.0%
7:15 PM,Blade Tidwell,@,11.1,58,6.89,0.306,0.386,2.03,0.163,0.469,2,1.59,23,14.9%,8.6%,6.6%,6.5%,3.97,8,13.8%,63.8%,8.2%,44,40.9%,5,11.4%,20.5%,22.2%,31.8%
6:05 PM,Andrew Painter,vs,29.0,134,6.82,0.300,0.398,1.62,0.275,0.575,9,2.79,69,21.7%,17.9%,16.4%,10.4%,7.45,11,8.2%,66.7%,6.3%,97,36.1%,8,8.2%,29.9%,27.6%,19.6%
8:10 PM,Rhett Lowder,@,26.2,124,4.97,0.295,0.358,1.65,0.196,0.491,5,1.69,55,19.6%,19.4%,17.6%,9.5%,8.10,11,8.9%,55.6%,7.6%,89,36.0%,8,9.0%,36.0%,15.6%,13.5%
7:10 PM,Luis Castillo,vs,33.2,151,5.60,0.291,0.363,1.51,0.241,0.532,8,2.14,75,22.1%,16.6%,13.4%,11.5%,6.68,10,6.6%,71.7%,7.8%,116,34.5%,12,10.3%,32.8%,21.1%,20.7%
7:15 PM,Drew Anderson,@,13.0,57,4.41,0.288,0.338,1.54,0.135,0.423,2,1.38,22,23.7%,21.1%,19.0%,11.0%,8.31,5,8.8%,66.7%,8.1%,40,35.0%,4,10.0%,30.0%,16.7%,15.0%
8:10 PM,Gabriel Hughes,vs,22.2,103,4.03,0.283,0.335,1.50,0.141,0.424,2,0.79,39,16.7%,15.5%,12.9%,7.8%,6.35,8,7.8%,61.2%,7.5%,78,28.2%,3,3.8%,20.5%,12.5%,23.1%
7:10 PM,Christian Scott,@,30.0,134,4.63,0.268,0.351,1.40,0.228,0.496,7,2.10,61,28.6%,29.1%,18.7%,15.4%,11.70,9,6.7%,65.7%,7.9%,84,35.7%,8,9.5%,28.6%,29.2%,23.8%
7:05 PM,Brandon Young,vs,32.1,142,3.97,0.252,0.317,1.45,0.142,0.394,3,0.84,50,25.9%,19.7%,15.9%,12.6%,7.79,15,10.6%,65.7%,7.8%,99,38.4%,3,3.0%,25.3%,12.0%,19.2%
7:15 PM,Bryan Woo,vs,32.2,143,3.59,0.252,0.321,1.35,0.150,0.402,3,0.83,51,24.7%,23.8%,17.6%,12.8%,9.37,12,8.4%,59.0%,5.5%,94,47.9%,4,4.3%,29.8%,10.7%,13.8%
7:05 PM,Ryan Johnson,@,27.2,117,6.10,0.248,0.333,1.37,0.200,0.448,7,2.28,47,21.7%,18.8%,17.3%,9.0%,7.16,12,10.3%,60.2%,8.6%,83,31.3%,12,14.5%,38.6%,21.9%,10.8%
8:40 PM,Casey Mize,vs,29.2,126,3.10,0.248,0.289,1.25,0.120,0.368,2,0.61,43,19.7%,19.8%,15.2%,9.6%,7.58,8,6.3%,67.5%,9.0%,93,38.7%,7,7.5%,33.3%,6.5%,15.1%
8:40 PM,Dean Kremer,@,30.2,131,5.55,0.248,0.348,1.34,0.256,0.504,7,2.05,59,25.9%,19.8%,17.8%,11.7%,7.63,12,9.2%,61.7%,5.8%,93,31.2%,5,5.4%,34.4%,21.9%,24.7%
