Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Justin Foscue,RHB,TEX,Carson Whisenhunt,L,41.1,40.5,26.3,70.6,43.8
Hunter Goodman,RHB,COL,Nick Martinez,R,42.8,39.1,43.9,49.4,43.5
Manny Machado,RHB,SD,Mitch Bratt,L,30.6,38.3,34.9,63.1,42.7
Jonathan Aranda,LHB,TB,Tomoyuki Sugano,R,42.9,46.2,24.7,59.1,42.6
Derek Hill,RHB,PHI,Jake Irvin,R,18.1,36.5,38.1,61.4,41.4
Bryan Reynolds,SHB,PIT,Kyle Harrison,L,33.5,35.8,29,52.2,37.6
Fernando Tatis Jr.,RHB,SD,Mitch Bratt,L,25.4,43.6,9.1,67,37.3
Coby Mayo,RHB,BAL,Reid Detmers,L,51.1,43.5,21.2,39.5,36.6
Brandon Lowe,LHB,PIT,Kyle Harrison,L,38.2,41.1,33.9,32.5,36.5
Seiya Suzuki,RHB,CHC,Eric Lauer,L,28.9,34.7,28.5,51.2,36.4
Nathaniel Lowe,LHB,CLE,Christian Scott,R,38,27.1,30.5,54.1,36
Travis Bazzana,LHB,CLE,Christian Scott,R,34.5,30.8,37.4,41,35.7
Ben Rice,LHB,NYY,Andre Pallante,R,38.6,30.4,38.1,39.2,35.7
Spencer Torkelson,RHB,DET,Bryan Woo,R,33.1,33.1,32.9,43.2,35.6
Jose Ramirez,SHB,CLE,Christian Scott,R,30.1,41.5,26.9,39.1,35.4
Liam Hicks,LHB,TB,Tomoyuki Sugano,R,37.6,37.1,22.1,46.5,35
Luis Garcia Jr.,LHB,NYY,Andre Pallante,R,33.9,30,33.4,42.9,34.6
Gabriel Arias,RHB,CLE,Christian Scott,R,55,28.8,28.8,41.1,34.5
Kyle Schwarber,LHB,PHI,Jake Irvin,R,36.8,31,30.2,42.8,34.3
Marcell Ozuna,RHB,PIT,Kyle Harrison,L,29,42.5,30,25.6,33.2
Cedric Mullins,LHB,TB,Tomoyuki Sugano,R,35,17.7,28.1,57.7,32.6
Ryan Jeffers,RHB,MIN,Noah Cameron,L,21.1,42,18,38.2,31.8
Zach Neto,RHB,LAA,Trevor Rogers,L,27.2,31.9,19.2,48.3,31.7
Leo Jimenez,RHB,MIA,Bryce Elder,R,42,45.1,,46.9,31.7
Gleyber Torres,RHB,DET,Bryan Woo,R,39.9,29.2,16,50.5,31.6
Mike Trout,RHB,LAA,Trevor Rogers,L,35.8,23.5,19.9,54.4,31.4
Jeff McNeil,LHB,ATH,Rhett Lowder,R,26,27.2,13.5,59.9,31.1
Bobby Witt Jr.,RHB,KC,Dean Kremer,R,39,32.1,23.5,35.3,31
Mickey Moniak,LHB,COL,Nick Martinez,R,32.7,26,32.7,35.1,31
Jackson Merrill,LHB,SD,Mitch Bratt,L,45.2,22.1,22.1,47.9,30.9
Bryson Stott,LHB,PHI,Jake Irvin,R,26.9,30.4,12.7,54.6,30.8
Francisco Lindor,SHB,NYM,Tanner Bibee,R,32.2,27,20.4,45.5,30.2
