Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Coby Mayo","BAL","Ranger Suarez","BOS","3","0.667","0.50","1.00","1.67","1","0","0","1","1","3","5","0.0","0.667","0"
"Bobby Witt Jr.","KC","Jameson Taillon","TOR","3","0.667","1.00","1.00","1.67","1","0","0","1","1","2","5","33.3","0.667","0"
"Spencer Torkelson","DET","Logan Allen","CLE","8","0.625","0.50","1.00","1.63","1","2","0","2","4","3","13","0.0","0.667","1"
"Jake Bauers","MIL","Rhett Lowder","CIN","8","0.625","0.75","0.75","1.38","3","0","0","2","2","2","11","25.0","0.625","0"
"Jazz Chisholm Jr.","NYY","Walker Buehler","SD","10","0.600","0.67","0.70","1.30","3","1","0","2","3","7","13","20.0","0.600","0"
"Jackson Merrill","SD","Max Fried","NYY","7","0.571","0.60","0.71","1.29","2","0","1","1","2","3","9","14.3","0.571","0"
"Lane Thomas","ATL","Cristopher Sanchez","PHI","14","0.571","0.54","0.36","0.93","5","2","0","1","3","1","13","0.0","0.647","3"
"Austin Hays","SD","Max Fried","NYY","9","0.556","0.56","0.11","0.67","4","1","0","0","1","1","6","0.0","0.556","0"
"Ozzie Albies","ATL","Cristopher Sanchez","PHI","15","0.533","0.53","0.13","0.67","6","2","0","0","2","0","10","0.0","0.563","1"
"Walker Jenkins","MIN","Erick Fedde","CWS","2","0.500","0.50","0.50","1.00","0","1","0","0","1","1","2","0.0","0.500","0"
"Hao-Yu  Lee","DET","Foster Griffin","CLE","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Spencer Torkelson","DET","Foster Griffin","CLE","2","0.500","1.00","0.50","1.00","0","1","0","0","1","2","2","50.0","0.500","0"
"Yainer Diaz","HOU","Merrill Kelly","ARI","2","0.500","0.50","0.50","1.00","0","1","0","0","1","1","2","0.0","0.500","0"
"Gabriel Arias","CHC","Janson Junk","MIA","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Eugenio Suarez","CIN","Shane Drohan","MIL","4","0.500","0.67","0.50","1.00","0","2","0","0","2","0","4","25.0","0.600","1"
"Ernie Clement","TOR","Daniel Lynch IV","KC","6","0.500","0.40","0.50","1.00","2","0","0","1","1","2","6","0.0","0.500","0"
"Sal Frelick","MIL","Rhett Lowder","CIN","8","0.500","0.50","0.13","0.63","3","1","0","0","1","2","5","0.0","0.500","0"
"Vladimir Guerrero Jr.","TOR","Daniel Lynch IV","KC","8","0.500","0.50","0.38","0.88","3","0","0","1","1","1","7","12.5","0.500","0"
"William Contreras","MIL","Rhett Lowder","CIN","8","0.500","0.50","0.38","0.88","3","0","0","1","1","2","7","12.5","0.500","0"
"Elias Diaz","TEX","Nick Martinez","TB","8","0.500","0.60","0.50","1.00","2","1","0","1","2","2","8","25.0","0.500","0"
"Fernando Tatis Jr.","SD","Max Fried","NYY","10","0.500","0.56","0.10","0.60","4","1","0","0","1","0","6","10.0","0.583","2"
"Austin Riley","ATL","Cristopher Sanchez","PHI","12","0.500","0.50","0.25","0.75","5","0","0","1","1","4","9","16.7","0.462","0"
"Sam Antonacci","CWS","Zebby Matthews","MIN","7","0.429","0.43","0.14","0.57","2","1","0","0","1","0","4","0.0","0.429","0"
"Luke Keaschall","MIN","Erick Fedde","CWS","5","0.400","0.40","0.20","0.60","1","1","0","0","1","0","3","0.0","0.400","0"
"Joc Pederson","TEX","Nick Martinez","TB","5","0.400","0.00","1.20","1.60","0","0","0","2","2","3","8","60.0","0.571","1"
"Nolan Arenado","ARI","Cristian Javier","HOU","5","0.400","0.00","1.20","1.60","0","0","0","2","2","4","8","20.0","0.400","0"
"Tommy Pham","CWS","Zebby Matthews","MIN","5","0.400","0.67","0.20","0.60","1","1","0","0","1","1","3","40.0","0.400","0"
"Zack Gelof","ATH","Logan Gilbert","SEA","8","0.375","0.40","0.50","0.88","1","1","0","1","2","1","7","25.0","0.375","0"
"George Springer","TOR","Daniel Lynch IV","KC","8","0.375","0.50","0.13","0.50","2","1","0","0","1","3","4","25.0","0.444","1"
