Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-08-10,Sutter Health Park,TB  @ ATH,9:40,+37%,+19%,+8%,+30%,+0.84,+0.67,+0.86,+2.61,+29%,+14%,+1%,+19%,+0.64,+0.49,+0.13,+1.65,+9%,+5%,+7%,+11%,+0.19,+0.19,+0.73,+0.96
2026-08-10,Rogers Centre,BOS @ TOR,7:07,+22%,+7%,-2%,+10%,+0.50,+0.24,-0.18,+0.87,+7%,-2%,-2%,-1%,+0.16,-0.07,-0.24,-0.12,+16%,+9%,+1%,+11%,+0.35,+0.32,+0.07,+0.99
2026-08-10,Dodger Stadium,KC  @ LAD,10:10,+19%,+0%,-5%,+3%,+0.42,+0.02,-0.53,+0.23,+18%,-3%,-5%,+1%,+0.40,-0.09,-0.54,+0.06,+1%,+3%,+0%,+2%,+0.03,+0.11,+0.01,+0.17
2026-08-10,Target Field,BAL @ MIN,7:40,-4%,+5%,-2%,+0%,-0.09,+0.16,-0.16,+0.01,-7%,+2%,+2%,+0%,-0.15,+0.08,+0.19,+0.04,+3%,+2%,-3%,0%,+0.07,+0.08,-0.35,-0.04
2026-08-10,Chase Field,COL @ ARI,9:40,-8%,+11%,0%,+0%,-0.18,+0.37,-0.01,+0.00,-8%,+13%,+0%,+1%,-0.18,+0.45,+0.02,+0.10,0%,-2%,0%,-1%,0.00,-0.07,-0.02,-0.09
2026-08-10,Angel Stadium,TEX @ LAA,9:38,-2%,-5%,0%,-2%,-0.05,-0.16,0.00,-0.21,-8%,-4%,+1%,-4%,-0.19,-0.14,+0.12,-0.33,+6%,0%,-1%,+1%,+0.14,-0.02,-0.12,+0.12
2026-08-10,Busch Stadium,PHI @ STL,7:45,+6%,-9%,+3%,-3%,+0.13,-0.30,+0.28,-0.22,-12%,-5%,+4%,-7%,-0.26,-0.19,+0.41,-0.64,+17%,-3%,-1%,+5%,+0.39,-0.11,-0.13,+0.42
2026-08-10,Truist Park,NYM @ ATL,7:15,+3%,-7%,-3%,-5%,+0.08,-0.26,-0.35,-0.43,-2%,-7%,+1%,-3%,-0.04,-0.23,+0.16,-0.26,+5%,-1%,-5%,-2%,+0.12,-0.03,-0.51,-0.16
2026-08-10,Oracle Park,HOU @ SF,9:45,-24%,+11%,+3%,-6%,-0.54,+0.39,+0.30,-0.52,-15%,+13%,+6%,+1%,-0.34,+0.45,+0.64,+0.08,-9%,-2%,-3%,-7%,-0.20,-0.06,-0.34,-0.60
2026-08-10,Petco Park,MIL @ SD,9:40,-2%,-9%,-5%,-6%,-0.04,-0.32,-0.58,-0.54,-5%,-11%,-5%,-7%,-0.11,-0.38,-0.48,-0.64,+3%,+2%,-1%,+1%,+0.07,+0.06,-0.10,+0.10
