Split,Season
Range,L10
Dates,="7/2/2026"
Games,20

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
3:10 PM,Michael Lorenzen,vs,47.1,227,4.45,0.337,0.398,1.82,0.205,0.541,7,1.33,111,18.5%,18.5%,17.6%,8.3%,7.99,17,7.5%,63.4%,7.1%,166,44.6%,14,8.4%,27.7%,15.2%,15.7%
10:10 PM,Randy Vasquez,@,47.0,216,5.78,0.323,0.396,1.68,0.247,0.571,10,1.91,113,17.1%,12.0%,9.7%,8.4%,4.98,15,6.9%,63.6%,9.6%,174,48.3%,22,12.6%,31.0%,16.7%,20.7%
3:10 PM,Ryan Gusto,@,21.2,99,3.70,0.278,0.326,1.52,0.122,0.400,2,0.83,36,20.1%,20.2%,18.2%,9.9%,8.31,8,8.1%,63.6%,7.8%,70,47.1%,7,10.0%,25.7%,5.6%,14.3%
12:35 PM,Jared Jones,@,25.1,110,4.76,0.267,0.346,1.42,0.218,0.485,5,1.78,49,32.4%,22.7%,22.1%,15.6%,8.88,9,8.2%,53.1%,6.3%,76,40.8%,7,9.2%,26.3%,20.0%,21.1%
8:05 PM,Framber Valdez,@,55.2,244,4.75,0.264,0.335,1.38,0.162,0.426,8,1.29,92,20.2%,18.4%,19.1%,9.2%,7.28,20,8.2%,58.6%,7.4%,173,41.0%,15,8.7%,21.4%,18.9%,15.0%
7:40 PM,Stephen Kolek,vs,52.0,213,4.54,0.255,0.315,1.19,0.180,0.435,8,1.38,87,20.0%,16.0%,16.9%,9.7%,5.88,11,5.2%,57.0%,6.6%,166,38.0%,12,7.2%,21.1%,17.1%,12.7%
6:40 PM,Davis Martin,@,56.0,234,2.96,0.252,0.300,1.25,0.121,0.374,4,0.64,80,29.3%,24.4%,21.0%,14.5%,9.16,16,6.8%,59.8%,6.9%,159,41.5%,9,5.7%,20.1%,12.5%,18.2%
12:35 PM,Alan Rangel,vs,12.0,51,2.77,0.250,0.298,1.17,0.146,0.396,1,0.75,19,22.0%,25.5%,23.6%,11.8%,9.75,2,3.9%,62.7%,3.8%,35,25.7%,1,2.9%,31.4%,9.1%,22.9%
7:15 PM,Hurston Waldrep,vs,2.0,12,6.10,0.250,0.376,3.00,-,0.250,0,-,2,30.0%,25.0%,23.1%,10.9%,13.50,4,33.3%,50.0%,3.6%,5,40.0%,0,-,-,-,-
6:40 PM,Slade Cecconi,vs,54.1,223,3.39,0.249,0.285,1.23,0.102,0.351,4,0.66,72,20.5%,18.8%,15.7%,9.3%,6.96,16,7.2%,68.6%,6.9%,165,35.2%,8,4.8%,24.2%,7.5%,12.1%
10:10 PM,Roki Sasaki,vs,54.0,226,4.69,0.221,0.312,1.17,0.206,0.426,10,1.67,87,28.4%,24.3%,18.8%,14.6%,9.17,18,8.0%,61.9%,8.2%,149,45.6%,18,12.1%,26.2%,23.1%,11.4%
8:05 PM,Nathan Eovaldi,vs,66.1,267,3.51,0.218,0.279,1.03,0.149,0.367,8,1.09,91,30.8%,25.1%,25.4%,15.7%,9.09,14,5.2%,64.9%,7.5%,179,31.3%,13,7.3%,23.5%,19.0%,15.6%
7:15 PM,Dustin May,@,59.0,235,3.07,0.210,0.261,1.05,0.098,0.308,4,0.61,66,24.8%,24.3%,22.3%,11.9%,8.69,17,7.2%,60.8%,6.2%,159,45.9%,12,7.5%,25.2%,10.0%,13.8%
2:10 PM,Chase Burns,@,57.0,229,2.80,0.208,0.272,1.07,0.151,0.358,6,0.95,76,32.8%,31.9%,24.6%,16.4%,11.53,17,7.4%,60.0%,6.6%,139,33.8%,10,7.2%,28.1%,15.4%,21.6%
9:40 PM,Walbert Urena,@,55.2,234,3.73,0.207,0.279,1.19,0.103,0.310,4,0.65,63,29.0%,22.2%,20.9%,12.8%,8.41,24,10.3%,55.1%,6.2%,153,33.3%,9,5.9%,22.2%,11.8%,13.7%
9:40 PM,Bryce Miller,vs,45.0,163,3.06,0.177,0.227,0.73,0.165,0.342,7,1.40,54,29.3%,33.1%,23.9%,16.9%,10.80,5,3.1%,63.6%,8.2%,104,27.9%,8,7.7%,32.7%,20.6%,21.2%
7:40 PM,Ian Seymour,@,27.2,113,4.62,0.165,0.252,1.01,0.175,0.340,4,1.30,33,27.8%,23.0%,19.4%,13.2%,8.46,12,10.6%,61.1%,9.2%,73,32.9%,3,4.1%,37.0%,14.8%,32.9%
2:10 PM,Jacob Misiorowski,vs,67.0,239,1.17,0.117,0.150,0.60,0.022,0.139,1,0.13,31,37.0%,39.7%,33.1%,18.7%,12.76,14,5.9%,69.2%,8.7%,128,31.2%,2,1.6%,18.8%,4.2%,7.0%
