Matchup,LAD @ MIN
Pitcher,Joe Ryan
Pitcher Team,MIN
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,87.1,352,0.211,0.261,0.333,0.122,1.00,8,0.82,5.1%,25.3%,28.1%,19.7%,12.6%,10.20,67.2%,7.8%,10.4%,42.6%,29.1%,10.4%,19.1%
vsLHB,50.2,205,0.203,0.264,0.354,0.151,0.93,7,1.24,3.9%,22.8%,27.8%,21.4%,11.7%,10.12,69.9%,8.2%,11.9%,47.4%,29.6%,15.0%,22.2%
vsRHB,36.1,147,0.222,0.257,0.304,0.081,1.10,1,0.25,6.8%,28.7%,28.6%,17.8%,13.8%,10.40,63.5%,7.3%,8.4%,35.8%,28.4%,3.7%,14.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Mookie Betts RHB,,+650,11,22,4.60,2,2,0.524,0.545,0.857,0.333,0.602,4.5%,13.8%,22.7%,4.8%,85.5,268.1,4,3,6.2%,6.2%,25.0%,25.0%,50.0%,69.8,4.3%,30.4%,13.0%,88.5%,25.0%,25.0%,31.2%,43.8%,50.0%,31.2%,18.8%,18.2%
Shohei Ohtani LHB,,+240,37,17,3.60,2,3,0.308,0.471,0.846,0.538,0.527,23.5%,17.9%,11.8%,6.1%,97.2,340.5,4,3,27.3%,18.2%,18.2%,72.7%,45.5%,73.8,41.7%,29.2%,25.0%,88.9%,18.2%,50.0%,27.3%,54.5%,54.5%,36.4%,9.1%,10.5%
Dalton Rushing LHB,,+273,42,23,2.80,1,1,0.368,0.478,0.579,0.211,0.453,17.4%,30.8%,30.4%,15.0%,90.5,265.5,3,2,16.7%,8.3%,41.7%,41.7%,58.3%,71.8,8.8%,23.5%,8.8%,87.2%,16.7%,50.0%,50.0%,33.3%,75.0%,16.7%,8.3%,61.1%
Max Muncy LHB,,+340,26,15,3.80,1,2,0.231,0.333,0.538,0.308,0.371,13.3%,23.8%,20.0%,8.8%,91.1,299.1,3,2,10.0%,-,30.0%,70.0%,30.0%,71.5,17.6%,47.1%,17.6%,89.5%,40.0%,25.0%,20.0%,30.0%,50.0%,30.0%,20.0%,25.0%
Ryan Ward LHB,,+570,24,12,2.80,1,1,0.100,0.250,0.400,0.300,0.283,16.7%,30.3%,33.3%,14.9%,93.0,293.9,2,1,16.7%,16.7%,33.3%,33.3%,16.7%,71.0,3.4%,13.8%,3.4%,93.5%,66.7%,25.0%,-,33.3%,66.7%,-,33.3%,36.8%
Andy Pages RHB,,+570,36,23,4.80,0,1,0.217,0.217,0.304,0.087,0.227,-,19.6%,17.4%,9.9%,90.9,267.5,6,2,-,-,15.8%,47.4%,47.4%,72.9,29.2%,27.1%,16.7%,94.1%,15.8%,0.0%,47.4%,31.6%,15.8%,63.2%,21.1%,46.4%
Alex Call RHB,,+890,14,17,3.40,0,0,0.286,0.412,0.286,-,0.328,11.8%,25.0%,23.5%,10.0%,78.7,195.8,1,0,-,-,20.0%,20.0%,20.0%,67.0,4.8%,28.6%,-,75.0%,30.0%,0.0%,10.0%,40.0%,30.0%,20.0%,50.0%,20.0%
Freddie Freeman LHB,,+441,32,16,4.40,0,0,0.385,0.500,0.462,0.077,0.424,18.8%,16.2%,18.8%,10.0%,81.5,214.7,0,0,-,-,10.0%,30.0%,20.0%,71.2,15.6%,12.5%,6.2%,86.5%,30.0%,0.0%,20.0%,50.0%,40.0%,30.0%,30.0%,41.7%
Kyle Tucker LHB,—,N/A,21,16,3.60,0,1,0.231,0.312,0.308,0.077,0.272,12.5%,27.6%,37.5%,12.5%,92.0,278.5,2,1,-,-,25.0%,62.5%,37.5%,69.9,3.8%,23.1%,11.5%,92.9%,37.5%,0.0%,25.0%,37.5%,50.0%,37.5%,12.5%,44.4%
Alex Freeland SHB,,+825,32,15,3.00,0,0,0.231,0.267,0.308,0.077,0.247,6.7%,23.3%,20.0%,12.1%,89.7,282.2,4,0,-,-,27.3%,63.6%,45.5%,70.6,7.1%,32.1%,14.3%,96.6%,18.2%,0.0%,45.5%,27.3%,36.4%,54.5%,9.1%,36.4%
