Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Francisco Alvarez,RHB,NYM,Matthew Boyd,L,38.4,42.9,34.5,34.9,37.9
Jonathan Aranda,LHB,TB,Seth Lugo,R,32.6,41.6,24.5,50.7,37.8
Kyle Schwarber,LHB,PHI,Cade Cavalli,R,29.9,27.4,29.9,59.4,36.4
Jeremy Pena,RHB,HOU,Troy Melton,R,51.5,20,24.3,57.7,33.9
Isaac Paredes,RHB,HOU,Troy Melton,R,49.3,25.6,24.7,48.3,33.4
Brandon Valenzuela,SHB,TOR,MacKenzie Gore,L,38.8,42.9,33.6,17.4,33.3
Luke Raley,LHB,SEA,Bubba Chandler,R,25.4,24.2,20.5,63.4,33
Bryce Harper,LHB,PHI,Cade Cavalli,R,29.1,29.9,21.3,51.7,32.7
Christian Walker,RHB,HOU,Troy Melton,R,43.3,28.9,26.7,37.7,31.9
Brandon Marsh,LHB,PHI,Cade Cavalli,R,37.7,34.4,22,37.9,31.9
Endy Rodriguez,SHB,PIT,Bryce Miller,R,38.2,34.6,9.7,50.9,31.6
Dillon Dingler,RHB,DET,Tatsuya Imai,R,26.6,22.8,34.1,41.1,31.1
Colt Emerson,LHB,SEA,Bubba Chandler,R,17.2,37.9,33.8,23.5,31
Ian Happ,SHB,CHC,Freddy Peralta,R,18.1,35.1,17.2,46.5,30.9
CJ Abrams,LHB,WSH,Cristopher Sanchez,L,59.2,22.8,31.2,29.4,30.6
Connor Wong,RHB,BOS,Cam Schlittler,R,64.5,22.3,,64.9,30.5
Jake Burger,RHB,TEX,Kevin Gausman,R,45.9,30.1,9.5,46.1,29.5
Ryan Vilade,RHB,TB,Seth Lugo,R,44,23.9,23.9,37.8,29.4
Cam Smith,RHB,HOU,Troy Melton,R,54,37,5.6,37.5,29.4
Jazz Chisholm Jr.,LHB,NYY,Connelly Early,L,41.6,19.7,20.9,47.6,29.2
Ezequiel Duran,RHB,TEX,Kevin Gausman,R,45.2,15,33,35.9,28.6
Yordan Alvarez,LHB,HOU,Troy Melton,R,22.1,40.4,15.8,29.5,28.5
Brandon Lowe,LHB,PIT,Bryce Miller,R,31,21.2,21.2,44.7,28.1
Bobby Witt Jr.,RHB,KC,Casey Legumina,R,38.7,22.2,21,40.4,28
Juan Soto,LHB,NYM,Matthew Boyd,L,42.6,22,22,37.3,27.9
Jarren Duran,LHB,BOS,Cam Schlittler,R,32.1,26.8,21.4,33.8,27.5
Gabriel Moreno,RHB,ARI,Michael McGreevy,R,32.6,28.4,16.6,36.8,27.4
Corbin Carroll,LHB,ARI,Michael McGreevy,R,18.9,22,26.2,38.4,27
Marcell Ozuna,RHB,PIT,Bryce Miller,R,43.1,20.3,12.7,46.8,26.9
Kerry Carpenter,LHB,DET,Tatsuya Imai,R,30.8,21.4,17,44.4,26.8
Justin Foscue,RHB,TEX,Kevin Gausman,R,31.6,17.1,18.5,48.1,26.7
Bo Bichette,RHB,NYM,Matthew Boyd,L,33.7,30.1,26.6,18.2,26.4
Ben Rice,LHB,NYY,Connelly Early,L,30,23.2,27.6,28,26.4
Daylen Lile,LHB,WSH,Cristopher Sanchez,L,54.6,18.5,,57.2,26.2
Victor Mesa Jr.,LHB,TB,Seth Lugo,R,40.2,38.8,12.2,18.8,26
Ernie Clement,RHB,TOR,MacKenzie Gore,L,21.1,24.1,25.5,30.3,25.8
Edmundo Sosa,RHB,PHI,Cade Cavalli,R,31.7,27.9,19,27,25.4
Colt Keith,LHB,DET,Tatsuya Imai,R,58.8,10.5,13.2,47.4,25.4
Junior Caminero,RHB,TB,Seth Lugo,R,43.1,27.7,16.9,24.8,25.3
Brice Matthews,RHB,HOU,Troy Melton,R,47.8,18.9,10,43.3,25.2
Spencer Torkelson,RHB,DET,Tatsuya Imai,R,33.8,17.7,18.2,40.3,25.1
