Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Pete Alonso,RHB,BAL,Walker Buehler,R,27.2,40.2,55.2,55.1,47.1
Derek Hill,RHB,PHI,Kyle Harrison,L,38.2,36.4,37.1,33.7,36.1
Tyler Stephenson,RHB,CIN,Zac Gallen,R,35.6,28.1,39.6,43,36
Endy Rodriguez,SHB,PIT,Max Meyer,R,41.4,40.3,9,59.9,35.9
Colt Emerson,LHB,SEA,Miles Mikolas,R,45,20.6,47.1,38.8,35.5
Kyle Schwarber,LHB,PHI,Kyle Harrison,L,43.4,19.4,29.9,59.2,34.9
Josh Bell,SHB,MIN,Michael McGreevy,R,32.2,35.1,29.6,38,33.9
Colton Cowser,LHB,BAL,Walker Buehler,R,34.3,39.4,12.7,48.6,33.2
Ryan O'Hearn,LHB,PIT,Max Meyer,R,32.2,41.9,15.3,42.1,33
Jake Bauers,LHB,MIL,Cristopher Sanchez,L,42.8,29.9,21.2,42,31.6
Ketel Marte,SHB,ARI,Andrew Abbott,L,37,24.9,15.6,52.5,30.2
Julio Rodriguez,RHB,SEA,Miles Mikolas,R,47.2,28.3,20.8,36.3,29.9
Leo Jimenez,RHB,MIA,Paul Skenes,R,15.2,44.8,,49.6,29.6
Michael Harris II,LHB,ATL,Freddy Peralta,R,31.8,37,14.2,36.4,29.5
Andy Pages,RHB,LAD,Erick Fedde,R,17.7,30.3,14.8,49.9,29.3
Jorge Mateo,RHB,ATL,Freddy Peralta,R,46.3,23.4,17.7,44.1,29.2
Carson Benge,LHB,NYM,Bryce Elder,R,32.5,40.5,9,35.1,28.9
Liam Hicks,LHB,MIA,Paul Skenes,R,44.3,28.5,24.5,28.5,28.9
Luke Raley,LHB,SEA,Miles Mikolas,R,32.3,28.3,24.5,33.2,28.8
Ildemaro Vargas,SHB,ARI,Andrew Abbott,L,43.9,14.5,23.3,48.6,28.6
Curtis Mead,RHB,WSH,Emerson Hancock,R,28.7,22.3,22.3,43.4,28.2
James Wood,LHB,WSH,Emerson Hancock,R,28.2,38,8.5,38,28.2
Kerry Carpenter,LHB,DET,Gavin Williams,R,29.1,27.8,24.3,32.8,28.1
MJ Melendez,LHB,NYM,Bryce Elder,R,23.9,29.4,13.3,44.9,27.9
Juan Soto,LHB,NYM,Bryce Elder,R,34.8,32.8,13.7,34.7,27.7
Jose Ramirez,SHB,CLE,Casey Mize,R,33.3,29.3,14.2,39.6,27.7
