Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Max Clark","DET","Dean Kremer","MIN","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","1"
"Esteury Ruiz","MIA","Sean Manaea","NYM","1","1.000","1.00","2.00","3.00","0","0","1","0","1","0","3","0.0","1.000","0"
"Nathan Lukes","TOR","Jack Perkins","ATH","1","1.000","1.00","1.00","2.00","0","1","0","0","1","2","2","0.0","1.000","0"
"Jose Ramirez","CLE","Brandon Young","BAL","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","1"
"Jordan Walker","STL","Landen Roupp","SF","2","1.000","1.00","0.50","1.50","1","1","0","0","1","0","3","0.0","1.000","0"
"Liam Hicks","TB","AJ Smith-Shawver","ATL","2","1.000","1.00","0.50","1.50","1","1","0","0","1","1","3","0.0","1.000","0"
"Eduardo Valencia","DET","Dean Kremer","MIN","4","1.000","1.00","1.00","2.00","2","1","0","1","2","2","8","0.0","1.000","0"
"Angel Martinez","CLE","Brandon Young","BAL","3","0.667","0.67","0.33","1.00","1","1","0","0","1","0","3","0.0","0.667","0"
"Wilyer Abreu","BOS","Reid Detmers","LAA","3","0.667","0.67","0.33","1.00","1","1","0","0","1","0","3","0.0","0.750","1"
"Heston Kjerstad","BAL","Tanner Bibee","CLE","5","0.600","0.50","0.80","1.40","1","1","0","1","2","2","7","0.0","0.667","1"
"Geraldo Perdomo","ARI","Michael Wacha","KC","5","0.600","0.60","0.60","1.20","1","1","1","0","2","1","6","0.0","0.714","1"
"Javier Baez","DET","Dean Kremer","MIN","9","0.556","0.71","0.11","0.67","4","1","0","0","1","3","6","22.2","0.600","1"
"John Peck","DET","Dean Kremer","MIN","2","0.500","0.50","0.50","1.00","0","1","0","0","1","2","2","0.0","0.500","0"
"Caleb Durbin","BOS","Reid Detmers","LAA","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.667","1"
"Javier Sanoja","MIA","Sean Manaea","NYM","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Junior Caminero","TB","AJ Smith-Shawver","ATL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.667","1"
"Nolan Arenado","ARI","Michael Wacha","KC","22","0.500","0.47","0.55","1.05","7","0","0","4","4","6","23","13.6","0.560","3"
"Salvador Perez","KC","Corbin Burnes","ARI","15","0.467","0.50","0.20","0.67","6","0","0","1","1","5","10","13.3","0.467","0"
"Jackson Chourio","MIL","David Peterson","CHC","11","0.455","0.43","0.64","1.09","2","1","0","2","3","2","12","18.2","0.500","1"
"Jarren Duran","BOS","Reid Detmers","LAA","7","0.429","0.60","0.14","0.57","2","1","0","0","1","3","4","42.9","0.400","1"
"Tommy Edman","LAD","Nick Lodolo","CIN","7","0.429","0.40","0.43","0.86","2","0","0","1","1","2","6","14.3","0.429","0"
"Jose Siri","LAA","Patrick Sandoval","BOS","7","0.429","0.60","0.14","0.57","2","1","0","0","1","1","4","28.6","0.500","1"
"Trevor Story","BOS","Reid Detmers","LAA","7","0.429","0.75","0.29","0.71","1","2","0","0","2","3","5","42.9","0.429","0"
"Marcus Semien","NYM","Sandy Alcantara","MIA","12","0.417","0.44","0.25","0.67","4","0","0","1","1","1","8","16.7","0.417","0"
"Francisco Alvarez","NYM","Sandy Alcantara","MIA","5","0.400","0.40","0.20","0.60","1","1","0","0","1","0","3","0.0","0.400","0"
"Austin Riley","ATL","Freddy Peralta","TB","19","0.368","0.36","0.37","0.74","4","1","0","2","3","5","14","15.8","0.429","2"
"Lars Nootbaar","ARI","Michael Wacha","KC","11","0.364","0.43","0.36","0.73","2","1","0","1","2","1","8","27.3","0.364","0"
"Ryan Jeffers","MIN","Drew Anderson","DET","3","0.333","0.33","0.33","0.67","0","1","0","0","1","1","2","0.0","0.333","0"
"Jared Young","NYM","Sandy Alcantara","MIA","3","0.333","0.50","0.33","0.67","0","1","0","0","1","0","2","33.3","0.333","0"
"Garrett Stubbs","PHI","Hayden Wesneski","HOU","3","0.333","0.33","0.33","0.67","0","1","0","0","1","2","2","0.0","0.333","0"
"Trea Turner","PHI","Hayden Wesneski","HOU","6","0.333","0.00","1.00","1.33","0","0","0","2","2","3","8","33.3","0.333","0"
"Otto Lopez","MIA","Sean Manaea","NYM","9","0.333","0.38","0.11","0.44","2","1","0","0","1","0","4","11.1","0.333","0"
"Adley Rutschman","BOS","Reid Detmers","LAA","9","0.333","0.38","0.11","0.44","2","1","0","0","1","3","4","11.1","0.400","1"
"Lane Thomas","ATL","Freddy Peralta","TB","9","0.333","0.50","0.22","0.56","1","2","0","0","2","2","5","33.3","0.400","1"
"Alex Bregman","CHC","Jacob Misiorowski","MIL","9","0.333","0.33","0.33","0.67","2","0","0","1","1","4","6","22.2","0.333","0"
"Gunnar Henderson","BAL","Tanner Bibee","CLE","12","0.333","0.38","0.42","0.75","1","2","0","1","3","2","9","25.0","0.333","0"
"Seiya Suzuki","CHC","Jacob Misiorowski","MIL","12","0.333","0.29","0.50","0.83","2","0","0","2","2","2","10","25.0","0.500","4"
"Matt Olson","ATL","Freddy Peralta","TB","16","0.313","0.25","0.44","0.75","2","1","0","2","3","3","12","18.8","0.400","3"
"Gleyber Torres","DET","Dean Kremer","MIN","32","0.313","0.36","0.19","0.50","6","3","0","1","4","6","16","18.8","0.343","2"
"Zach McKinstry","DET","Dean Kremer","MIN","13","0.308","0.36","0.15","0.46","2","2","0","0","2","0","6","15.4","0.308","0"
"Juan Soto","NYM","Sandy Alcantara","MIA","46","0.304","0.32","0.15","0.46","11","1","0","2","3","5","21","13.0","0.385","6"
"Lawrence Butler","ATH","Jose Soriano","TOR","20","0.300","0.25","0.50","0.80","2","1","0","3","4","6","16","25.0","0.333","1"
"Colt Keith","DET","Dean Kremer","MIN","7","0.286","0.29","0.29","0.57","1","0","1","0","1","2","4","0.0","0.375","1"
"Josh Bell","MIN","Drew Anderson","DET","7","0.286","0.33","0.14","0.43","1","1","0","0","1","1","3","14.3","0.286","0"
"Francisco Lindor","NYM","Sandy Alcantara","MIA","36","0.278","0.26","0.22","0.50","6","2","0","2","4","9","18","11.1","0.341","4"
"Trevor Larnach","MIN","Drew Anderson","DET","4","0.250","0.25","0.25","0.50","0","1","0","0","1","1","2","0.0","0.250","0"
"JJ Bleday","CIN","Tarik Skubal","LAD","8","0.250","0.33","0.13","0.38","1","1","0","0","1","0","3","25.0","0.333","1"
"Gary Sanchez","MIL","David Peterson","CHC","8","0.250","0.29","0.13","0.38","1","1","0","0","1","2","3","12.5","0.455","3"
"Bobby Witt Jr.","KC","Corbin Burnes","ARI","12","0.250","0.33","0.08","0.33","2","1","0","0","1","1","4","25.0","0.250","0"
"Lourdes Gurriel Jr.","ARI","Michael Wacha","KC","17","0.235","0.36","0.12","0.35","2","2","0","0","2","1","6","35.3","0.235","0"
"Kyle Schwarber","PHI","Hayden Wesneski","HOU","5","0.200","0.00","0.60","0.80","0","0","0","1","1","2","4","20.0","0.333","0"
"Joey Ortiz","MIL","David Peterson","CHC","10","0.200","0.22","0.10","0.30","1","1","0","0","1","0","3","10.0","0.200","0"
"Matt Shaw","CHC","Jacob Misiorowski","MIL","6","0.167","0.20","0.33","0.50","0","0","1","0","1","0","3","16.7","0.444","3"
"Connor Wong","BOS","Reid Detmers","LAA","6","0.167","0.25","0.17","0.33","0","1","0","0","1","0","2","33.3","0.167","0"
"Michael Busch","CHC","Jacob Misiorowski","MIL","13","0.154","0.20","0.08","0.23","1","1","0","0","1","3","3","23.1","0.214","1"
"Dillon Dingler","DET","Dean Kremer","MIN","8","0.125","0.00","0.38","0.50","0","0","0","1","1","1","4","37.5","0.125","0"
"Ozzie Albies","ATL","Freddy Peralta","TB","21","0.095","0.13","0.10","0.19","0","2","0","0","2","0","4","23.8","0.208","3"
"Mike Yastrzemski","ATL","Freddy Peralta","TB","13","0.077","0.09","0.08","0.15","0","1","0","0","1","0","2","15.4","0.077","0"
"Kyle Farmer","ATL","Freddy Peralta","TB","14","0.071","0.13","0.07","0.14","0","1","0","0","1","0","2","42.9","0.071","0"
