Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Ryan Jeffers,RHB,MIN,Walbert Urena,R,43.4,35.4,42.8,38.6,39.2
Adael Amador,SHB,COL,Michael King,R,22.3,34.3,36.4,55,38.9
Elly De La Cruz,SHB,CIN,Justin Wrobleski,L,42.1,23.6,36.5,57.2,37.7
Yordan Alvarez,LHB,HOU,Seth Lugo,R,35,42.1,28.5,42.6,37.4
Christian Yelich,LHB,MIL,Wilber Dotel,R,30.7,34.3,24.5,58,36.9
Brandon Lowe,LHB,PIT,Kyle Harrison,L,32.8,39,38.7,32.3,36.6
Luis Lara,SHB,MIL,Wilber Dotel,R,17,34.2,28.6,51.1,35
Royce Lewis,RHB,MIN,Walbert Urena,R,35.3,36.3,14.2,56.2,34.5
Evan Carter,LHB,TEX,Sonny Gray,R,27.7,41,12.5,52.5,34
Willson Contreras,RHB,BOS,Tyler Alexander,L,40.5,40.7,24.4,32.8,33.8
Derek Hill,RHB,PHI,Nolan McLean,R,16.6,36.1,31.5,40.1,33.8
Kyle Schwarber,LHB,PHI,Nolan McLean,R,27.8,39.4,27.8,34.7,33.6
Justin Foscue,RHB,TEX,Sonny Gray,R,17.7,27.6,15.9,69.4,33.6
Bo Naylor,LHB,MIL,Wilber Dotel,R,26,42.3,9.7,50.9,33
Garrett Mitchell,LHB,MIL,Wilber Dotel,R,33.8,24.3,18,60.7,32.5
Corey Seager,LHB,TEX,Sonny Gray,R,30.9,46.3,11.4,37.1,32
Zac Veen,LHB,COL,Michael King,R,33.2,29.8,21.7,43,31
Sal Stewart,RHB,CIN,Justin Wrobleski,L,19.3,30.2,33.4,32.9,30.7
Zack Gelof,RHB,ATH,Drew Rasmussen,R,33.8,31.2,30.3,29.2,30.7
Jackson Merrill,LHB,SD,Tanner Gordon,R,31.7,28.6,12.3,54.9,30.6
Miguel Vargas,RHB,CWS,Framber Valdez,L,35.2,32.4,17.3,39.7,30
Vaughn Grissom,RHB,LAA,Taj Bradley,R,27,32,31.9,26,30
Alejandro Osuna,LHB,TEX,Sonny Gray,R,20.7,25.2,21.9,49.7,29.9
Francisco Lindor,SHB,NYM,Aaron Nola,R,21.3,33.5,18.1,41.6,29.7
Christian Walker,RHB,HOU,Seth Lugo,R,38,25.9,19.6,43.1,29.5
Chase Meidroth,RHB,CWS,Framber Valdez,L,31.7,16.3,14,63.2,28.9
Bryan Reynolds,SHB,PIT,Kyle Harrison,L,14.6,19.5,19.4,58.4,28.7
Lawrence Butler,LHB,ATH,Drew Rasmussen,R,34.8,25.3,28.9,30.3,28.6
Dane Myers,RHB,CIN,Justin Wrobleski,L,51.8,20.5,11,50.9,28.4
LaMonte Wade Jr.,LHB,HOU,Seth Lugo,R,39.5,15.4,21.9,49.5,28.3
Munetaka Murakami,LHB,CWS,Framber Valdez,L,38.6,26.9,26.9,26.9,28.1
Brenton Doyle,RHB,CWS,Framber Valdez,L,36.7,29.5,9,45.5,28.1
Sal Frelick,LHB,MIL,Wilber Dotel,R,25.1,25.5,8.7,56,28
Wyatt Langford,RHB,TEX,Sonny Gray,R,39.8,18.7,23.2,38.8,27.2
Jackson Chourio,RHB,MIL,Wilber Dotel,R,31.5,29.2,26.9,22.5,27.1
Jake Bauers,LHB,MIL,Wilber Dotel,R,39.3,21.3,19.2,39.3,27
Tyler Stephenson,RHB,CIN,Justin Wrobleski,L,32.9,23.3,24,33.1,26.9
Carson Benge,LHB,NYM,Aaron Nola,R,20.8,28.7,13.7,42.2,26.8
Jeremy Pena,RHB,HOU,Seth Lugo,R,41.6,10.8,24.2,45.2,26.5
Oneil Cruz,LHB,PIT,Kyle Harrison,L,50.6,16.1,17.4,41.4,26.3
Josh Bell,SHB,MIN,Walbert Urena,R,31.6,27.4,12,39.6,26.2
Matt McLain,RHB,CIN,Justin Wrobleski,L,52.5,18.6,31.1,18.6,25.7
Bryce Harper,LHB,PHI,Nolan McLean,R,29.1,22.4,26.2,27.8,25.6
Cole Carrigg,SHB,COL,Michael King,R,37.7,16.8,31.1,26.2,25.5
Joc Pederson,LHB,TEX,Sonny Gray,R,25.5,26.9,26.5,21,25.2
Juan Soto,LHB,NYM,Aaron Nola,R,25.9,25.4,12.5,38.5,24.9
Eugenio Suarez,RHB,CIN,Justin Wrobleski,L,32.9,20.4,29.8,21.9,24.8
William Contreras,RHB,MIL,Wilber Dotel,R,42.2,18.6,16.7,35.8,24.7
Dillon Dingler,RHB,DET,Erick Fedde,R,26.1,26.8,16,31.3,24.6
Junior Caminero,RHB,TB,Jeffrey Springs,L,9.4,31,7.3,40.8,24.2
Carlos Cortes,LHB,ATH,Drew Rasmussen,R,47.5,19,17.2,30.3,24.1
Hunter Goodman,RHB,COL,Michael King,R,29.1,24.9,20.5,24.9,24
Trea Turner,RHB,PHI,Nolan McLean,R,37.3,22.9,19.4,25.2,23.9
Colson Montgomery,LHB,CWS,Framber Valdez,L,36.2,17.4,24.7,26.7,23.8
Danny Jansen,RHB,TEX,Sonny Gray,R,39.8,9.6,13.6,49.3,23.7
Brice Turang,LHB,MIL,Wilber Dotel,R,31.6,15.6,12.4,45.6,23.7
Cam Smith,RHB,HOU,Seth Lugo,R,40.9,13.4,15.2,40.9,23.6
Gary Sanchez,RHB,MIL,Wilber Dotel,R,30.3,26,21,19.7,23.4
Mickey Moniak,LHB,COL,Michael King,R,33.3,27.5,13.5,22.8,22.7
Zach Neto,RHB,LAA,Taj Bradley,R,38.7,17.2,25.8,20.1,22.7
Jake McCarthy,LHB,COL,Michael King,R,42.9,20.2,10.1,32.7,22.6
Luis Campusano,RHB,SD,Tanner Gordon,R,43.1,21.7,6.7,34.3,22.5
Francisco Alvarez,RHB,NYM,Aaron Nola,R,41.3,16,16.3,31,22.4
Shea Langeliers,RHB,ATH,Drew Rasmussen,R,48.2,17.9,12,30.5,22.3
Kyle Teel,LHB,CWS,Framber Valdez,L,37.3,10.6,,59.4,22.3
Sung-Mun Song,LHB,SD,Tanner Gordon,R,27.3,24.7,9.7,31.5,22.2
Randal Grichuk,RHB,CWS,Framber Valdez,L,38.5,24.6,23.5,10.4,22.1
Mark Vientos,RHB,NYM,Aaron Nola,R,34.5,16,13.6,35.1,21.9
JJ Bleday,LHB,CIN,Justin Wrobleski,L,49.3,20.2,16.5,18.1,21.5
