Matchup,DET @ CWS
Pitcher,Anthony Kay
Pitcher Team,CWS
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,52.1,236,0.251,0.341,0.417,0.166,1.39,7,1.20,9.7%,20.6%,16.5%,12.6%,9.2%,6.71,60.3%,5.2%,9.8%,42.1%,21.3%,20.0%,22.6%
vsLHB,14.0,52,0.067,0.159,0.111,0.044,0.43,0,-,5.8%,28.7%,30.8%,20.0%,12.9%,10.29,62.3%,4.9%,3.4%,27.6%,6.9%,-,13.8%
vsRHB,38.0,184,0.305,0.394,0.506,0.201,1.76,7,1.66,10.9%,18.2%,12.5%,10.0%,8.1%,5.45,59.8%,5.3%,11.1%,45.2%,24.4%,21.2%,24.4%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Wenceel Perez SHB,N/A,18,4.00,1,1,0.333,0.333,0.556,0.222,0.385,-,19.4%,16.7%,10.3%,86.8,6.7%,6.7%,13.3%,46.7%,20.0%,71.1,20.7%,34.5%,13.8%,93.5%,33.3%,20.0%,13.3%,40.0%,33.3%,40.0%,26.7%,23.5%
Dillon Dingler RHB,N/A,14,4.40,1,2,0.273,0.429,0.727,0.455,0.470,21.4%,13.6%,28.6%,5.5%,98.1,14.3%,14.3%,28.6%,42.9%,28.6%,71.5,10.0%,35.0%,15.0%,90.9%,42.9%,33.3%,14.3%,42.9%,57.1%,42.9%,-,18.2%
Kevin McGonigle LHB,N/A,12,4.40,1,1,0.333,0.500,0.667,0.333,0.486,25.0%,6.7%,8.3%,2.6%,83.9,12.5%,12.5%,12.5%,37.5%,25.0%,71.6,16.7%,41.7%,16.7%,80.0%,25.0%,50.0%,12.5%,37.5%,25.0%,50.0%,25.0%,46.2%
Spencer Torkelson RHB,N/A,11,3.60,1,2,0.300,0.364,0.700,0.400,0.446,9.1%,34.8%,27.3%,14.5%,81.9,14.3%,-,14.3%,42.9%,42.9%,73.2,27.3%,13.6%,9.1%,95.7%,28.6%,50.0%,14.3%,57.1%,42.9%,28.6%,28.6%,30.8%
Hao-Yu Lee RHB,N/A,17,2.80,0,1,0.176,0.176,0.294,0.118,0.200,-,20.8%,17.6%,10.6%,89.8,7.1%,-,14.3%,35.7%,57.1%,70.9,19.0%,38.1%,9.5%,91.3%,50.0%,0.0%,35.7%,14.3%,14.3%,21.4%,64.3%,40.0%
Jahmai Jones RHB,N/A,17,1.80,0,0,0.071,0.235,0.071,-,0.167,17.6%,33.3%,29.4%,15.3%,85.2,-,-,22.2%,33.3%,33.3%,72.5,33.3%,20.8%,8.3%,88.9%,33.3%,0.0%,33.3%,33.3%,44.4%,44.4%,11.1%,36.4%
Matt Vierling RHB,N/A,14,3.60,0,1,0.400,0.571,0.500,0.100,0.467,28.6%,7.9%,7.1%,3.9%,81.6,11.1%,-,11.1%,22.2%,33.3%,70.6,9.1%,12.1%,3.0%,86.8%,33.3%,0.0%,11.1%,11.1%,11.1%,55.6%,33.3%,18.8%
Zack Short RHB,N/A,14,3.00,0,0,0.111,0.429,0.111,-,0.295,35.7%,29.2%,14.3%,11.3%,83.8,-,-,28.6%,14.3%,28.6%,70.3,4.3%,26.1%,-,95.8%,28.6%,0.0%,28.6%,14.3%,42.9%,28.6%,28.6%,14.3%
Riley Greene LHB,N/A,12,4.20,0,0,0.091,0.167,0.091,-,0.128,8.3%,39.1%,50.0%,19.1%,81.9,-,-,-,20.0%,60.0%,73.5,36.8%,10.5%,-,82.6%,-,-,60.0%,20.0%,20.0%,40.0%,40.0%,20.0%
Zach McKinstry LHB,N/A,9,3.40,0,0,-,0.222,-,-,0.144,22.2%,25.0%,33.3%,12.2%,83.6,-,-,50.0%,25.0%,50.0%,68.4,-,-,-,76.5%,-,-,50.0%,50.0%,100.0%,-,-,37.5%
Colt Keith LHB,N/A,9,2.80,0,0,0.125,0.222,0.125,-,0.179,-,0.0%,-,-,73.3,-,-,-,25.0%,12.5%,71.4,-,42.9%,14.3%,70.0%,12.5%,0.0%,-,75.0%,37.5%,50.0%,12.5%,25.0%
Jake Rogers RHB,N/A,5,3.20,0,0,0.500,0.600,0.750,0.250,0.562,20.0%,25.0%,20.0%,7.1%,79.0,-,-,66.7%,33.3%,-,69.7,-,25.0%,25.0%,100.0%,66.7%,0.0%,-,-,66.7%,-,33.3%,25.0%
