Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Victor Mesa Jr.,LHB,TB,Zac Gallen,R,50.5,48.5,7.9,71.2,42.2
Dalton Rushing,LHB,LAD,Walker Buehler,R,34.1,43.4,27.2,57,41
Randy Arozarena,RHB,SEA,Joey Cantillo,L,37.9,30.8,30.8,64.2,39.9
Jesus Sanchez,LHB,TOR,Nathan Eovaldi,R,33.7,44.3,13.7,57,37.2
Isaac Paredes,RHB,HOU,Keider Montero,R,39.5,30.8,42.7,38.3,37.1
Kody Clemens,LHB,MIN,Tomoyuki Sugano,R,36.3,38.1,17.8,58.2,36.9
Travis Bazzana,LHB,CLE,Luis Castillo,R,45.2,28.1,29.2,53.7,36.5
Christian Walker,RHB,HOU,Keider Montero,R,33.7,33.9,36.5,40.6,36.3
Cam Smith,RHB,HOU,Keider Montero,R,64.7,37.5,24.9,36.5,36.2
Casey Schmitt,RHB,SF,Reynaldo Lopez,R,50.1,31.6,34.3,35.5,35.2
Shea Langeliers,RHB,ATH,Walbert Urena,R,65.9,24,29.3,45,35
Jackson Chourio,RHB,MIL,Colin Rea,R,35.4,37.1,28.4,39.1,34.8
Jonathan Aranda,LHB,TB,Zac Gallen,R,23.9,40.7,25.5,40.7,34.5
Eric Haase,RHB,SF,Reynaldo Lopez,R,41,26.7,41.3,33.9,34.3
Yordan Alvarez,LHB,HOU,Keider Montero,R,30,45.7,19.8,37.1,34.2
Shohei Ohtani,LHB,LAD,Walker Buehler,R,35.1,34.4,21.8,47.1,33.9
Ian Happ,SHB,CHC,Jacob Misiorowski,R,28.5,34.2,26.3,44.8,33.9
Andy Pages,RHB,LAD,Walker Buehler,R,26.7,33.4,15.9,55.3,33
Leo Jimenez,RHB,MIA,Michael McGreevy,R,46.2,51.5,,40.1,32.7
Cody Bellinger,LHB,NYY,Payton Tolle,L,58.5,19.7,36.3,35.1,32.4
CJ Abrams,LHB,WSH,Trevor Rogers,L,32.6,30.3,22.2,47.3,32.3
Bryce Eldridge,LHB,SF,Reynaldo Lopez,R,25.4,42.1,28,24.2,31.7
Lourdes Gurriel Jr.,RHB,ARI,Nick Martinez,R,38.1,26.6,10.6,60.2,31.4
Max Muncy,LHB,LAD,Walker Buehler,R,28.7,30.1,24.8,41.5,31.2
Kyle Stowers,LHB,MIA,Michael McGreevy,R,20.2,23.7,25.9,51.1,30.9
George Springer,RHB,TOR,Nathan Eovaldi,R,35.3,20.2,23.2,52,30.6
Julio Rodriguez,RHB,SEA,Joey Cantillo,L,35.4,22.8,12.9,60.4,30.5
Josh Bell,SHB,MIN,Tomoyuki Sugano,R,35.7,29.2,18.1,44.1,30.2
Tyler Stephenson,RHB,CIN,Paul Skenes,R,28,25.6,33.4,33.7,30.2
Manny Machado,RHB,SD,Roki Sasaki,R,34.7,23.2,31.6,34.9,29.8
Byron Buxton,RHB,MIN,Tomoyuki Sugano,R,48.4,21.7,34.1,28.4,29.8
Gabriel Moreno,RHB,ARI,Nick Martinez,R,37.6,26.1,19.8,43.8,29.8
Adrian Del Castillo,LHB,ARI,Nick Martinez,R,29.9,33.4,18.5,37.1,29.5
Kazuma Okamoto,RHB,TOR,Nathan Eovaldi,R,44.6,28.3,16.8,39.5,29.3
