Matchup,MIA @ COL
Pitcher,Sean Sullivan
Pitcher Team,COL
Opposing Team,MIA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,11.2,59,0.320,0.445,0.660,0.340,1.97,3,2.31,11.9%,15.6%,11.9%,10.8%,7.5%,5.40,62.7%,9.3%,6.8%,27.3%,40.9%,16.7%,20.5%
vsLHB,3.0,15,0.357,0.535,0.929,0.571,2.00,2,6.00,6.7%,11.1%,13.3%,11.1%,4.8%,6.00,60.0%,9.7%,16.7%,41.7%,41.7%,40.0%,16.7%
vsRHB,8.2,44,0.306,0.414,0.556,0.250,1.96,1,1.04,13.6%,17.1%,11.4%,10.6%,8.5%,5.19,63.6%,9.1%,3.1%,21.9%,40.6%,7.7%,21.9%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Esteury Ruiz RHB,,+700,22,13,2.40,2,2,0.444,0.615,1.111,0.667,0.671,15.4%,44.4%,23.1%,20.5%,86.1,244.1,2,2,33.3%,33.3%,33.3%,50.0%,50.0%,71.3,18.8%,18.8%,12.5%,94.1%,50.0%,50.0%,66.7%,-,16.7%,50.0%,-,50.0%,37.5%
Heriberto Hernandez RHB,,+372,31,11,3.60,1,1,0.182,0.182,0.455,0.273,0.272,-,23.8%,27.3%,11.4%,93.4,269.7,2,1,12.5%,12.5%,25.0%,50.0%,25.0%,74.1,45.0%,25.0%,15.0%,95.2%,62.5%,50.0%,25.0%,12.5%,37.5%,50.0%,50.0%,-,22.2%
Joe Mack LHB,,+516,19,8,3.60,1,1,0.125,0.125,0.500,0.375,0.262,-,50.0%,50.0%,20.8%,59.8,210.5,1,1,25.0%,25.0%,25.0%,25.0%,25.0%,72.5,37.5%,12.5%,12.5%,80.0%,25.0%,25.0%,100.0%,-,25.0%,50.0%,-,50.0%,20.0%
Javier Sanoja RHB,,+800,29,16,4.20,0,0,0.312,0.312,0.375,0.062,0.302,-,22.2%,25.0%,15.8%,74.9,167.3,1,1,-,-,25.0%,25.0%,16.7%,70.3,9.5%,19.0%,9.5%,87.5%,16.7%,-,-,16.7%,41.7%,50.0%,25.0%,25.0%,63.6%
Otto Lopez RHB,,+554,15,12,4.40,0,0,0.300,0.333,0.300,-,0.277,8.3%,15.0%,25.0%,7.9%,83.4,215.4,1,0,-,-,-,25.0%,-,70.1,11.8%,23.5%,5.9%,94.4%,25.0%,25.0%,0.0%,-,50.0%,37.5%,25.0%,37.5%,9.1%
Leo Jimenez RHB,,+680,12,12,2.80,0,0,0.167,0.167,0.250,0.083,0.180,-,25.0%,41.7%,13.0%,89.9,294.3,2,1,14.3%,-,-,28.6%,57.1%,71.7,12.5%,16.7%,4.2%,92.3%,85.8%,42.9%,0.0%,42.9%,14.3%,-,71.4%,28.6%,18.2%
Xavier Edwards SHB,,+810,25,10,4.20,0,0,0.222,0.300,0.222,-,0.243,10.0%,11.1%,10.0%,3.8%,81.4,298.2,3,2,-,-,25.0%,25.0%,62.5%,69.2,-,17.6%,5.9%,94.4%,62.5%,12.5%,0.0%,50.0%,37.5%,62.5%,37.5%,-,7.7%
Owen Caissie LHB,—,N/A,6,7,2.60,0,0,0.200,0.286,0.200,-,0.220,14.3%,26.7%,42.9%,12.5%,89.0,275.7,2,0,-,-,-,33.3%,66.7%,71.6,28.6%,14.3%,-,93.3%,100.0%,33.3%,0.0%,66.7%,-,-,66.7%,33.3%,40.0%
Jakob Marsee LHB,,+630,24,6,4.20,0,0,-,0.167,-,-,0.120,-,41.7%,33.3%,19.2%,81.6,90.0,0,0,-,-,33.3%,-,-,70.3,8.3%,8.3%,-,100.0%,-,-,-,-,66.7%,100.0%,-,-,20.0%
Kyle Stowers LHB,,+333,24,6,4.20,0,0,-,-,-,-,-,-,11.1%,16.7%,4.3%,96.0,322.4,2,0,-,-,-,60.0%,20.0%,77.2,87.5%,50.0%,37.5%,88.9%,40.0%,40.0%,0.0%,-,60.0%,40.0%,20.0%,40.0%,25.0%
Graham Pauley LHB,—,N/A,-,3,2.80,0,0,-,-,-,-,-,-,50.0%,33.3%,22.2%,60.1,49.2,0,0,-,-,50.0%,-,-,74.1,33.3%,-,-,85.7%,-,-,-,-,-,50.0%,50.0%,-,33.3%
Griffin Conine LHB,,N/A,-,2,4.00,0,0,-,-,-,-,-,-,50.0%,50.0%,16.7%,93.2,-,0,0,-,-,-,-,-,73.8,50.0%,-,-,100.0%,-,-,-,-,100.0%,100.0%,-,-,0.0%
