Matchup,CHC @ BAL
Pitcher,Dean Kremer
Pitcher Team,BAL
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,16.2,64,0.197,0.296,0.475,0.279,0.90,5,2.70,4.7%,31.6%,29.7%,27.5%,14.5%,10.26,61.5%,6.7%,11.9%,33.3%,35.7%,33.3%,33.3%
vsLHB,13.0,51,0.224,0.319,0.510,0.286,1.00,4,2.77,3.9%,30.9%,29.4%,27.8%,14.5%,10.38,59.6%,5.3%,8.8%,32.4%,35.3%,33.3%,38.2%
vsRHB,3.2,13,0.083,0.207,0.333,0.250,0.55,1,2.45,7.7%,35.0%,30.8%,26.7%,14.6%,9.82,69.2%,12.5%,25.0%,37.5%,37.5%,33.3%,12.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Carson Kelly RHB,,+640,15,22,3.60,1,1,0.333,0.455,0.556,0.222,0.433,18.2%,12.5%,13.6%,4.2%,85.2,308.7,2,1,6.7%,6.7%,20.0%,46.7%,13.3%,70.8,6.7%,26.7%,16.7%,93.8%,20.0%,13.3%,50.0%,6.7%,80.0%,53.3%,33.3%,13.3%,9.1%
Seiya Suzuki RHB,,+414,42,20,4.40,1,2,0.294,0.400,0.529,0.235,0.399,15.0%,17.1%,20.0%,6.8%,86.1,307.7,5,4,15.4%,-,30.8%,30.8%,30.8%,74.4,42.9%,14.3%,8.6%,85.4%,53.9%,38.5%,20.0%,15.4%,38.5%,53.8%,38.5%,7.7%,12.5%
Dansby Swanson RHB,,+480,30,16,3.60,1,1,0.188,0.188,0.438,0.250,0.266,-,21.9%,12.5%,11.5%,95.0,296.8,5,3,7.1%,7.1%,28.6%,64.3%,35.7%,72.2,12.9%,38.7%,19.4%,96.9%,64.3%,28.6%,25.0%,35.7%,28.6%,50.0%,28.6%,21.4%,45.8%
Pete Crow-Armstrong LHB,,+280,24,15,4.20,1,1,0.273,0.467,0.636,0.364,0.457,26.7%,26.5%,26.7%,11.2%,87.9,285.9,3,1,14.3%,14.3%,57.1%,42.9%,42.9%,74.5,56.7%,10.0%,10.0%,90.9%,85.7%,57.1%,25.0%,28.6%,-,57.1%,28.6%,14.3%,36.4%
Alex Bregman RHB,,+592,26,27,4.60,0,0,0.238,0.370,0.286,0.048,0.302,14.8%,7.1%,11.1%,2.9%,85.4,203.1,3,0,-,-,26.3%,36.8%,31.6%,70.1,5.3%,28.9%,5.3%,90.5%,42.1%,10.5%,0.0%,31.6%,36.8%,47.4%,47.4%,5.3%,17.9%
Miguel Amaya RHB,—,N/A,35,26,3.60,0,1,0.318,0.423,0.500,0.182,0.403,7.7%,13.8%,23.1%,7.0%,91.0,261.8,5,1,6.2%,-,12.5%,62.5%,56.2%,70.1,9.6%,21.2%,9.6%,92.9%,62.6%,18.8%,0.0%,43.8%,25.0%,25.0%,56.2%,18.8%,35.7%
Nico Hoerner RHB,,+1020,18,24,4.00,0,0,0.227,0.292,0.273,0.045,0.255,8.3%,10.0%,8.3%,4.9%,86.5,253.6,7,2,-,-,10.0%,20.0%,45.0%,68.8,-,34.3%,-,89.7%,65.0%,35.0%,0.0%,30.0%,20.0%,15.0%,25.0%,60.0%,35.7%
Michael Conforto LHB,,+434,26,17,3.80,0,0,0.200,0.294,0.200,-,0.233,11.8%,20.0%,17.6%,9.5%,85.6,284.7,2,1,-,-,16.7%,8.3%,25.0%,71.2,16.0%,20.0%,4.0%,83.3%,58.3%,50.0%,0.0%,8.3%,41.7%,33.3%,41.7%,25.0%,38.9%
Michael Busch LHB,,+350,25,17,4.60,0,0,0.083,0.353,0.167,0.083,0.270,23.5%,9.1%,11.8%,4.2%,86.6,277.8,3,0,-,-,10.0%,30.0%,40.0%,65.6,4.8%,38.1%,4.8%,95.5%,70.0%,50.0%,0.0%,20.0%,30.0%,30.0%,10.0%,60.0%,66.7%
Pedro Ramirez SHB,—,N/A,21,13,1.60,0,0,0.154,0.154,0.308,0.154,0.193,-,45.8%,46.2%,25.0%,91.6,270.8,1,1,-,-,28.6%,42.9%,71.4%,72.6,28.6%,14.3%,14.3%,87.5%,85.8%,42.9%,0.0%,42.9%,14.3%,28.6%,57.1%,14.3%,50.0%
Ian Happ SHB,,+340,29,13,3.80,0,1,-,0.077,-,-,0.050,7.7%,25.9%,30.8%,10.9%,91.5,285.4,3,1,12.5%,-,12.5%,62.5%,25.0%,70.7,3.8%,23.1%,11.5%,100.0%,62.5%,50.0%,0.0%,12.5%,25.0%,37.5%,37.5%,25.0%,31.2%
Kevin Alcantara RHB,—,N/A,-,4,1.60,0,0,-,-,-,-,-,-,50.0%,50.0%,25.0%,93.1,349.7,1,0,-,-,50.0%,-,50.0%,78.3,71.4%,14.3%,-,87.5%,50.0%,-,-,50.0%,50.0%,100.0%,-,-,33.3%
Justin Dean RHB,—,N/A,-,1,1.20,0,0,1.000,1.000,3.000,2.000,1.620,-,12.5%,-,10.0%,98.7,300.4,1,0,-,-,-,100.0%,100.0%,65.7,-,12.5%,12.5%,100.0%,100.0%,-,-,100.0%,-,-,-,100.0%,50.0%
