Matchup,ATH @ LAA
Pitcher,Reid Detmers
Pitcher Team,LAA
Opposing Team,ATH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,60.2,240,0.199,0.250,0.292,0.093,1.02,4,0.59,7.9%,28.1%,28.3%,22.1%,13.7%,10.09,67.6%,8.3%,6.5%,34.6%,27.5%,9.5%,13.7%
vsLHB,12.2,55,0.250,0.272,0.250,-,1.42,0,-,10.9%,28.4%,21.8%,17.6%,13.0%,8.53,67.3%,9.1%,5.4%,37.8%,32.4%,-,5.4%
vsRHB,48.0,185,0.185,0.244,0.304,0.119,0.92,4,0.75,7.0%,28.1%,30.3%,23.4%,13.9%,10.50,67.7%,8.1%,6.9%,33.6%,25.9%,13.3%,16.4%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jonah Heim SHB,,+630,18,16,3.60,2,2,0.357,0.375,0.929,0.571,0.517,6.2%,41.4%,31.2%,26.7%,89.0,334.3,4,4,10.0%,-,10.0%,20.0%,40.0%,71.7,21.1%,21.1%,-,86.4%,60.0%,16.7%,20.0%,20.0%,10.0%,60.0%,30.0%,63.6%
Henry Bolte RHB,,+720,11,13,4.20,2,2,0.417,0.462,0.917,0.500,0.578,7.7%,30.0%,30.8%,16.2%,97.2,357.7,2,2,25.0%,-,-,62.5%,50.0%,78.4,72.7%,27.3%,27.3%,78.6%,25.0%,100.0%,12.5%,62.5%,25.0%,62.5%,12.5%,45.5%
Jacob Wilson RHB,,+850,11,15,4.20,1,1,0.077,0.200,0.308,0.231,0.227,13.3%,24.0%,6.7%,12.8%,77.6,314.1,2,2,-,-,8.3%,16.7%,33.3%,64.3,-,27.3%,4.5%,95.7%,41.7%,20.0%,8.3%,41.7%,33.3%,33.3%,33.3%,42.9%
Nick Kurtz LHB,,+370,31,9,4.60,1,2,0.167,0.444,0.667,0.500,0.450,33.3%,55.6%,44.4%,20.0%,107.5,411.2,2,2,100.0%,-,-,100.0%,100.0%,77.5,68.8%,12.5%,12.5%,94.1%,100.0%,50.0%,-,-,-,100.0%,-,61.5%
Colby Thomas RHB,,+630,16,13,2.00,0,0,-,0.077,-,-,0.050,7.7%,28.6%,38.5%,17.9%,84.2,208.0,1,1,14.3%,14.3%,28.6%,14.3%,14.3%,74.3,46.2%,7.7%,7.7%,81.2%,28.6%,0.0%,-,28.6%,42.9%,28.6%,28.6%,57.1%
Max Muncy RHB,,+550,18,13,3.60,0,0,0.250,0.308,0.250,-,0.255,7.7%,17.2%,7.7%,9.1%,86.0,255.8,1,1,-,-,9.1%,27.3%,18.2%,72.9,30.0%,15.0%,5.0%,95.2%,27.3%,0.0%,18.2%,45.5%,36.4%,18.2%,45.5%,36.4%
Shea Langeliers RHB,,+309,26,12,4.40,0,0,0.182,0.250,0.182,-,0.202,8.3%,19.0%,16.7%,10.0%,90.2,245.0,1,0,-,-,11.1%,33.3%,-,75.7,50.0%,16.7%,8.3%,92.3%,44.4%,0.0%,-,44.4%,33.3%,22.2%,44.4%,44.4%
Alika Williams RHB,,+1020,5,11,2.60,0,1,0.273,0.273,0.455,0.182,0.312,-,36.4%,36.4%,18.2%,89.1,279.5,3,1,-,-,14.3%,14.3%,28.6%,66.9,-,30.0%,-,90.9%,42.9%,0.0%,14.3%,28.6%,14.3%,57.1%,28.6%,40.0%
Tyler Soderstrom LHB,,+519,23,10,4.20,0,0,0.250,0.400,0.250,-,0.308,20.0%,25.0%,20.0%,11.5%,84.7,225.1,0,0,-,-,16.7%,33.3%,16.7%,75.4,54.5%,13.6%,9.1%,100.0%,-,-,16.7%,66.7%,33.3%,33.3%,33.3%,42.9%
Jeff McNeil LHB,,+1060,7,9,3.20,0,0,-,0.111,-,-,0.072,11.1%,8.7%,-,4.7%,87.4,269.2,3,0,-,-,25.0%,50.0%,50.0%,67.4,-,30.0%,10.0%,95.2%,-,-,50.0%,37.5%,50.0%,37.5%,12.5%,44.4%
Carlos Cortes LHB,—,N/A,-,7,3.20,0,0,0.429,0.429,0.571,0.143,0.436,-,54.5%,42.9%,28.6%,85.6,186.3,0,0,-,-,-,25.0%,50.0%,68.6,-,10.0%,-,90.9%,-,-,50.0%,25.0%,25.0%,-,75.0%,0.0%
Lawrence Butler LHB,—,N/A,7,6,2.80,0,0,0.200,0.333,0.200,-,0.256,16.7%,18.8%,16.7%,8.1%,81.5,245.7,0,0,-,-,-,33.3%,33.3%,72.8,10.0%,20.0%,10.0%,71.4%,33.3%,0.0%,33.3%,33.3%,-,66.7%,33.3%,0.0%
Joey Meneses RHB,—,N/A,8,5,3.00,0,0,0.250,0.400,0.250,-,0.308,20.0%,20.0%,-,11.1%,96.1,221.2,0,0,-,-,25.0%,50.0%,25.0%,69.9,25.0%,25.0%,-,100.0%,25.0%,0.0%,25.0%,50.0%,50.0%,50.0%,-,40.0%
