HR Split,Overall
Dates,="7/16/2026"
Games,16

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,7:10 PM,Aaron Nola,vs,0.40,-0.40,0.20,2.07,10.6%,23.7%,41.1%,31.0%,6.6%,953
2,7:10 PM,Christian Scott,@,-0.40,0.40,-0.20,1.76,10.7%,23.2%,37.3%,32.3%,6.4%,331
