Matchup,ATH @ DET
Pitcher,Jeffrey Springs
Pitcher Team,ATH
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,49.2,226,0.286,0.398,0.601,0.315,1.59,17,3.08,9.3%,22.4%,18.1%,15.9%,10.8%,7.43,54.6%,6.5%,10.4%,35.4%,33.5%,21.8%,18.3%
vsLHB,17.1,73,0.227,0.332,0.485,0.258,1.27,4,2.08,9.6%,19.5%,20.5%,21.1%,9.1%,7.79,53.4%,4.7%,3.9%,29.4%,25.5%,15.4%,15.7%
vsRHB,32.1,153,0.314,0.430,0.657,0.343,1.76,13,3.62,9.2%,23.6%,17.0%,13.9%,11.6%,7.24,55.2%,7.2%,13.3%,38.1%,37.2%,23.8%,19.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Hao-Yu Lee RHB,,+552,13,14,2.60,1,1,0.462,0.500,0.769,0.308,0.541,7.1%,16.7%,14.3%,9.8%,92.1,282.4,4,1,-,-,18.2%,45.5%,36.4%,72.0,29.6%,33.3%,11.1%,90.0%,72.8%,36.4%,25.0%,36.4%,27.3%,27.3%,45.5%,27.3%,35.7%
Matt Vierling RHB,,+600,19,14,3.00,1,1,0.214,0.214,0.571,0.357,0.331,-,19.2%,-,10.9%,92.7,272.8,4,3,7.1%,-,7.1%,57.1%,50.0%,71.8,12.0%,40.0%,20.0%,96.2%,50.0%,7.1%,0.0%,42.9%,35.7%,21.4%,57.1%,21.4%,14.3%
Riley Greene LHB,,+400,9,14,4.60,0,1,0.083,0.214,0.250,0.167,0.208,14.3%,24.0%,21.4%,10.3%,92.9,249.6,3,1,22.2%,11.1%,11.1%,55.6%,44.4%,75.5,66.7%,28.6%,19.0%,87.5%,66.6%,22.2%,0.0%,44.4%,22.2%,22.2%,44.4%,33.3%,18.8%
Zach McKinstry LHB,,+1200,5,12,4.20,0,0,0.125,0.417,0.125,-,0.291,33.3%,30.0%,16.7%,9.8%,86.6,278.5,0,0,-,-,-,33.3%,50.0%,67.3,-,23.1%,7.7%,68.4%,50.0%,16.7%,0.0%,33.3%,50.0%,33.3%,50.0%,16.7%,28.6%
Jake Rogers RHB,—,N/A,3,11,3.80,0,1,0.200,0.273,0.300,0.100,0.255,9.1%,55.6%,45.5%,25.6%,96.9,317.2,3,1,-,-,40.0%,60.0%,20.0%,72.4,18.8%,31.2%,12.5%,88.9%,80.0%,60.0%,0.0%,20.0%,20.0%,60.0%,20.0%,20.0%,30.0%
Spencer Torkelson RHB,,+340,17,11,4.40,0,0,0.444,0.545,0.556,0.111,0.476,18.2%,25.0%,18.2%,10.0%,93.5,204.3,1,0,14.3%,14.3%,28.6%,57.1%,71.4%,73.7,35.7%,35.7%,28.6%,87.5%,71.4%,-,-,71.4%,28.6%,57.1%,42.9%,-,27.3%
Dillon Dingler RHB,,+420,28,11,4.60,0,0,0.500,0.455,0.600,0.100,0.439,-,23.1%,-,12.8%,89.7,256.8,3,1,9.1%,-,9.1%,54.5%,54.5%,72.6,20.8%,29.2%,16.7%,92.3%,63.6%,9.1%,0.0%,54.5%,36.4%,27.3%,72.7%,-,38.5%
Ben Malgeri RHB,—,N/A,-,10,2.80,0,0,0.375,0.400,0.500,0.125,0.370,10.0%,23.5%,30.0%,12.1%,91.9,226.5,1,0,-,-,16.7%,33.3%,66.7%,70.1,13.3%,33.3%,13.3%,88.2%,83.4%,16.7%,0.0%,66.7%,-,16.7%,16.7%,66.7%,70.0%
James Outman LHB,,+423,5,9,3.40,0,0,0.333,0.556,0.333,-,0.422,22.2%,58.3%,22.2%,25.9%,91.2,257.3,0,0,-,-,25.0%,50.0%,-,72.6,30.0%,30.0%,20.0%,83.3%,25.0%,25.0%,0.0%,-,75.0%,75.0%,25.0%,-,33.3%
Kevin McGonigle LHB,,+600,20,8,4.80,0,1,0.375,0.375,0.500,0.125,0.381,-,5.9%,-,2.8%,90.8,278.4,3,2,12.5%,-,25.0%,50.0%,50.0%,69.7,-,42.9%,14.3%,82.4%,50.0%,25.0%,0.0%,25.0%,25.0%,37.5%,37.5%,25.0%,30.0%
Jahmai Jones RHB,,+575,16,8,1.40,0,0,0.143,0.250,0.143,-,0.192,12.5%,58.8%,50.0%,32.3%,80.2,181.2,0,0,-,-,-,33.3%,-,74.1,41.2%,5.9%,5.9%,100.0%,-,-,-,-,66.7%,-,100.0%,-,37.5%
Kerry Carpenter LHB,—,N/A,7,8,3.60,0,2,0.125,0.125,0.250,0.125,0.159,-,52.6%,62.5%,27.0%,88.4,370.5,2,2,33.3%,-,33.3%,66.7%,33.3%,70.2,-,13.3%,6.7%,83.3%,66.7%,66.7%,0.0%,-,33.3%,66.7%,-,33.3%,40.0%
Colt Keith LHB,—,N/A,1,5,2.80,0,0,-,-,-,-,-,-,25.0%,20.0%,9.1%,85.8,363.3,1,1,-,-,-,50.0%,25.0%,70.3,-,28.6%,14.3%,87.5%,25.0%,-,-,25.0%,75.0%,75.0%,25.0%,-,0.0%
