Bat Side,L
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"5,361",1.12,1.12,1.09,1.07,1.11,1.40,0.87,1.01,1.05,1.02,1.07,88.4,174.5
2,Sutter Health Park,24',Open,"3,028",1.05,1.03,1.04,1.03,1.08,0.84,0.95,1.09,0.98,0.98,1.01,88.5,176.3
3,Great American Ball Park,535',Open,"4,441",1.04,1.13,1.03,1.01,1.01,0.90,1.00,1.05,1.02,0.98,1.00,88.3,175.7
4,PNC Park,780',Open,"5,034",1.02,0.95,1.02,0.98,1.19,0.92,0.97,0.99,1.02,1.02,1.01,89.5,174.8
5,Oriole Park at Camden Yards,33',Open,"5,836",1.02,1.08,1.02,1.01,0.98,0.95,0.98,0.97,1.02,1.01,1.00,88.9,170.8
6,Citizens Bank Park,20',Open,"5,138",1.02,1.11,1.03,1.02,0.97,0.93,1.04,0.95,0.97,0.98,1.01,88.8,171.2
7,Daikin Park,45',Retractable,"4,106",1.02,1.09,1.03,1.03,0.97,0.91,1.08,1.02,0.99,1.03,1.00,89.4,174.6
8,Nationals Park,35',Open,"6,214",1.02,1.01,1.01,1.03,0.96,0.95,0.94,1.02,1.04,1.01,1.00,88.5,167.2
9,Rate Field,595',Open,"5,195",1.01,1.04,1.00,1.00,0.97,1.00,0.97,1.06,1.02,1.01,0.99,88.1,172.4
10,Target Field,828',Open,"5,574",1.01,0.96,1.03,1.04,1.04,0.86,0.99,0.98,1.00,1.00,1.01,88.6,176.7
11,Kauffman Stadium,856',Open,"5,447",1.01,0.85,1.02,1.01,1.13,1.28,0.94,1.01,0.98,1.02,1.01,88.6,172.1
12,Progressive Field,653',Open,"6,692",1.01,1.07,1.00,0.99,0.99,0.83,1.05,1.03,1.04,1.01,0.99,87.7,167.9
13,Rogers Centre,270',Retractable,"4,992",1.01,1.05,1.00,0.97,1.07,0.85,1.02,0.99,1.03,1.00,1.00,87.6,165.8
14,loanDepot park,10',Retractable,"5,421",1.00,0.95,1.00,1.00,1.00,1.17,0.97,1.04,1.03,1.05,1.00,88.7,166.7
15,Yankee Stadium,55',Open,"5,571",1.00,1.04,0.99,0.96,1.03,0.85,1.03,1.05,1.01,1.00,1.00,89.3,172.9
16,Angel Stadium,151',Open,"4,455",0.99,1.01,1.00,1.01,0.95,0.91,1.01,1.02,0.99,1.04,1.00,88.4,163.8
17,Truist Park,1001',Open,"5,407",0.99,1.00,1.00,1.03,0.93,0.97,1.04,0.98,0.96,0.98,1.02,88.8,169.6
18,Fenway Park,21',Open,"5,632",0.99,0.86,1.01,1.00,1.12,0.90,0.98,0.98,0.92,0.99,0.99,88.6,163.9
19,Chase Field,1086',Retractable,"5,783",0.98,0.83,1.00,1.01,1.04,1.31,0.93,0.99,0.96,1.03,1.02,88.8,165.1
20,Comerica Park,600',Open,"5,380",0.98,0.95,0.99,1.00,0.93,1.29,0.98,0.97,0.95,1.01,1.00,88.5,171.2
21,American Family Field,597',Retractable,"5,042",0.98,1.01,0.99,1.00,0.93,1.06,1.09,1.01,0.95,0.97,1.01,87.1,161.6
22,Wrigley Field,595',Open,"4,860",0.98,0.98,0.99,1.03,0.86,1.10,1.01,0.97,0.98,1.00,1.00,88.7,171.8
23,Citi Field,10',Open,"5,221",0.97,0.93,0.99,1.01,0.97,0.82,1.04,1.06,0.92,0.97,0.99,88.6,165.9
24,Oracle Park,',Open,"5,210",0.97,0.80,1.00,1.03,1.02,1.15,0.96,0.98,0.96,1.01,0.99,88.3,157.8
25,Globe Life Field,545',Retractable,"5,144",0.97,0.95,0.98,0.98,0.98,0.98,1.01,0.96,1.00,1.01,1.00,88.7,173
26,Busch Stadium,460',Open,"5,617",0.97,0.81,0.99,1.02,1.03,0.89,0.93,0.94,0.98,1.02,1.00,88.6,161.3
27,T-Mobile Park,10',Retractable,"5,507",0.96,1.01,0.98,0.98,1.01,0.65,1.10,0.93,1.00,1.02,0.99,88.7,170.1
28,Dodger Stadium,515',Open,"5,241",0.96,1.02,0.96,0.96,0.94,0.78,1.05,1.01,0.95,1.00,1.01,89.4,171.5
29,Tropicana Field,15',Dome,"2,639",0.96,0.96,0.97,0.96,0.98,1.00,1.02,0.94,0.97,0.97,1.00,87.2,172
30,Petco Park,23',Open,"5,136",0.94,0.97,0.95,0.96,0.92,0.86,1.05,1.02,1.01,0.99,0.99,87.6,166.9
