Matchup,NYY @ TB
Pitcher,Griffin Jax
Pitcher Team,TB
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,46.0,186,0.254,0.314,0.428,0.173,1.20,8,1.57,5.9%,29.8%,23.7%,29.9%,14.3%,8.61,67.0%,7.5%,10.0%,40.0%,21.5%,28.6%,18.5%
vsLHB,26.2,112,0.274,0.328,0.453,0.179,1.31,5,1.69,5.4%,29.5%,25.0%,28.6%,14.0%,9.45,68.4%,7.7%,11.5%,35.9%,23.1%,27.8%,17.9%
vsRHB,19.1,74,0.224,0.294,0.388,0.164,1.03,3,1.40,6.8%,30.3%,21.6%,32.7%,14.9%,7.45,64.9%,7.2%,7.7%,46.2%,19.2%,30.0%,19.2%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Trent Grisham LHB,,+417,22,22,4.00,2,3,0.500,0.545,0.900,0.400,0.608,9.1%,10.3%,9.1%,4.5%,95.0,284.6,4,3,11.1%,5.6%,22.2%,61.1%,44.4%,71.1,13.9%,36.1%,22.2%,94.7%,44.5%,16.7%,66.7%,27.8%,50.0%,55.6%,33.3%,11.1%,37.5%
Ryan McMahon LHB,,+640,23,21,3.20,1,1,0.111,0.238,0.278,0.167,0.235,14.3%,26.3%,28.6%,12.0%,91.7,281.8,3,3,27.3%,-,-,45.5%,27.3%,74.3,38.9%,16.7%,16.7%,94.7%,63.7%,27.3%,33.3%,36.4%,36.4%,18.2%,54.5%,27.3%,25.0%
Jasson Dominguez SHB,,+660,15,18,4.20,1,1,0.278,0.278,0.556,0.278,0.357,-,19.4%,11.1%,9.7%,93.6,266.9,4,2,6.2%,6.2%,43.8%,56.2%,43.8%,75.0,51.9%,33.3%,25.9%,93.1%,68.8%,25.0%,0.0%,43.8%,25.0%,56.2%,25.0%,18.8%,36.4%
Max Schuemann RHB,,+900,8,15,2.60,1,1,0.250,0.400,0.583,0.333,0.419,13.3%,38.1%,33.3%,14.5%,98.8,298.0,3,1,28.6%,14.3%,42.9%,71.4%,57.1%,69.4,10.0%,30.0%,15.0%,100.0%,85.8%,42.9%,0.0%,42.9%,14.3%,42.9%,28.6%,28.6%,21.4%
Ben Rice LHB,,+357,20,14,4.40,1,2,0.077,0.143,0.308,0.231,0.196,7.1%,12.5%,28.6%,4.8%,91.6,323.6,4,2,11.1%,11.1%,22.2%,33.3%,33.3%,73.9,33.3%,29.2%,4.2%,100.0%,66.7%,55.6%,20.0%,11.1%,33.3%,44.4%,33.3%,22.2%,21.1%
Amed Rosario RHB,—,N/A,19,11,2.40,1,1,0.300,0.364,0.600,0.300,0.412,9.1%,27.3%,27.3%,13.6%,87.2,279.2,1,1,14.3%,-,-,14.3%,57.1%,72.8,22.2%,16.7%,5.6%,81.8%,57.2%,14.3%,100.0%,42.9%,42.9%,42.9%,-,57.1%,33.3%
Cody Bellinger LHB,,+562,16,22,4.40,0,1,0.105,0.227,0.158,0.053,0.187,13.6%,27.8%,22.7%,12.3%,90.3,284.6,4,2,-,-,42.9%,50.0%,28.6%,69.6,3.2%,29.0%,12.9%,88.6%,57.1%,35.7%,0.0%,21.4%,35.7%,57.1%,35.7%,7.1%,38.1%
Jose Caballero RHB,,+1040,14,16,3.40,0,0,-,-,-,-,-,-,31.6%,37.5%,16.2%,83.0,241.4,3,0,-,-,30.0%,30.0%,10.0%,69.8,17.6%,14.7%,-,89.5%,40.0%,30.0%,0.0%,10.0%,40.0%,70.0%,10.0%,20.0%,33.3%
Jazz Chisholm Jr. LHB,,+473,33,15,3.20,0,0,0.231,0.333,0.231,-,0.265,13.3%,22.6%,33.3%,9.0%,93.2,261.9,1,0,12.5%,12.5%,37.5%,75.0%,12.5%,75.4,58.6%,24.1%,13.8%,96.7%,25.0%,12.5%,0.0%,12.5%,50.0%,75.0%,12.5%,12.5%,17.6%
Paul Goldschmidt RHB,—,N/A,23,14,3.00,0,0,-,-,-,-,-,-,27.3%,35.7%,15.3%,86.1,296.5,2,0,-,-,11.1%,33.3%,11.1%,71.3,13.8%,20.7%,6.9%,87.9%,44.4%,44.4%,0.0%,-,55.6%,33.3%,44.4%,22.2%,26.7%
