Matchup,CLE @ NYY
Pitcher,Joey Cantillo
Pitcher Team,CLE
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,58.0,245,0.236,0.321,0.392,0.156,1.40,7,1.09,12.7%,27.2%,20.8%,17.8%,12.1%,7.91,53.4%,6.5%,7.5%,37.3%,30.4%,14.3%,16.1%
vsLHB,14.2,55,0.220,0.299,0.400,0.180,1.09,2,1.23,9.1%,25.4%,21.8%,15.8%,12.9%,7.36,56.1%,6.4%,5.3%,28.9%,28.9%,18.2%,18.4%
vsRHB,43.1,190,0.241,0.327,0.389,0.148,1.50,5,1.04,13.7%,27.9%,20.5%,18.6%,11.9%,8.10,52.6%,6.5%,8.1%,39.8%,30.9%,13.2%,15.4%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Paul Goldschmidt RHB,+520,13,5.00,1,1,0.615,0.615,1.000,0.385,0.699,-,6.7%,7.7%,2.6%,93.2,16.7%,8.3%,16.7%,66.7%,33.3%,72.9,30.8%,61.5%,46.2%,86.7%,16.7%,50.0%,33.3%,50.0%,41.7%,16.7%,41.7%,33.3%
Cody Bellinger LHB,+553,13,4.80,1,1,0.077,0.077,0.308,0.231,0.162,-,17.4%,30.8%,8.2%,85.8,11.1%,11.1%,11.1%,44.4%,44.4%,69.3,-,33.3%,11.1%,78.3%,11.1%,0.0%,22.2%,44.4%,44.4%,33.3%,22.2%,26.7%
Trent Grisham LHB,+474,11,4.80,1,1,0.333,0.455,0.667,0.333,0.471,18.2%,21.4%,27.3%,7.3%,96.2,16.7%,-,-,66.7%,66.7%,69.4,-,50.0%,16.7%,85.7%,-,-,66.7%,33.3%,16.7%,83.3%,-,53.8%
Jose Caballero RHB,+930,11,3.00,1,1,0.182,0.182,0.545,0.364,0.306,-,28.1%,45.5%,15.5%,83.2,16.7%,16.7%,33.3%,33.3%,50.0%,67.8,3.4%,10.3%,3.4%,90.6%,33.3%,50.0%,16.7%,50.0%,50.0%,33.3%,16.7%,33.3%
Anthony Volpe RHB,+920,6,4.40,1,1,0.400,0.500,1.000,0.600,0.606,16.7%,23.1%,-,6.5%,84.5,20.0%,-,20.0%,20.0%,20.0%,71.0,16.7%,16.7%,8.3%,92.3%,60.0%,33.3%,-,20.0%,20.0%,80.0%,-,12.5%
Austin Wells LHB,+600,14,3.80,0,0,-,-,-,-,-,-,46.2%,42.9%,26.1%,77.2,-,-,12.5%,12.5%,25.0%,72.7,25.0%,15.0%,-,87.0%,25.0%,0.0%,-,37.5%,50.0%,37.5%,12.5%,55.6%
Ben Rice LHB,+370,14,5.20,0,1,0.500,0.571,0.833,0.333,0.586,7.1%,31.0%,14.3%,14.8%,96.4,10.0%,-,30.0%,70.0%,50.0%,72.9,20.8%,33.3%,25.0%,82.8%,-,-,50.0%,50.0%,60.0%,20.0%,20.0%,43.8%
Ryan McMahon LHB,N/A,13,3.20,0,1,0.308,0.308,0.385,0.077,0.303,-,22.7%,30.8%,11.4%,91.4,11.1%,-,11.1%,44.4%,33.3%,72.8,31.6%,31.6%,10.5%,86.4%,22.2%,0.0%,22.2%,44.4%,44.4%,22.2%,22.2%,30.8%
J.C. Escarra LHB,N/A,13,3.20,0,0,0.333,0.308,0.417,0.083,0.303,-,16.7%,7.7%,10.4%,89.2,8.3%,-,16.7%,33.3%,41.7%,68.9,-,32.0%,16.0%,83.3%,33.3%,0.0%,33.3%,33.3%,41.7%,33.3%,25.0%,25.0%
Max Schuemann RHB,N/A,11,3.00,0,1,0.375,0.545,0.625,0.250,0.489,27.3%,31.6%,18.2%,13.6%,83.4,-,-,-,33.3%,50.0%,71.8,12.5%,6.2%,6.2%,88.9%,33.3%,0.0%,-,33.3%,16.7%,33.3%,50.0%,33.3%
Aaron Judge RHB,+250,10,4.60,0,0,0.111,0.200,0.111,-,0.154,10.0%,17.6%,20.0%,6.2%,90.3,-,-,-,42.9%,14.3%,76.7,70.6%,23.5%,11.8%,100.0%,14.3%,0.0%,14.3%,71.4%,57.1%,14.3%,28.6%,28.6%
Jazz Chisholm Jr. LHB,+525,8,4.60,0,1,0.125,0.125,0.250,0.125,0.159,-,31.6%,37.5%,14.3%,96.5,-,-,40.0%,40.0%,40.0%,73.8,31.2%,25.0%,12.5%,84.2%,40.0%,0.0%,40.0%,20.0%,60.0%,40.0%,-,12.5%
