Matchup,TEX @ KC
Pitcher,Stephen Kolek
Pitcher Team,KC
Opposing Team,TEX

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,38.0,149,0.207,0.265,0.357,0.150,0.97,5,1.18,5.4%,19.5%,18.1%,18.9%,9.2%,6.39,58.7%,5.6%,7.1%,37.2%,23.0%,15.4%,13.3%
vsLHB,23.1,90,0.198,0.234,0.302,0.105,0.90,2,0.77,4.4%,17.3%,21.1%,19.2%,8.7%,7.33,64.4%,4.1%,6.0%,31.3%,23.9%,12.5%,10.4%
vsRHB,14.2,59,0.222,0.313,0.444,0.222,1.09,3,1.84,6.8%,23.9%,13.6%,18.2%,10.0%,4.91,50.0%,8.1%,8.7%,45.7%,21.7%,20.0%,17.4%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Corey Seager LHB,,+411,37,27,4.00,1,2,0.120,0.185,0.240,0.120,0.192,7.4%,28.3%,22.2%,16.0%,90.6,293.6,7,4,15.8%,-,10.5%,31.6%,36.8%,72.2,14.3%,26.5%,12.2%,92.5%,42.1%,12.5%,26.3%,31.6%,31.6%,36.8%,31.6%,63.3%
Brandon Nimmo LHB,,+543,13,26,3.80,1,5,0.250,0.308,0.375,0.125,0.305,3.8%,28.9%,26.9%,12.1%,92.3,301.2,7,7,23.5%,5.9%,23.5%,41.2%,41.2%,72.9,16.7%,30.0%,16.7%,88.2%,58.8%,10.0%,29.4%,11.8%,35.3%,52.9%,11.8%,7.7%
Joc Pederson LHB,,+502,16,23,3.80,1,2,0.238,0.304,0.476,0.238,0.336,8.7%,26.8%,8.7%,12.6%,90.7,285.2,6,2,5.3%,5.3%,21.1%,42.1%,31.6%,71.9,23.7%,34.2%,21.1%,95.0%,10.5%,0.0%,31.6%,52.6%,57.9%,26.3%,15.8%,22.7%
Kyle Higashioka RHB,,+528,19,22,3.60,1,1,0.368,0.455,0.526,0.158,0.430,9.1%,18.5%,13.6%,5.4%,85.7,232.1,2,2,12.5%,-,25.0%,37.5%,56.2%,69.4,4.2%,45.8%,12.5%,88.9%,12.5%,50.0%,43.8%,31.2%,43.8%,43.8%,12.5%,11.5%
Evan Carter LHB,,+820,20,21,2.20,1,1,0.263,0.333,0.579,0.316,0.384,9.5%,31.8%,33.3%,13.9%,81.6,234.1,2,2,-,-,8.3%,33.3%,16.7%,70.8,21.1%,15.8%,2.6%,88.4%,16.7%,50.0%,8.3%,58.3%,41.7%,25.0%,33.3%,27.8%
Nicky Lopez LHB,—,N/A,8,20,3.00,1,2,0.250,0.250,0.400,0.150,0.283,-,26.8%,15.0%,16.7%,84.9,262.6,5,3,-,-,29.4%,23.5%,47.1%,66.0,-,34.3%,5.7%,87.5%,17.6%,0.0%,41.2%,35.3%,41.2%,47.1%,11.8%,55.0%
Josh Jung RHB,,+680,17,36,4.60,0,0,0.281,0.333,0.312,0.031,0.289,5.6%,22.4%,22.2%,11.8%,85.8,238.4,4,1,-,-,20.0%,24.0%,32.0%,69.8,3.8%,30.8%,1.9%,91.2%,20.0%,0.0%,36.0%,36.0%,40.0%,32.0%,28.0%,41.9%
Jake Burger RHB,,+515,20,31,3.80,0,0,0.143,0.226,0.214,0.071,0.202,9.7%,34.9%,32.3%,19.3%,91.3,214.6,1,0,-,-,23.5%,41.2%,41.2%,75.0,59.6%,19.3%,8.8%,90.5%,17.6%,0.0%,35.3%,41.2%,41.2%,35.3%,23.5%,50.0%
Ezequiel Duran RHB,,+980,18,27,3.80,0,2,0.346,0.370,0.462,0.115,0.362,3.7%,27.5%,33.3%,13.3%,88.1,273.5,2,2,6.2%,-,6.2%,31.2%,43.8%,71.3,19.6%,23.9%,8.7%,92.0%,18.8%,0.0%,12.5%,62.5%,31.2%,43.8%,25.0%,48.4%
Wyatt Langford RHB,,+476,13,24,3.40,0,0,0.286,0.375,0.286,-,0.304,12.5%,24.0%,16.7%,12.6%,94.7,250.5,2,1,-,-,17.6%,35.3%,23.5%,72.0,24.4%,35.6%,6.7%,97.8%,35.3%,0.0%,23.5%,35.3%,23.5%,29.4%,47.1%,42.3%
