Bat Side,R
Condition,night

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Great American Ball Park,535',Open,"3,584",1.07,1.22,1.04,0.99,1.09,0.92,1.02,1.03,1.08,1.02,1.01,88.8,174
2,Nationals Park,35',Open,"2,729",1.05,1.01,1.06,1.06,1.06,1.06,0.94,1.00,1.05,1.08,1.00,88.6,162.2
3,Target Field,828',Open,"2,549",1.04,0.96,1.06,1.07,1.07,1.07,1.01,1.01,1.00,1.03,1.02,88.5,169
4,Citizens Bank Park,20',Open,"4,098",1.03,1.05,1.04,1.04,1.01,0.96,1.02,1.04,0.92,1.02,1.00,88.4,162.4
5,Kauffman Stadium,856',Open,"2,784",1.03,0.93,1.04,1.02,1.12,1.22,0.95,1.03,1.01,1.03,1.03,89.1,165.7
6,Truist Park,1001',Open,"4,360",1.03,0.96,1.06,1.08,1.06,1.14,1.06,0.96,0.99,1.04,1.02,89.5,164.5
7,Progressive Field,653',Open,"3,036",1.03,0.88,1.06,1.06,1.19,1.01,1.05,0.99,0.97,1.04,1.00,88.6,163.4
8,George M. Steinbrenner Field,34',Open,"1,420",1.03,1.02,1.05,1.07,0.96,0.90,1.00,1.00,0.97,1.05,1.00,89.8,155.3
9,loanDepot park,10',Retractable,"3,620",1.02,0.95,1.03,1.02,1.09,1.17,0.96,0.98,1.02,1.03,0.99,88.7,160.2
10,Rate Field,595',Open,"2,376",1.02,0.98,1.04,1.06,1.00,0.85,0.99,1.01,0.98,1.04,1.00,88.3,166.6
11,Fenway Park,21',Open,"3,483",1.02,0.92,1.05,1.09,1.01,1.05,1.02,1.01,0.96,1.03,0.99,88.7,154.9
12,Daikin Park,45',Retractable,"1,096",1.02,1.06,1.03,1.03,0.96,1.01,1.04,1.00,0.95,1.02,1.00,87.7,162.7
13,Citi Field,10',Open,"3,306",1.02,1.01,1.03,1.06,0.94,0.99,1.01,1.05,1.01,1.04,1.00,89.1,163.2
14,Oriole Park at Camden Yards,33',Open,"3,072",1.02,0.95,1.04,1.06,0.99,1.04,0.98,0.98,0.99,1.07,1.01,89.3,165.6
15,Comerica Park,600',Open,"3,278",1.01,1.09,1.01,1.01,0.94,0.96,0.99,1.00,1.01,1.00,1.00,88.6,167
16,Busch Stadium,460',Open,"3,059",1.00,0.90,1.01,1.02,1.05,0.92,0.94,1.00,1.03,1.03,1.00,89.3,160.7
17,Rogers Centre,270',Retractable,"3,783",1.00,1.08,0.99,0.97,1.01,0.82,1.02,0.98,1.06,1.04,1.00,89.2,169.1
18,American Family Field,597',Retractable,"2,417",1.00,1.07,0.99,0.97,1.01,0.87,1.04,0.98,1.01,1.01,1.01,88.2,167.9
19,Wrigley Field,595',Open,"1,577",0.99,1.02,1.00,1.01,0.90,1.10,0.96,1.02,0.95,1.05,1.01,88.7,161
20,Tropicana Field,15',Dome,"1,594",0.99,1.01,1.00,0.98,1.02,1.03,1.05,1.02,0.99,0.97,1.01,88.3,168.4
21,PNC Park,780',Open,"3,550",0.99,0.84,1.02,1.05,1.05,0.91,0.97,1.04,0.92,1.04,1.00,88.1,153.3
22,Yankee Stadium,55',Open,"3,513",0.99,0.99,0.99,0.99,0.96,1.13,1.01,1.00,1.00,1.04,1.00,89.6,168.2
