HR Split,Overall
Dates,="7/20/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,8:05 PM,Jameson Taillon,vs,2.03,1.76,1.24,2.99,14.1%,25.8%,40.3%,37.9%,6.8%,939
2,9:40 PM,Jeffrey Springs,@,1.36,-0.49,1.75,2.97,9.9%,22.5%,31.8%,35.9%,6.2%,1253
3,7:15 PM,Bryce Elder,vs,0.90,0.50,0.80,2.25,8.0%,26.1%,41.3%,27.7%,6.5%,1227
4,7:15 PM,JP Sears,@,0.80,0.72,0.65,1.83,8.4%,18.2%,46.3%,36.1%,8.3%,755
5,8:40 PM,Kyle Freeland,vs,0.78,-0.18,0.93,1.48,12.7%,14.8%,42.8%,32.2%,9.5%,1234
6,9:40 PM,Mitch Bratt,vs,0.61,-,-0.94,1.50,10.0%,14.3%,50.0%,35.0%,7.1%,56
7,7:10 PM,Emmet Sheehan,@,0.44,0.41,0.25,1.48,9.8%,21.3%,42.1%,28.3%,6.5%,782
8,8:10 PM,Janson Junk,@,0.29,-0.05,0.60,1.52,8.4%,19.3%,42.3%,25.2%,7.1%,843
9,9:40 PM,Andrew Abbott,@,0.18,-0.27,0.37,1.51,8.4%,17.8%,38.5%,26.0%,7.0%,1252
10,7:10 PM,Cristopher Sanchez,vs,0.16,-1.21,0.64,1.30,7.8%,23.3%,44.0%,19.3%,7.6%,1506
11,7:05 PM,Braxton Ashcraft,@,0.11,0.48,-0.65,1.35,6.3%,20.8%,43.7%,26.8%,7.3%,870
12,6:40 PM,Tanner Bibee,vs,0.10,0.45,-0.46,1.57,7.9%,15.5%,36.0%,27.1%,7.3%,1356
13,7:40 PM,Freddy Peralta,@,0.10,0.36,-0.46,1.62,6.1%,19.4%,37.5%,29.4%,6.3%,1361
14,7:10 PM,Payton Tolle,vs,0.09,-0.21,0.34,1.22,8.3%,15.8%,36.6%,30.1%,9.1%,521
15,9:40 PM,George Kirby,vs,0.08,0.03,0.16,1.08,10.0%,13.5%,43.9%,27.6%,7.4%,1192
16,8:05 PM,Jacob deGrom,vs,-0.01,-0.15,0.19,1.19,7.4%,19.6%,42.6%,26.2%,6.4%,1189
17,7:07 PM,Nick Martinez,@,-0.07,0.43,-0.77,1.29,8.2%,13.5%,36.0%,28.5%,7.4%,1228
18,6:40 PM,Joe Ryan,@,-0.10,0.14,-0.32,0.82,10.9%,12.3%,39.5%,26.5%,8.2%,1255
19,8:10 PM,Ronel Blanco,vs,-0.13,0.78,-0.67,1.32,8.4%,14.3%,30.5%,32.1%,6.2%,199
20,7:05 PM,Ryan Weathers,vs,-0.25,0.31,-0.37,1.01,7.4%,15.7%,41.3%,21.4%,7.9%,679
21,7:40 PM,Jacob Misiorowski,vs,-0.30,-1.06,1.09,1.05,4.6%,22.6%,37.1%,25.8%,7.6%,860
22,8:05 PM,Jack Flaherty,@,-0.35,-0.55,0.36,0.74,8.5%,9.4%,45.7%,30.9%,6.0%,1193
23,10:10 PM,Jose Soriano,vs,-0.38,0.17,-1.09,1.02,6.7%,25.4%,35.4%,16.1%,5.8%,1295
24,7:40 PM,Michael Wacha,vs,-0.46,-0.68,0.20,1.07,6.5%,11.6%,33.4%,27.4%,7.6%,1333
25,10:10 PM,Kyle Leahy,@,-0.52,-0.51,-0.18,0.45,9.3%,6.4%,49.5%,21.6%,8.1%,847
26,8:05 PM,Erick Fedde,@,-0.63,-0.76,0.20,0.98,4.5%,10.9%,39.8%,26.4%,6.7%,1111
27,7:10 PM,Shane Baz,@,-0.71,-0.55,-0.41,0.64,6.0%,8.8%,41.4%,26.4%,7.5%,1320
28,7:40 PM,Trevor McDonald,@,-1.02,-0.44,-1.14,0.75,2.8%,13.7%,35.6%,19.6%,7.3%,455
29,7:07 PM,Dylan Cease,vs,-1.46,-0.92,-1.15,0.35,3.8%,6.9%,28.6%,23.4%,7.0%,1257
30,8:40 PM,Andrew Alvarez,@,-1.62,-0.91,-1.16,0.21,4.1%,4.7%,37.0%,14.0%,6.5%,401
