Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Brett Baty","NYM","Brandon Young","BAL","2","1.000","1.00","0.50","1.50","1","1","0","0","1","0","3","0.0","1.000","0"
"Luis Campusano","SD","Tomoyuki Sugano","COL","4","0.750","0.67","1.25","2.00","0","2","0","1","3","1","8","0.0","0.750","0"
"Michael Conforto","CHC","Reynaldo Lopez","ATL","3","0.667","1.00","0.33","1.00","1","1","0","0","1","0","3","33.3","0.833","3"
"Bryce Eldridge","SF","Quinn Mathews","STL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.667","1"
"Christian Koss","SF","Quinn Mathews","STL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.500","0"
"Connor Norby","COL","Casey Mize","SD","2","0.500","0.50","0.50","1.00","0","1","0","0","1","1","2","50.0","0.333","0"
"Patrick Bailey","CLE","Sean Newcomb","CWS","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.667","1"
"Mickey Moniak","COL","Casey Mize","SD","4","0.500","0.50","0.25","0.75","1","1","0","0","1","0","3","0.0","0.500","0"
"Julio Rodriguez","SEA","Reid Detmers","LAA","13","0.462","0.56","0.38","0.85","3","2","0","1","3","4","11","23.1","0.563","3"
"Miguel Vargas","CWS","Gavin Williams","CLE","11","0.455","0.50","0.27","0.73","4","0","0","1","1","4","8","27.3","0.500","2"
"Teoscar Hernandez","LAD","Nick Lodolo","CIN","7","0.429","0.60","0.29","0.71","2","0","1","0","1","1","5","28.6","0.556","1"
"Kyle Farmer","ATL","David Peterson","CHC","7","0.429","0.60","0.14","0.57","2","1","0","0","1","2","4","28.6","0.429","0"
"Braden Montgomery","CWS","Gavin Williams","CLE","5","0.400","0.50","0.20","0.60","1","1","0","0","1","1","3","20.0","0.500","1"
"Masyn Winn","STL","Landen Roupp","SF","5","0.400","0.50","0.20","0.60","1","1","0","0","1","1","3","20.0","0.400","0"
"Jordan Walker","STL","Landen Roupp","SF","5","0.400","0.40","0.20","0.60","1","1","0","0","1","0","3","0.0","0.400","0"
"James McCann","ARI","Sandy Alcantara","MIA","5","0.400","0.67","0.20","0.60","1","1","0","0","1","1","3","40.0","0.500","0"
"JP Crawford","SEA","Reid Detmers","LAA","20","0.400","0.44","0.20","0.60","6","1","0","1","2","7","12","15.0","0.478","2"
"Miguel Rojas","LAD","Nick Lodolo","CIN","8","0.375","0.50","0.13","0.50","2","1","0","0","1","0","4","25.0","0.444","1"
"Aaron Judge","NYY","Dean Kremer","MIN","17","0.353","0.22","0.71","1.06","2","0","0","4","4","5","18","23.5","0.476","3"
"Austin Riley","ATL","David Peterson","CHC","26","0.346","0.50","0.12","0.46","6","3","0","0","3","2","12","30.8","0.414","3"
"Munetaka Murakami","CWS","Gavin Williams","CLE","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","33.3","0.333","0"
