Split,vsLHB
Range,Season
Dates,="8/2/2026"
Games,19

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
1:37 PM,Max Scherzer,vs,16.0,82,9.22,0.333,0.449,2.12,0.304,0.638,6,3.38,44,14.9%,9.8%,7.2%,7.5%,4.50,11,13.4%,61.0%,6.6%,62,32.3%,8,12.9%,29.0%,27.8%,35.5%
3:10 PM,Kyle Freeland,vs,25.1,115,2.94,0.308,0.343,1.42,0.140,0.449,2,0.71,48,26.0%,20.9%,20.2%,13.7%,8.53,3,2.6%,63.2%,11.4%,85,30.6%,7,8.2%,25.9%,9.1%,17.6%
1:37 PM,Matthew Liberatore,@,23.0,111,5.40,0.303,0.383,1.70,0.222,0.525,6,2.35,52,25.8%,26.1%,24.6%,11.9%,11.35,9,8.1%,61.3%,7.0%,71,47.9%,7,9.9%,25.4%,27.8%,14.1%
2:20 PM,Colin Rea,vs,62.0,288,3.95,0.297,0.345,1.66,0.117,0.414,5,0.73,106,21.2%,17.7%,15.1%,9.9%,7.40,27,9.4%,66.3%,6.8%,207,41.1%,16,7.7%,20.3%,9.5%,13.5%
1:40 PM,Mitch Keller,@,71.0,315,4.79,0.283,0.353,1.44,0.196,0.479,11,1.39,137,18.3%,16.5%,16.5%,8.8%,6.59,21,6.7%,57.9%,7.9%,236,41.9%,20,8.5%,25.8%,13.1%,16.1%
3:10 PM,Seth Lugo,@,77.2,336,3.78,0.282,0.342,1.44,0.164,0.446,7,0.81,136,18.5%,19.0%,16.9%,8.4%,7.42,26,7.7%,63.9%,9.2%,242,44.6%,21,8.7%,30.6%,9.5%,14.9%
4:05 PM,Gage Jump,vs,16.2,71,3.88,0.279,0.329,1.38,0.115,0.393,2,1.08,24,25.2%,23.9%,20.5%,12.5%,9.18,6,8.5%,66.2%,8.4%,47,34.0%,2,4.3%,27.7%,15.4%,19.1%
2:10 PM,Kumar Rocker,@,55.0,243,4.70,0.273,0.348,1.53,0.185,0.458,9,1.47,99,25.3%,21.4%,18.9%,12.0%,8.51,25,10.3%,56.3%,7.6%,166,48.2%,15,9.0%,26.5%,15.9%,19.9%
1:35 PM,Cade Cavalli,@,68.0,301,3.39,0.270,0.326,1.35,0.130,0.400,7,0.93,108,25.4%,26.2%,22.8%,11.9%,10.46,19,6.3%,58.6%,10.0%,193,39.4%,11,5.7%,25.4%,14.3%,13.5%
4:10 PM,George Kirby,vs,63.0,261,4.16,0.270,0.328,1.32,0.170,0.440,8,1.14,106,20.7%,18.0%,17.9%,10.3%,6.71,18,6.9%,62.8%,7.3%,194,43.8%,12,6.2%,29.9%,13.8%,11.9%
1:40 PM,Merrill Kelly,@,62.0,274,6.28,0.266,0.360,1.48,0.250,0.516,14,2.03,126,18.6%,13.1%,13.5%,8.8%,5.23,27,9.9%,57.8%,4.5%,209,46.9%,30,14.4%,30.6%,20.3%,20.1%
1:40 PM,Griffin Jax,vs,52.0,216,3.77,0.250,0.308,1.27,0.158,0.408,8,1.38,80,31.9%,27.8%,26.8%,15.5%,10.38,17,7.9%,65.6%,6.8%,139,38.1%,14,10.1%,23.0%,25.0%,15.8%
7:20 PM,Emmet Sheehan,vs,51.0,220,4.57,0.250,0.339,1.29,0.240,0.490,10,1.76,98,26.5%,25.5%,19.3%,12.9%,9.88,16,7.3%,61.6%,7.7%,145,40.0%,14,9.7%,29.7%,23.3%,27.6%
