Matchup,TB @ BAL
Pitcher,Brandon Young
Pitcher Team,BAL
Opposing Team,TB

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.2,2.05,="18-55",.327,.473,0.146,2,2,0,3,12.5,8,.413,.886
Batting Second,14.0,1.36,="14-56",.250,.500,0.250,3,5,0,6,19.7,5,.311,.811
Batting Third,13.1,1.28,="12-52",.231,.327,0.096,1,2,0,5,10.2,5,.293,.620
Batting Fourth,15.2,0.89,="8-53",.151,.245,0.094,1,2,0,5,25.4,6,.237,.482
Batting Fifth,13.1,1.28,="14-52",.269,.365,0.096,1,2,0,10,22.8,3,.304,.669
Batting Sixth,12.2,1.58,="15-51",.294,.529,0.235,3,3,0,7,15.8,5,.351,.880
Batting Seventh,10.2,2.16,="18-49",.367,.490,0.123,1,3,0,9,21.8,5,.436,.926
Batting Eighth,12.0,1.08,="10-44",.227,.295,0.068,0,1,1,3,22.9,3,.271,.566
Batting Ninth,13.0,0.77,="8-44",.182,.409,0.227,3,1,0,5,21.3,2,.234,.643

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
