HR Split,Overall
Dates,="6/29/2026"
Games,13

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,7:05 PM,Ryan Weathers,vs,1.32,1.47,0.88,2.04,12.5%,24.7%,44.1%,28.7%,7.3%,642
2,9:40 PM,Ryan Johnson,@,1.09,0.31,1.55,2.28,8.5%,23.3%,38.5%,32.9%,8.5%,233
3,6:40 PM,Aaron Nola,vs,1.04,1.31,-0.20,2.19,10.1%,22.6%,40.5%,33.6%,4.8%,875
4,8:10 PM,Zebby Matthews,@,1.03,1.01,0.54,1.91,11.9%,19.3%,38.1%,33.5%,8.5%,689
5,9:40 PM,Eric Lauer,@,0.81,1.14,0.63,1.82,11.6%,16.7%,36.5%,37.6%,6.3%,843
6,7:40 PM,Robert Gasser,vs,0.47,0.18,0.40,2.09,7.3%,20.9%,28.5%,33.7%,7.6%,286
7,7:10 PM,Miles Mikolas,@,0.42,-0.01,0.92,1.73,8.6%,20.7%,38.1%,27.5%,6.3%,1103
8,6:35 PM,Sean Burke,@,0.36,0.54,-0.57,1.64,8.4%,15.7%,38.0%,33.9%,6.7%,1073
9,9:40 PM,Tyler Mahle,@,0.10,0.08,0.09,1.53,7.7%,12.3%,38.5%,31.3%,6.6%,724
10,8:10 PM,Peter Lambert,vs,0.01,-0.84,0.86,1.27,6.9%,13.3%,36.7%,36.8%,8.0%,402
11,7:07 PM,Sean Manaea,@,-0.11,-0.36,0.23,1.17,7.0%,18.6%,39.7%,23.9%,7.8%,615
12,7:40 PM,Nick Lodolo,@,-0.19,-1.04,0.28,1.28,6.0%,14.5%,39.3%,29.2%,6.5%,979
13,9:40 PM,George Kirby,vs,-0.20,-0.20,0.02,0.98,8.0%,12.9%,42.3%,25.1%,7.9%,1129
14,9:40 PM,Eduardo Rodriguez,vs,-0.30,-0.69,0.12,1.13,8.2%,14.5%,36.1%,26.9%,5.5%,1197
15,7:07 PM,Trey Yesavage,vs,-0.35,-0.36,-0.08,1.13,5.5%,21.1%,39.1%,23.2%,5.7%,541
16,7:10 PM,Parker Messick,vs,-0.52,-0.40,-0.35,0.89,7.2%,16.4%,36.5%,22.2%,6.9%,659
17,6:35 PM,Shane Baz,vs,-0.54,-0.15,-0.64,0.82,7.0%,10.8%,40.5%,27.0%,6.5%,1246
18,7:05 PM,Casey Mize,@,-0.76,-0.37,-0.71,0.75,7.4%,6.5%,34.3%,31.2%,6.4%,986
19,8:40 PM,Sandy Alcantara,@,-0.82,-0.47,-0.72,0.93,5.4%,11.6%,34.7%,22.2%,7.1%,1339
20,6:40 PM,Braxton Ashcraft,@,-0.92,-0.08,-1.60,0.64,4.5%,9.9%,40.0%,25.1%,6.9%,801
21,9:40 PM,Gage Jump,vs,-1.92,-1.06,-1.64,0.00,2.5%,0.0%,31.7%,27.6%,8.1%,247
