Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Zach Neto","LAA","Ryne Nelson","ARI","3","0.667","1.00","1.00","1.67","1","0","0","1","1","1","5","33.3","0.667","0"
"Hunter Feduccia","TB","Eric Lauer","LAD","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Ryan Vilade","TB","Eric Lauer","LAD","2","0.500","0.00","1.50","2.00","0","0","0","1","1","3","4","0.0","0.500","0"
"Brandon Lowe","PIT","J.T. Ginn","ATH","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.500","0"
"Luis Torrens","NYM","Chase Burns","CIN","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Carson Kelly","CHC","Michael Lorenzen","COL","4","0.500","0.67","0.25","0.75","1","1","0","0","1","1","3","25.0","0.500","0"
"Max Muncy","LAD","Nick Martinez","TB","4","0.500","0.50","0.75","1.25","1","0","0","1","1","2","5","25.0","0.750","4"
"Andy Pages","LAD","Nick Martinez","TB","7","0.429","0.60","0.14","0.57","2","1","0","0","1","0","4","28.6","0.429","0"
"Otto Lopez","MIA","Zack Wheeler","PHI","12","0.417","0.50","0.17","0.58","3","2","0","0","2","1","7","16.7","0.462","1"
"Taylor Walls","TB","Eric Lauer","LAD","5","0.400","0.40","0.40","0.80","0","2","0","0","2","2","4","0.0","0.500","1"
"Pete Crow-Armstrong","CHC","Michael Lorenzen","COL","3","0.333","0.33","0.67","1.00","0","0","1","0","1","0","3","0.0","0.333","0"
"Juan Soto","NYM","Chase Burns","CIN","3","0.333","0.00","1.00","1.33","0","0","0","1","1","2","4","33.3","0.333","0"
"Kyle Tucker","LAD","Nick Martinez","TB","3","0.333","0.33","0.33","0.67","0","1","0","0","1","0","2","0.0","0.500","0"
"Cedric Mullins","TB","Eric Lauer","LAD","3","0.333","0.00","1.00","1.33","0","0","0","1","1","4","4","0.0","0.333","0"
"Ty France","SD","Dustin May","STL","6","0.333","0.25","0.50","0.83","1","0","0","1","1","1","5","16.7","0.429","0"
"Fernando Tatis Jr.","SD","Dustin May","STL","26","0.269","0.32","0.15","0.42","5","1","0","1","2","4","11","23.1","0.345","3"
"Junior Caminero","TB","Eric Lauer","LAD","4","0.250","0.25","0.25","0.50","0","1","0","0","1","0","2","0.0","0.500","2"
"Nico Hoerner","CHC","Michael Lorenzen","COL","4","0.250","0.25","0.25","0.50","0","1","0","0","1","1","2","0.0","0.250","0"
"Mike Trout","LAA","Ryne Nelson","ARI","4","0.250","0.50","0.25","0.50","0","1","0","0","1","0","2","50.0","0.500","2"
"Tyler Stephenson","CIN","Tobias Myers","NYM","8","0.250","0.50","0.13","0.38","1","1","0","0","1","0","3","50.0","0.250","0"
"Christopher Morel","MIA","Zack Wheeler","PHI","12","0.250","0.25","0.33","0.58","1","1","0","1","2","1","7","25.0","0.308","0"
"Ian Happ","CHC","Michael Lorenzen","COL","12","0.250","0.17","0.58","0.83","0","1","0","2","3","5","10","33.3","0.400","3"
"Manny Machado","SD","Dustin May","STL","36","0.250","0.27","0.22","0.47","5","2","0","2","4","5","17","22.2","0.289","2"
"Xavier Edwards","MIA","Zack Wheeler","PHI","9","0.222","0.22","0.11","0.33","1","1","0","0","1","1","3","0.0","0.222","0"
"Michael Conforto","CHC","Michael Lorenzen","COL","14","0.214","0.27","0.07","0.29","2","1","0","0","1","0","4","21.4","0.267","1"
"Freddie Freeman","LAD","Nick Martinez","TB","14","0.214","0.17","0.29","0.50","1","1","0","1","2","2","7","7.1","0.353","3"
"Mookie Betts","LAD","Nick Martinez","TB","29","0.207","0.19","0.10","0.31","5","0","0","1","1","2","9","6.9","0.258","2"
"Yandy Diaz","TB","Eric Lauer","LAD","10","0.200","0.13","0.40","0.60","0","1","0","1","2","3","6","10.0","0.200","0"
"Xander Bogaerts","SD","Dustin May","STL","11","0.182","0.20","0.09","0.27","1","1","0","0","1","0","3","9.1","0.250","1"
