Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Nathaniel Lowe,LHB,CIN,Tobias Myers,R,13.4,23.5,48.1,46.5,35.6
Junior Caminero,RHB,TB,Eric Lauer,L,20.6,40.7,39.2,35.4,36.9
Andy Pages,RHB,LAD,Nick Martinez,R,36.6,18.7,38.3,53.7,35.1
Yandy Diaz,RHB,TB,Eric Lauer,L,5.4,19,37.1,13.1,21.6
Christian Walker,RHB,HOU,Troy Melton,R,57,38.6,36.3,54.6,43.8
Isaac Paredes,RHB,HOU,Troy Melton,R,54.5,34.7,34.7,43.4,38.9
Jordan Walker,RHB,STL,Wandy Peralta,L,38.2,33.8,33.8,18.7,30.5
Zach Neto,RHB,LAA,Ryne Nelson,R,51.6,26.1,33,25.7,30.6
Kyle Schwarber,LHB,PHI,Ryan Gusto,R,41.6,43.5,30.6,34.8,37.3
Bryce Harper,LHB,PHI,Ryan Gusto,R,40.5,30.6,30.6,43.5,34.8
Nolan Schanuel,LHB,LAA,Ryne Nelson,R,57,8,29.1,46.1,28.8
Tyler Stephenson,RHB,CIN,Tobias Myers,R,33.8,25.4,28.6,42.3,31.4
Matt McLain,RHB,CIN,Tobias Myers,R,33.8,38.9,28.3,38.8,35.2
Nick Kurtz,LHB,ATH,Jared Jones,R,40.1,48.7,25.5,61.8,44.2
Jeff McNeil,LHB,ATH,Jared Jones,R,24.7,27.3,24.9,44.5,30.6
Yordan Alvarez,LHB,HOU,Troy Melton,R,24.8,45.7,22.1,26.4,31.7
Jeremy Pena,RHB,HOU,Troy Melton,R,61.4,20.1,20,59.3,34
J.T. Realmuto,RHB,PHI,Ryan Gusto,R,66.9,27.2,20,26.9,28.9
Mookie Betts,RHB,LAD,Nick Martinez,R,64.7,19.1,18.9,44.1,29.8
Ryan O'Hearn,LHB,PIT,J.T. Ginn,R,34.6,30.3,18.6,44.4,30.7
Michael Conforto,LHB,CHC,Michael Lorenzen,R,35.3,30,17.5,49,31.5
Carson Benge,LHB,NYM,Chase Burns,R,31.1,47.4,16.4,40.9,34.8
Francisco Alvarez,RHB,NYM,Chase Burns,R,48.9,38.5,16.1,27.5,30.1
Cam Smith,RHB,HOU,Troy Melton,R,62.2,46.4,15.8,42.8,37.9
Jackson Merrill,LHB,SD,Dustin May,R,27.5,43.2,15.2,37.9,31.9
Jonathan Aranda,LHB,TB,Eric Lauer,L,28.8,40.2,14.3,35.3,30.1
Ian Happ,SHB,CHC,Michael Lorenzen,R,31.5,38.5,14,66.7,37.5
Brice Matthews,RHB,HOU,Troy Melton,R,57.1,28,10.7,49.3,31
JJ Wetherholt,LHB,STL,Wandy Peralta,L,23.8,29.1,10.1,57.3,29.9
Seiya Suzuki,RHB,CHC,Michael Lorenzen,R,40.9,39.3,9.6,31.8,28.7
Salvador Perez,RHB,KC,Andrew Alvarez,L,28.4,49.6,9,49.6,35.3
A.J. Ewing,LHB,NYM,Chase Burns,R,26.1,18.4,8.8,68.1,28.7
Gabriel Moreno,RHB,ARI,Walbert Urena,R,42.2,38.4,7.9,47.7,32
Leo Jimenez,RHB,MIA,Zack Wheeler,R,40.5,45.2,,45.2,31.2
Alex Bregman,RHB,CHC,Michael Lorenzen,R,28.8,18.4,29,19.3,22.8
Rodolfo Durán,RHB,SD,Dustin May,R,29.2,18.8,28.9,28.9,25.4
Tyler Freeman,RHB,COL,Shota Imanaga,L,16.8,,28.8,60.2,25.4
Curtis Mead,RHB,WSH,Mitch Spence,R,54.1,15.3,28.7,27.4,26.2
Mike Trout,RHB,LAA,Ryne Nelson,R,37.3,19.8,27.7,30,26.5
Max Muncy,LHB,LAD,Nick Martinez,R,33,20.9,27.5,20.8,24.1
Dansby Swanson,RHB,CHC,Michael Lorenzen,R,55.3,10.4,27,27.3,24.1
Kody Clemens,LHB,MIN,MacKenzie Gore,L,25,21.4,26.2,26.2,24.4
Blake Dunn,RHB,CIN,Tobias Myers,R,42.3,24.6,24.6,33.8,28.7
Juan Soto,LHB,NYM,Chase Burns,R,29.4,34.3,14.6,34.9,28
Colt Keith,LHB,DET,Kai-Wei Teng,R,50.3,19,,64.2,27.7
Byron Buxton,RHB,MIN,MacKenzie Gore,L,26,9,33.8,18.1,20.4
Ty France,RHB,SD,Dustin May,R,20.5,25.7,26.6,29.4,26.4
JJ Bleday,LHB,CIN,Tobias Myers,R,46.6,24.4,24.4,24.4,26.6
Corey Seager,LHB,TEX,Mike Paredes,R,26.5,16.7,22.2,32,23.2
Dalton Rushing,LHB,LAD,Nick Martinez,R,36.5,24.5,21.5,18.8,23.4
Kyle Tucker,LHB,LAD,Nick Martinez,R,41.9,14.9,19.9,28.9,22.6
Matt Vierling,RHB,DET,Kai-Wei Teng,R,19.8,21.2,19.6,20.8,20.5
Kyle Stowers,LHB,MIA,Zack Wheeler,R,14.6,13.3,19.3,40.5,22
Hunter Goodman,RHB,COL,Shota Imanaga,L,31,27.2,19.3,9.7,20.8
Eugenio Suarez,RHB,CIN,Tobias Myers,R,38.1,8.4,19.2,32.7,20.7
Liam Hicks,LHB,MIA,Zack Wheeler,R,47.1,15,18.3,23,21.2
Jacob Wilson,RHB,ATH,Jared Jones,R,24.8,15.7,17.1,37.1,22.4
Xander Bogaerts,RHB,SD,Dustin May,R,55.5,8.1,17,34.6,22.1
Owen Caissie,LHB,MIA,Zack Wheeler,R,15.4,21.3,17,21.3,19.4
Jared Young,LHB,NYM,Chase Burns,R,35.4,12.7,16.8,31.9,21
Shea Langeliers,RHB,ATH,Jared Jones,R,54.7,12.3,15.8,20,19.5
Lawrence Butler,LHB,ATH,Jared Jones,R,20,18,15.5,36.6,22.1
Tyler Soderstrom,LHB,ATH,Jared Jones,R,28.3,24.3,15.1,23.6,21.8
Will Benson,LHB,CIN,Tobias Myers,R,67.2,8.5,14.9,34.4,22.8
Zack Gelof,RHB,ATH,Jared Jones,R,39.5,10,14.6,38.8,21.5
Moisés Ballesteros,LHB,CHC,Michael Lorenzen,R,25.5,23.8,14.5,26.8,21.9
Riley Greene,LHB,DET,Kai-Wei Teng,R,25.6,29.7,13.7,20.5,22.2
Josh Jung,RHB,TEX,Mike Paredes,R,43.1,6.3,12.2,38.2,19.7
Wyatt Langford,RHB,TEX,Mike Paredes,R,47.7,11.5,11.5,33.5,20.6
Miguel Amaya,RHB,CHC,Michael Lorenzen,R,26.8,21,11.3,34.9,22.1
Justin Foscue,RHB,TEX,Mike Paredes,R,47.5,8.2,,57.1,21.9
Sal Stewart,RHB,CIN,Tobias Myers,R,21.6,21.8,14.3,24.6,20.2
Brandon Nimmo,LHB,TEX,Mike Paredes,R,24,11.7,11.9,39,19.8
Brandon Marsh,LHB,PHI,Ryan Gusto,R,31.1,15.1,11.9,30.3,19.5
Michael Massey,LHB,KC,Andrew Alvarez,L,37.7,9.3,9.3,43,20.6
Michael Busch,LHB,CHC,Michael Lorenzen,R,31.7,17.3,8.8,34.6,20.5
Jose Altuve,RHB,HOU,Troy Melton,R,54,14.6,8,34.1,21.4
Gleyber Torres,RHB,DET,Kai-Wei Teng,R,27.7,17.1,7.4,37.5,20.4
Bobby Witt Jr.,RHB,KC,Andrew Alvarez,L,20,12.5,6.8,45.7,19.8
James Wood,LHB,WSH,Mitch Spence,R,17.4,29.4,6.5,30.4,21.6
Pedro Ramirez,SHB,CHC,Michael Lorenzen,R,23.3,8.8,,55.8,19.4
Bo Bichette,RHB,NYM,Chase Burns,R,30.4,,21.4,37.2,18.8
Willi Castro,SHB,COL,Shota Imanaga,L,16.2,8.2,21.3,47.9,22.9
Jo Adell,RHB,LAA,Ryne Nelson,R,41.2,14.4,20.9,35,24.2
Wade Meckler,LHB,LAA,Ryne Nelson,R,38.6,20.9,20.9,27.1,24.2
Oswald Peraza,RHB,LAA,Ryne Nelson,R,38.1,18.3,20.3,34.7,25
Max Muncy,RHB,ATH,Jared Jones,R,45.1,14.6,20,36.7,24.8
Ryan Vilade,RHB,TB,Eric Lauer,L,8.7,19,19,21.3,18.5
Ivan Herrera,RHB,STL,Wandy Peralta,L,28.9,18,18.6,41.7,25.2
Manny Machado,RHB,SD,Dustin May,R,33.3,24.4,18.5,39.3,27.2
Gavin Sheets,LHB,SD,Dustin May,R,14.8,10,18.4,23.7,16.4
Marcell Ozuna,RHB,PIT,J.T. Ginn,R,28.1,25.2,18,27.4,23.9
Brandon Lowe,LHB,PIT,J.T. Ginn,R,24.6,14.9,17.1,25.5,19.2
Mark Vientos,RHB,NYM,Chase Burns,R,35.8,12.2,16.3,23.1,18.5
Luis Garcia Jr.,LHB,WSH,Mitch Spence,R,40.1,7.5,16,23.9,17.4
Dillon Dingler,RHB,DET,Kai-Wei Teng,R,31.5,10,15.2,29.2,18.5
Bryson Stott,LHB,PHI,Ryan Gusto,R,28.5,11.3,15.2,27.2,18.2
Corbin Carroll,LHB,ARI,Walbert Urena,R,15.8,8.2,15.1,39.2,18.8
Spencer Steer,RHB,CIN,Tobias Myers,R,33.8,24.3,15,33.8,24.8
Jake Meyers,RHB,HOU,Troy Melton,R,64.3,17.1,14.7,42,27.3
Jake Burger,RHB,TEX,Mike Paredes,R,43.4,13.5,13.6,19.7,18.1
Alec Bohm,RHB,PHI,Ryan Gusto,R,43.6,6.8,13.2,29.8,18.2
Kerry Carpenter,LHB,DET,Kai-Wei Teng,R,31.2,30,12.6,28.4,24.5
Pete Crow-Armstrong,LHB,CHC,Michael Lorenzen,R,30.9,16.5,12.4,17.8,17
Kevin McGonigle,LHB,DET,Kai-Wei Teng,R,25.6,23.8,11.3,40.5,24.4
Rafael Marchan,SHB,PHI,Ryan Gusto,R,43.5,11.3,11.3,21,16.9
Logan O'Hoppe,RHB,LAA,Ryne Nelson,R,49.3,31.1,11.2,27.8,26.1
CJ Abrams,LHB,WSH,Mitch Spence,R,32.4,16.7,10.9,23.9,18.3
Samad Taylor,RHB,SD,Dustin May,R,20.5,10.1,10.1,30.9,16.3
Trea Turner,RHB,PHI,Ryan Gusto,R,32.1,10.8,9.9,32.1,18
Kyle Karros,RHB,COL,Shota Imanaga,L,44.9,17.8,9.7,16.6,17.8
Jac Caglianone,LHB,KC,Andrew Alvarez,L,39.3,9.3,9.3,28,17
Royce Lewis,RHB,MIN,MacKenzie Gore,L,26,18.1,9.1,26,18.2
Lane Thomas,RHB,KC,Andrew Alvarez,L,32.7,9,9,56.4,23.2
Ryan Kreidler,RHB,MIN,MacKenzie Gore,L,44.4,9,9,35.7,19.2
Luke Keaschall,RHB,MIN,MacKenzie Gore,L,42.3,12.3,9,26,17.7
MJ Melendez,LHB,NYM,Chase Burns,R,20.5,20.7,8.8,46.1,23.5
Lourdes Gurriel Jr.,RHB,ARI,Walbert Urena,R,37.2,26.9,8.2,43.1,26.4
Christian Vazquez,RHB,HOU,Troy Melton,R,55.7,,8,44,19
Luis Torrens,RHB,NYM,Chase Burns,R,34.7,7.9,7.4,41.5,18.8
Maikel Garcia,RHB,KC,Andrew Alvarez,L,32.1,16.2,7.3,58.3,25.6
Fernando Tatis Jr.,RHB,SD,Dustin May,R,39.3,28.3,6.1,39.3,25.5
Shohei Ohtani,LHB,LAD,Nick Martinez,R,33.4,17,,34.2,17.8
Alex Freeland,SHB,LAD,Nick Martinez,R,35.3,15.6,,33.3,17.3
Ben Williamson,RHB,TB,Eric Lauer,L,36.9,7.1,,43.4,17
Derek Hill,RHB,PHI,Ryan Gusto,R,9.4,13.2,,44.9,16.8
Nick Fortes,RHB,TB,Eric Lauer,L,37.9,6.3,,43.1,16.8
Ezequiel Duran,RHB,TEX,Mike Paredes,R,47.4,20.5,,19.7,16.8
Dylan Crews,RHB,WSH,Mitch Spence,R,28.8,21.9,,23.1,16.3
Zach McKinstry,LHB,DET,Kai-Wei Teng,R,31.4,16,8.8,19.2,16.2
Endy Rodriguez,SHB,PIT,J.T. Ginn,R,54.9,15.2,,20.2,15.9
Otto Lopez,RHB,MIA,Zack Wheeler,R,32.3,13.4,,31.7,15.8
Marcus Semien,RHB,NYM,Chase Burns,R,32.5,7.9,14.6,20.7,15.6
Jorbit Vivas,LHB,WSH,Mitch Spence,R,32.3,6.6,,40.4,15.6
