Matchup,MIN @ HOU
Pitcher,Taj Bradley
Pitcher Team,MIN
Opposing Team,HOU

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,56.1,240,0.224,0.322,0.444,0.220,1.30,12,1.92,10.4%,26.2%,23.8%,19.9%,12.0%,9.11,58.3%,8.2%,13.3%,46.2%,35.4%,21.4%,18.4%
vsLHB,35.2,152,0.206,0.328,0.450,0.244,1.32,9,2.27,13.2%,26.0%,24.3%,20.4%,11.6%,9.34,62.5%,8.2%,18.9%,46.3%,40.0%,23.7%,20.0%
vsRHB,20.2,88,0.253,0.312,0.434,0.181,1.26,3,1.31,5.7%,26.5%,22.7%,18.9%,12.7%,8.71,51.1%,8.2%,4.8%,46.0%,28.6%,16.7%,15.9%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Taylor Trammell LHB,,+551,16,13,3.00,2,3,0.250,0.308,0.750,0.500,0.441,7.7%,18.5%,15.4%,9.8%,96.9,320.8,6,4,40.0%,30.0%,40.0%,60.0%,40.0%,77.7,81.5%,22.2%,18.5%,100.0%,80.0%,60.0%,33.3%,20.0%,10.0%,40.0%,30.0%,30.0%,35.7%
Yordan Alvarez LHB,,+220,30,23,4.00,1,2,0.150,0.261,0.300,0.150,0.253,13.0%,21.4%,34.8%,9.0%,95.1,292.9,5,3,25.0%,16.7%,16.7%,50.0%,41.7%,76.2,63.4%,22.0%,9.8%,97.6%,83.4%,66.7%,12.5%,16.7%,8.3%,25.0%,25.0%,50.0%,37.5%
Isaac Paredes RHB,,+523,24,15,4.20,1,1,0.462,0.533,0.769,0.308,0.549,13.3%,23.5%,6.7%,11.8%,85.4,209.9,2,2,8.3%,8.3%,16.7%,25.0%,33.3%,67.6,3.2%,25.8%,3.2%,93.9%,58.4%,41.7%,20.0%,16.7%,16.7%,16.7%,66.7%,16.7%,35.7%
Christian Walker RHB,,+360,25,14,4.40,1,1,0.231,0.286,0.462,0.231,0.324,7.1%,15.6%,28.6%,9.2%,88.6,262.0,2,1,-,-,33.3%,44.4%,22.2%,74.1,45.0%,12.5%,7.5%,88.9%,44.4%,33.3%,33.3%,11.1%,44.4%,55.6%,11.1%,33.3%,42.9%
Jose Altuve RHB,,+554,20,14,4.00,1,2,0.308,0.357,0.692,0.385,0.441,7.1%,26.9%,21.4%,13.0%,90.0,292.5,4,1,20.0%,10.0%,20.0%,40.0%,40.0%,67.7,4.2%,33.3%,12.5%,92.3%,70.0%,40.0%,25.0%,30.0%,30.0%,50.0%,10.0%,40.0%,40.0%
Yainer Diaz RHB,,+810,22,13,4.20,1,1,0.182,0.308,0.455,0.273,0.335,7.7%,26.7%,30.8%,11.1%,93.7,287.9,1,1,14.3%,14.3%,28.6%,42.9%,42.9%,72.5,23.1%,38.5%,23.1%,86.7%,57.2%,28.6%,50.0%,28.6%,42.9%,57.1%,42.9%,-,30.0%
Joey Loperfido LHB,,+800,14,17,2.60,0,2,0.214,0.353,0.500,0.286,0.359,17.6%,20.6%,11.8%,10.9%,90.4,313.4,5,2,16.7%,-,-,41.7%,50.0%,70.6,11.1%,25.9%,14.8%,84.4%,66.7%,41.7%,0.0%,25.0%,33.3%,25.0%,58.3%,16.7%,56.2%
Christian Vazquez RHB,—,N/A,11,15,2.80,0,0,0.214,0.267,0.214,-,0.221,6.7%,13.0%,13.3%,6.8%,86.2,262.6,1,0,-,-,-,8.3%,25.0%,64.7,-,52.4%,-,91.3%,50.0%,33.3%,0.0%,16.7%,50.0%,-,16.7%,83.3%,30.0%
Nick Allen RHB,,+1400,8,14,2.60,0,0,0.083,0.143,0.083,-,0.110,7.1%,37.9%,28.6%,17.5%,80.3,241.8,3,2,-,-,11.1%,33.3%,33.3%,68.3,-,19.2%,7.7%,89.7%,55.5%,33.3%,0.0%,22.2%,11.1%,11.1%,66.7%,22.2%,33.3%
Brice Matthews RHB,—,N/A,22,13,2.40,0,0,0.077,0.077,0.077,-,0.068,-,40.0%,53.8%,20.5%,78.4,213.5,1,1,16.7%,-,-,33.3%,33.3%,73.6,35.3%,11.8%,5.9%,85.0%,33.3%,-,-,33.3%,50.0%,16.7%,50.0%,33.3%,30.0%
