Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-06-06,Coors Field,MIL @ COL,9:10,+19%,+21%,+16%,+28%,+0.44,+0.75,+1.68,+2.47,+20%,+30%,+16%,+32%,+0.46,+1.05,+1.66,+2.83,-1%,-9%,+0%,-4%,-0.02,-0.30,+0.02,-0.36
2026-06-06,Citizens Bank Park,CHW @ PHI,4:05,+28%,-7%,+1%,+11%,+0.64,-0.23,+0.12,+0.95,+15%,-3%,-2%,+5%,+0.33,-0.10,-0.16,+0.45,+14%,-4%,+3%,+6%,+0.31,-0.13,+0.29,+0.50
2026-06-06,Comerica Park,SEA @ DET,1:10,+11%,+2%,+8%,+10%,+0.25,+0.07,+0.85,+0.84,-10%,+1%,+6%,-1%,-0.23,+0.05,+0.64,-0.11,+21%,+1%,+2%,+11%,+0.48,+0.02,+0.21,+0.96
2026-06-06,Wrigley Field,SF  @ CHC,2:20,+29%,-7%,-3%,+8%,+0.64,-0.25,-0.35,+0.71,-2%,-10%,-3%,-7%,-0.06,-0.36,-0.33,-0.58,+31%,+3%,0%,+15%,+0.70,+0.11,-0.02,+1.30
2026-06-06,Yankee Stadium,BOS @ NYY,7:35,+21%,-10%,-5%,+3%,+0.48,-0.36,-0.54,+0.30,+5%,-12%,-6%,-4%,+0.11,-0.41,-0.60,-0.37,+16%,+1%,+1%,+8%,+0.37,+0.05,+0.06,+0.67
2026-06-06,Target Field,KC  @ MIN,2:10,-5%,0%,+5%,+2%,-0.12,-0.01,+0.54,+0.22,-7%,+2%,+2%,+1%,-0.15,+0.07,+0.26,+0.08,+1%,-2%,+3%,+1%,+0.03,-0.08,+0.28,+0.13
2026-06-06,Truist Park,PIT @ ATL,4:10,+2%,+5%,-1%,+2%,+0.04,+0.16,-0.07,+0.17,-1%,-7%,+1%,-3%,-0.02,-0.24,+0.15,-0.25,+3%,+11%,-2%,+5%,+0.07,+0.40,-0.22,+0.42
2026-06-06,Chase Field,WAS @ ARI,4:10,-8%,+11%,+0%,+1%,-0.18,+0.38,+0.05,+0.06,-8%,+13%,+1%,+2%,-0.17,+0.45,+0.06,+0.14,0%,-2%,0%,-1%,-0.01,-0.07,-0.01,-0.09
2026-06-06,Busch Stadium,CIN @ STL,2:15,+4%,0%,+0%,-2%,+0.10,-0.01,+0.01,-0.15,-9%,-5%,+5%,-6%,-0.20,-0.19,+0.48,-0.49,+13%,+5%,-4%,+4%,+0.30,+0.18,-0.47,+0.35
2026-06-06,Dodger Stadium,LAA @ LAD,10:10,+12%,-4%,-8%,-4%,+0.26,-0.16,-0.80,-0.36,+19%,-4%,-5%,+1%,+0.42,-0.15,-0.52,+0.06,-7%,0%,-3%,-5%,-0.16,-0.01,-0.28,-0.42
2026-06-06,LoanDepot Park,TB  @ MIA,4:10,-12%,+2%,-2%,-5%,-0.28,+0.07,-0.22,-0.43,-13%,+1%,-1%,-5%,-0.30,+0.03,-0.11,-0.46,+1%,+1%,-1%,+0%,+0.02,+0.04,-0.11,+0.03
2026-06-06,Daikin Park,ATH @ HOU,4:10,+4%,-11%,-4%,-5%,+0.09,-0.39,-0.43,-0.44,+4%,-11%,-4%,-5%,+0.10,-0.40,-0.46,-0.46,0%,+0%,+0%,+0%,-0.01,+0.01,+0.03,+0.02
2026-06-06,Rogers Centre,BAL @ TOR,3:07,+3%,-6%,-3%,-5%,+0.06,-0.20,-0.33,-0.48,+7%,-2%,-2%,-2%,+0.16,-0.08,-0.25,-0.14,-4%,-3%,-1%,-4%,-0.09,-0.12,-0.08,-0.34
2026-06-06,Petco Park,NYM @ SD,10:10,-3%,-18%,-3%,-8%,-0.06,-0.62,-0.30,-0.69,-4%,-12%,-4%,-7%,-0.09,-0.40,-0.48,-0.64,+2%,-6%,+2%,-1%,+0.04,-0.22,+0.18,-0.05
2026-06-06,Globe Life Field,CLE @ TEX,7:35,-11%,-9%,-2%,-8%,-0.24,-0.31,-0.22,-0.74,-10%,-9%,-2%,-8%,-0.22,-0.32,-0.20,-0.71,-1%,+0%,0%,0%,-0.02,+0.01,-0.02,-0.03
