Matchup,COL @ SF
Pitcher,Ryan Feltner
Pitcher Team,COL
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,50.1,209,0.230,0.312,0.429,0.199,1.21,8,1.43,8.1%,27.2%,18.7%,18.0%,13.1%,6.97,60.7%,9.1%,7.2%,38.8%,27.0%,19.5%,23.0%
vsLHB,24.2,106,0.232,0.328,0.453,0.221,1.30,5,1.82,9.4%,29.6%,19.8%,20.2%,13.9%,7.66,61.7%,10.6%,9.5%,40.5%,29.7%,22.7%,20.3%
vsRHB,25.2,103,0.229,0.296,0.406,0.177,1.13,3,1.05,6.8%,24.9%,17.5%,15.9%,12.3%,6.31,59.6%,7.5%,5.1%,37.2%,24.4%,15.8%,25.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Rafael Devers LHB,,+408,21,23,4.40,4,5,0.421,0.522,1.105,0.684,0.649,17.4%,22.2%,13.0%,8.1%,94.2,339.1,7,6,25.0%,12.5%,18.8%,50.0%,25.0%,73.8,38.2%,35.3%,17.6%,97.1%,68.8%,50.0%,50.0%,18.8%,31.2%,31.2%,43.8%,25.0%,0.0%
Heliot Ramos RHB,,+595,31,27,4.60,3,5,0.320,0.370,0.840,0.520,0.500,7.4%,22.2%,25.9%,8.9%,92.8,342.5,6,5,27.8%,5.6%,11.1%,50.0%,50.0%,72.0,15.0%,25.0%,17.5%,90.9%,50.0%,33.3%,50.0%,16.7%,50.0%,50.0%,27.8%,22.2%,14.3%
Victor Bericoto RHB,,+780,19,19,4.00,3,4,0.368,0.368,0.842,0.474,0.519,-,25.7%,15.8%,13.6%,87.1,327.6,4,4,25.0%,-,-,43.8%,37.5%,72.9,33.3%,30.0%,13.3%,88.2%,56.3%,43.8%,42.9%,12.5%,43.8%,12.5%,50.0%,37.5%,25.0%
Jesus Rodriguez RHB,—,N/A,10,23,2.20,2,2,0.350,0.435,0.650,0.300,0.464,8.7%,22.5%,13.0%,12.5%,85.6,277.3,4,2,5.9%,5.9%,17.6%,35.3%,52.9%,68.7,5.9%,23.5%,5.9%,87.2%,58.8%,29.4%,40.0%,29.4%,41.2%,35.3%,29.4%,35.3%,47.4%
Casey Schmitt RHB,,+500,27,29,4.40,1,2,0.185,0.207,0.296,0.111,0.220,-,16.3%,17.2%,9.6%,90.0,285.5,9,6,13.0%,-,17.4%,47.8%,39.1%,72.2,17.8%,35.6%,20.0%,91.8%,60.9%,34.8%,12.5%,26.1%,26.1%,34.8%,21.7%,43.5%,33.3%
Drew Gilbert LHB,—,N/A,16,17,2.40,1,2,0.267,0.353,0.533,0.267,0.379,11.8%,12.0%,17.6%,5.0%,85.1,280.6,5,1,-,-,25.0%,25.0%,66.7%,69.5,8.7%,30.4%,-,92.0%,50.0%,16.7%,50.0%,33.3%,41.7%,41.7%,33.3%,25.0%,25.0%
Eric Haase RHB,—,N/A,32,23,3.60,0,0,0.043,0.043,0.043,-,0.039,-,45.0%,39.1%,21.2%,72.8,248.6,2,0,-,-,14.3%,28.6%,21.4%,71.6,15.2%,18.2%,3.0%,86.8%,28.6%,14.3%,0.0%,14.3%,28.6%,35.7%,42.9%,21.4%,24.0%
Willy Adames RHB,,+481,18,23,4.20,0,0,0.263,0.391,0.263,-,0.306,17.4%,34.1%,30.4%,15.4%,87.6,231.7,3,0,-,-,33.3%,50.0%,41.7%,72.4,22.9%,20.0%,11.4%,85.4%,58.4%,16.7%,0.0%,41.7%,33.3%,41.7%,50.0%,8.3%,28.0%
Jung Hoo Lee LHB,,+950,13,23,4.20,0,0,0.227,0.261,0.227,-,0.222,4.3%,15.0%,8.7%,6.7%,80.9,215.1,2,0,-,-,5.0%,15.0%,15.0%,68.5,2.9%,28.6%,5.7%,87.5%,25.0%,10.0%,0.0%,15.0%,60.0%,45.0%,25.0%,30.0%,18.2%
Bryce Eldridge LHB,,+591,42,22,4.00,0,1,0.250,0.318,0.300,0.050,0.279,9.1%,34.2%,50.0%,13.5%,95.2,274.0,3,2,11.1%,-,22.2%,55.6%,33.3%,74.6,31.4%,11.4%,11.4%,94.6%,55.5%,33.3%,0.0%,22.2%,33.3%,33.3%,22.2%,44.4%,17.6%
