Matchup,CLE @ MIN
Pitcher,Taj Bradley
Pitcher Team,MIN
Opposing Team,CLE

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,55.0,232,0.218,0.302,0.388,0.170,1.27,8,1.31,10.8%,27.3%,28.0%,20.4%,12.7%,10.64,62.5%,7.8%,12.0%,47.2%,35.2%,16.0%,17.6%
vsLHB,34.0,147,0.214,0.323,0.421,0.206,1.38,7,1.85,13.6%,27.9%,26.5%,20.4%,12.5%,10.32,64.6%,8.4%,18.2%,46.6%,38.6%,20.6%,18.2%
vsRHB,21.0,85,0.225,0.265,0.338,0.113,1.10,1,0.43,5.9%,26.4%,30.6%,20.5%,13.1%,11.14,58.8%,6.7%,1.9%,48.1%,29.6%,6.2%,16.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Brayan Rocchio SHB,,+860,7,15,3.60,1,1,0.429,0.467,0.714,0.286,0.505,6.7%,16.0%,6.7%,9.5%,84.7,247.8,1,1,-,-,30.8%,38.5%,30.8%,71.7,18.2%,22.7%,4.5%,95.7%,69.3%,30.8%,25.0%,38.5%,30.8%,53.8%,23.1%,23.1%,61.5%
Kyle Manzardo LHB,,+450,19,14,3.60,1,1,0.250,0.357,0.500,0.250,0.370,14.3%,36.7%,42.9%,19.3%,85.6,298.0,2,2,16.7%,-,-,33.3%,16.7%,68.4,-,13.8%,6.9%,96.7%,66.7%,66.7%,25.0%,-,16.7%,-,83.3%,16.7%,35.7%
David Fry RHB,—,N/A,19,11,2.00,1,1,0.100,0.182,0.400,0.300,0.250,9.1%,45.0%,27.3%,22.0%,87.8,284.6,3,1,14.3%,14.3%,42.9%,28.6%,28.6%,71.1,-,23.5%,11.8%,85.0%,57.1%,57.1%,25.0%,-,28.6%,42.9%,57.1%,-,55.6%
Austin Hedges RHB,—,N/A,14,10,3.40,1,2,0.556,0.600,0.889,0.333,0.638,-,0.0%,10.0%,-,88.8,256.6,2,2,25.0%,25.0%,50.0%,37.5%,62.5%,69.3,14.3%,28.6%,21.4%,100.0%,75.0%,37.5%,33.3%,37.5%,12.5%,62.5%,12.5%,25.0%,33.3%
Kahlil Watson LHB,,+650,11,18,4.00,0,1,0.235,0.278,0.294,0.059,0.255,5.6%,27.3%,22.2%,17.0%,82.2,253.2,2,1,7.7%,-,-,30.8%,15.4%,72.6,31.0%,20.7%,13.8%,90.6%,46.2%,30.8%,0.0%,15.4%,46.2%,23.1%,46.2%,30.8%,41.7%
Travis Bazzana LHB,,+610,30,16,4.60,0,0,0.143,0.188,0.143,-,0.152,6.2%,41.9%,43.8%,22.8%,86.6,213.2,2,0,-,-,25.0%,37.5%,25.0%,67.8,3.6%,10.7%,7.1%,93.3%,50.0%,25.0%,0.0%,25.0%,37.5%,50.0%,37.5%,12.5%,44.4%
Chase DeLauter LHB,,+518,21,14,4.60,0,1,0.154,0.214,0.231,0.077,0.201,7.1%,14.3%,21.4%,7.4%,92.1,281.7,3,1,-,-,20.0%,30.0%,10.0%,73.2,28.6%,17.9%,7.1%,100.0%,70.0%,50.0%,0.0%,20.0%,30.0%,40.0%,10.0%,50.0%,38.5%
Steven Kwan LHB,,+1500,4,14,3.20,0,0,0.286,0.286,0.429,0.143,0.306,-,8.0%,7.1%,3.3%,81.3,242.9,1,0,-,-,-,7.7%,23.1%,60.7,-,38.1%,-,91.3%,61.6%,38.5%,0.0%,23.1%,30.8%,15.4%,30.8%,53.8%,0.0%
Patrick Bailey SHB,,+1000,16,10,3.00,0,0,0.333,0.400,0.333,-,0.332,10.0%,20.7%,20.0%,10.3%,93.8,290.9,1,1,-,-,-,71.4%,42.9%,72.2,39.1%,26.1%,13.0%,79.3%,57.2%,14.3%,0.0%,42.9%,42.9%,42.9%,57.1%,-,50.0%
Daniel Schneemann LHB,—,N/A,21,10,3.00,0,0,0.300,0.300,0.300,-,0.267,-,21.7%,20.0%,12.5%,96.0,310.0,1,1,12.5%,-,-,62.5%,12.5%,70.7,-,35.0%,25.0%,87.0%,37.5%,37.5%,0.0%,-,62.5%,50.0%,25.0%,25.0%,55.6%
Cooper Ingle LHB,—,N/A,4,9,3.60,0,0,-,0.333,-,-,0.216,33.3%,16.7%,66.7%,6.4%,-,-,0,0,-,-,-,-,-,67.8,-,-,-,88.2%,-,-,-,-,-,-,-,-,30.8%
Rhys Hoskins RHB,—,N/A,14,7,2.40,0,0,0.400,0.571,0.400,-,0.440,28.6%,47.1%,28.6%,18.6%,98.7,317.1,1,1,-,-,-,100.0%,66.7%,70.1,-,25.0%,8.3%,75.0%,66.7%,-,-,66.7%,33.3%,33.3%,66.7%,-,37.5%
Gabriel Arias RHB,,+600,19,7,3.20,0,0,0.167,0.286,0.167,-,0.220,14.3%,46.7%,57.1%,23.3%,96.0,-,0,0,-,-,-,50.0%,-,71.2,6.7%,13.3%,6.7%,100.0%,-,-,-,-,100.0%,-,100.0%,-,37.5%
