Matchup,CLE @ MIN
Pitcher,Bailey Ober
Pitcher Team,MIN
Opposing Team,CLE

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,58.1,245,0.241,0.314,0.439,0.197,1.20,11,1.70,6.1%,19.5%,16.7%,16.9%,9.6%,6.33,63.2%,8.7%,10.2%,32.1%,33.7%,15.9%,20.9%
vsLHB,31.1,132,0.244,0.354,0.553,0.309,1.21,10,2.87,6.1%,16.5%,12.9%,12.7%,7.8%,4.88,54.5%,7.8%,15.1%,32.1%,41.5%,20.5%,25.5%
vsRHB,27.0,113,0.238,0.266,0.305,0.067,1.19,1,0.33,6.2%,23.2%,21.2%,22.2%,12.2%,8.00,73.5%,10.1%,3.7%,32.1%,23.5%,5.3%,14.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Brayan Rocchio SHB,,+800,18,21,3.40,1,1,0.300,0.333,0.500,0.200,0.361,4.8%,14.7%,9.5%,7.6%,87.3,258.8,1,1,-,-,27.8%,33.3%,22.2%,71.0,12.9%,25.8%,6.5%,96.9%,66.7%,38.9%,14.3%,27.8%,33.3%,55.6%,27.8%,16.7%,46.7%
Austin Hedges RHB,—,N/A,18,16,3.80,1,3,0.467,0.500,0.667,0.200,0.510,-,22.7%,18.8%,10.9%,91.6,269.2,3,3,25.0%,25.0%,58.3%,50.0%,58.3%,69.3,5.3%,47.4%,26.3%,86.4%,91.7%,50.0%,16.7%,41.7%,8.3%,66.7%,16.7%,16.7%,40.0%
Rhys Hoskins RHB,,+400,19,15,2.80,1,1,0.273,0.467,0.545,0.273,0.432,26.7%,47.4%,33.3%,15.5%,95.9,273.7,2,1,16.7%,-,-,50.0%,33.3%,70.3,12.5%,31.2%,12.5%,84.2%,50.0%,33.3%,50.0%,16.7%,16.7%,16.7%,50.0%,33.3%,9.1%
Kyle Manzardo LHB,,+352,35,15,3.60,1,1,0.200,0.200,0.400,0.200,0.259,-,19.4%,26.7%,10.5%,88.5,285.6,2,2,9.1%,-,9.1%,36.4%,18.2%,69.2,3.3%,26.7%,6.7%,96.8%,54.6%,45.5%,20.0%,9.1%,36.4%,36.4%,36.4%,27.3%,35.7%
Gabriel Arias RHB,,+299,29,13,2.20,1,1,0.250,0.308,0.500,0.250,0.348,7.7%,45.8%,38.5%,21.2%,91.5,236.9,2,1,14.3%,14.3%,14.3%,57.1%,42.9%,73.6,37.5%,20.8%,16.7%,100.0%,42.9%,28.6%,50.0%,14.3%,28.6%,28.6%,57.1%,14.3%,40.0%
Travis Bazzana LHB,,+520,19,20,4.60,0,0,0.167,0.250,0.222,0.056,0.217,10.0%,35.9%,40.0%,17.5%,91.5,239.8,2,0,-,-,20.0%,40.0%,30.0%,69.8,10.8%,21.6%,8.1%,97.4%,50.0%,20.0%,0.0%,30.0%,40.0%,50.0%,20.0%,30.0%,21.4%
Kahlil Watson LHB,,+450,18,19,3.60,0,0,0.235,0.316,0.235,-,0.256,10.5%,34.1%,42.1%,19.2%,82.3,194.9,0,0,-,-,11.1%,22.2%,22.2%,72.2,21.6%,10.8%,5.4%,94.9%,44.4%,11.1%,0.0%,33.3%,55.6%,33.3%,44.4%,22.2%,28.6%
Steven Kwan LHB,,+1220,7,18,3.00,0,0,0.389,0.389,0.611,0.222,0.427,-,4.0%,5.6%,1.7%,82.2,211.8,1,0,-,-,-,11.8%,47.1%,60.7,-,54.5%,4.5%,95.7%,64.7%,11.8%,0.0%,52.9%,29.4%,11.8%,35.3%,52.9%,5.9%
Chase DeLauter LHB,,+430,33,16,4.40,0,1,0.312,0.312,0.500,0.188,0.349,-,17.9%,18.8%,8.9%,95.0,296.6,3,2,-,-,7.7%,46.2%,30.8%,74.1,33.3%,29.6%,18.5%,96.4%,69.3%,38.5%,0.0%,30.8%,30.8%,15.4%,53.8%,30.8%,29.4%
Daniel Schneemann LHB,,+650,21,13,2.80,0,0,0.231,0.231,0.231,-,0.205,-,30.8%,23.1%,17.0%,89.4,306.6,1,1,10.0%,-,-,50.0%,20.0%,71.1,4.0%,24.0%,16.0%,100.0%,10.0%,10.0%,0.0%,-,80.0%,70.0%,30.0%,-,41.7%
Patrick Bailey SHB,,+800,18,12,3.00,0,0,0.091,0.167,0.091,-,0.128,8.3%,32.4%,33.3%,15.8%,91.4,287.2,2,0,-,-,-,42.9%,42.9%,72.6,34.6%,15.4%,3.8%,70.3%,57.2%,42.9%,0.0%,14.3%,42.9%,28.6%,28.6%,42.9%,50.0%
David Fry RHB,—,N/A,28,12,2.00,0,1,0.091,0.167,0.091,-,0.128,8.3%,30.0%,8.3%,16.2%,81.1,223.4,2,0,-,-,10.0%,10.0%,10.0%,71.1,11.1%,27.8%,5.6%,90.0%,20.0%,20.0%,0.0%,-,50.0%,50.0%,30.0%,20.0%,33.3%
Cooper Ingle LHB,—,N/A,8,11,3.60,0,0,0.125,0.364,0.125,-,0.258,27.3%,25.0%,54.5%,11.1%,99.8,-,0,0,-,-,-,100.0%,-,67.9,-,10.0%,5.0%,87.0%,-,-,-,-,100.0%,50.0%,50.0%,-,35.7%
