Matchup,CLE @ TEX
Pitcher,Kumar Rocker
Pitcher Team,TEX
Opposing Team,CLE

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,56.0,240,0.232,0.294,0.336,0.104,1.32,5,0.80,10.4%,22.8%,18.3%,18.1%,10.8%,7.07,53.7%,7.0%,7.7%,42.6%,22.5%,10.5%,10.1%
vsLHB,28.2,127,0.250,0.325,0.380,0.130,1.53,3,0.94,13.4%,21.8%,19.7%,18.4%,10.1%,7.85,54.3%,7.4%,9.4%,54.1%,28.2%,8.3%,10.6%
vsRHB,27.0,113,0.214,0.259,0.291,0.078,1.11,2,0.67,7.1%,23.9%,16.8%,17.8%,11.7%,6.33,53.1%,6.4%,6.0%,31.0%,16.7%,14.3%,9.5%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Travis Bazzana LHB,+750,25,4.40,1,2,0.364,0.400,0.727,0.364,0.461,8.0%,25.0%,8.0%,13.2%,93.6,4.8%,4.8%,23.8%,57.1%,42.9%,71.6,12.5%,46.9%,9.4%,97.0%,52.4%,9.1%,23.8%,19.0%,33.3%,47.6%,19.0%,35.3%
Patrick Bailey SHB,+1060,22,3.20,1,3,0.182,0.182,0.409,0.227,0.251,-,22.0%,31.8%,11.4%,93.2,13.3%,6.7%,13.3%,40.0%,33.3%,72.9,38.9%,30.6%,13.9%,87.8%,40.0%,16.7%,20.0%,26.7%,33.3%,33.3%,33.3%,55.0%
Jose Ramirez SHB,+567,19,4.40,1,1,0.176,0.211,0.412,0.235,0.258,5.3%,10.5%,5.3%,5.4%,91.0,-,-,29.4%,47.1%,41.2%,69.3,-,33.3%,11.1%,94.7%,35.3%,16.7%,35.3%,23.5%,47.1%,29.4%,23.5%,39.1%
Rhys Hoskins RHB,N/A,16,3.60,1,1,0.250,0.438,0.583,0.333,0.428,25.0%,20.0%,18.8%,9.1%,79.5,33.3%,22.2%,33.3%,33.3%,11.1%,74.0,46.7%,26.7%,20.0%,75.0%,44.4%,25.0%,11.1%,22.2%,44.4%,44.4%,11.1%,33.3%
Steven Kwan LHB,+1300,25,3.80,0,0,0.261,0.320,0.261,-,0.266,8.0%,0.0%,-,-,81.1,-,-,17.4%,4.3%,52.2%,62.2,-,58.6%,-,85.3%,34.8%,0.0%,30.4%,21.7%,30.4%,39.1%,30.4%,19.2%
Chase DeLauter LHB,+790,21,3.80,0,0,0.100,0.143,0.100,-,0.116,4.8%,3.3%,4.8%,1.7%,90.7,5.3%,-,10.5%,31.6%,36.8%,70.8,7.4%,40.7%,14.8%,93.1%,15.8%,0.0%,36.8%,47.4%,26.3%,52.6%,21.1%,36.8%
Angel Martinez SHB,+660,20,3.80,0,0,0.150,0.150,0.250,0.100,0.172,-,13.9%,25.0%,8.2%,83.0,-,-,6.7%,13.3%,46.7%,71.3,11.8%,23.5%,2.9%,94.4%,40.0%,0.0%,33.3%,26.7%,13.3%,60.0%,26.7%,47.4%
Daniel Schneemann LHB,+790,20,3.60,0,0,0.111,0.200,0.111,-,0.154,10.0%,20.4%,20.0%,12.8%,84.9,-,-,7.1%,28.6%,28.6%,70.9,9.3%,16.3%,2.3%,87.8%,14.3%,0.0%,14.3%,57.1%,21.4%,57.1%,21.4%,52.4%
Brayan Rocchio SHB,+1220,18,3.80,0,1,0.235,0.278,0.294,0.059,0.259,-,18.2%,16.7%,7.9%,89.3,-,-,14.3%,21.4%,28.6%,71.4,3.4%,27.6%,10.3%,90.6%,28.6%,0.0%,21.4%,42.9%,42.9%,42.9%,14.3%,25.0%
Kyle Manzardo LHB,+561,17,3.40,0,0,0.133,0.235,0.200,0.067,0.203,11.8%,37.5%,47.1%,16.2%,88.3,-,-,14.3%,42.9%,28.6%,68.9,-,11.5%,7.7%,83.9%,14.3%,0.0%,28.6%,42.9%,14.3%,85.7%,-,26.7%
Austin Hedges RHB,N/A,12,3.60,0,0,0.182,0.250,0.182,-,0.202,8.3%,18.8%,16.7%,6.4%,86.5,-,-,11.1%,11.1%,22.2%,68.8,13.3%,33.3%,-,93.8%,-,-,22.2%,55.6%,55.6%,33.3%,11.1%,30.8%
David Fry RHB,N/A,9,2.40,0,0,0.556,0.556,0.667,0.111,0.537,-,9.5%,-,4.2%,89.6,-,-,11.1%,33.3%,33.3%,71.3,15.8%,31.6%,10.5%,95.0%,-,-,33.3%,55.6%,66.7%,22.2%,11.1%,0.0%
