HR Split,Overall
Dates,="9/22/2026"
Games,16

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,8:05 PM,Sean Manaea,@,1.59,0.11,1.42,1.91,12.7%,18.5%,41.2%,29.9%,9.1%,984
2,7:15 PM,JR Ritchie,vs,1.56,0.91,1.29,1.86,12.0%,23.2%,43.6%,30.8%,6.3%,356
3,9:40 PM,Logan Gilbert,vs,1.44,0.99,1.32,1.99,9.7%,25.7%,39.2%,28.3%,7.6%,1436
4,8:40 PM,Kyle Freeland,vs,1.01,-0.34,1.17,1.76,8.9%,18.7%,42.8%,27.4%,7.5%,1406
5,7:15 PM,Brandon Williamson,@,0.97,0.87,0.95,1.75,9.3%,20.7%,42.4%,26.0%,5.7%,280
6,9:40 PM,Yusei Kikuchi,@,0.68,-0.59,0.78,1.21,9.7%,20.8%,45.5%,22.4%,9.7%,1150
7,9:45 PM,Taj Bradley,@,0.52,1.21,-0.25,1.18,9.2%,16.5%,44.4%,26.9%,9.2%,1454
8,6:35 PM,Max Scherzer,@,0.47,0.95,-0.05,1.30,8.9%,12.6%,37.5%,36.7%,7.6%,844
9,6:40 PM,Dustin May,@,0.42,0.16,0.46,1.26,9.7%,13.3%,42.2%,26.2%,7.7%,1258
10,9:45 PM,Anthony Molina,vs,0.41,1.36,-0.48,1.21,8.0%,12.4%,41.5%,34.1%,9.4%,365
11,7:40 PM,Anthony Kay,@,0.30,-1.57,0.70,1.40,8.0%,19.7%,35.6%,23.7%,6.4%,773
12,6:40 PM,Zack Wheeler,vs,0.15,0.61,-0.24,1.33,7.0%,19.6%,35.9%,25.8%,5.5%,1309
13,6:40 PM,Drew Anderson,vs,0.06,0.28,-0.03,1.15,7.6%,19.1%,37.7%,23.7%,6.5%,542
14,9:40 PM,Cristian Javier,@,0.04,-0.50,0.81,1.20,8.7%,8.7%,30.4%,38.6%,6.3%,524
15,6:45 PM,Payton Tolle,vs,-0.09,-0.26,0.01,1.08,6.1%,16.0%,37.3%,26.0%,9.1%,764
16,7:40 PM,Janson Junk,@,-0.11,-0.51,0.52,1.05,7.2%,12.0%,39.2%,28.7%,7.0%,1005
17,1:05 PM,Carlos Rodon,vs,-0.19,0.18,-0.23,0.95,7.2%,9.8%,41.2%,30.8%,6.6%,1248
18,6:35 PM,Chris Bassitt,vs,-0.26,0.15,-0.49,0.95,6.2%,12.6%,38.5%,26.9%,8.8%,1332
19,1:05 PM,Nick Martinez,@,-0.28,-0.70,0.26,1.18,5.2%,13.7%,31.9%,29.5%,7.2%,1480
20,10:10 PM,Michael King,@,-0.34,-0.02,-0.24,0.88,8.7%,11.5%,34.3%,27.2%,6.0%,1173
21,8:05 PM,MacKenzie Gore,vs,-0.49,-0.50,-0.26,0.80,7.4%,9.7%,37.5%,27.1%,6.5%,1500
22,6:45 PM,Parker Messick,@,-0.54,0.42,-0.74,0.90,5.2%,15.6%,35.5%,23.6%,7.0%,996
23,8:40 PM,Michael Soroka,@,-0.54,-0.28,-0.36,0.83,7.0%,12.1%,33.6%,26.5%,6.6%,915
24,6:40 PM,Jared Jones,vs,-0.58,0.00,-0.84,0.74,6.0%,10.4%,38.0%,29.8%,6.8%,490
25,7:40 PM,Daniel Lynch IV,vs,-0.61,-0.88,-0.29,0.79,5.8%,11.8%,38.5%,23.7%,7.4%,695
26,7:05 PM,Drew Rasmussen,@,-0.82,0.21,-1.14,0.60,5.3%,10.0%,37.7%,24.1%,9.3%,1346
27,6:40 PM,Jackson Kent,@,-1.00,0.75,-1.23,0.45,7.3%,7.4%,38.6%,21.9%,6.4%,263
28,7:05 PM,Max Fried,vs,-1.04,-0.98,-0.73,0.74,4.0%,9.8%,28.4%,29.7%,6.8%,1345
29,6:40 PM,Andre Pallante,@,-1.21,-0.51,-1.27,0.59,4.0%,12.2%,34.3%,15.1%,8.4%,1453
30,9:40 PM,Brady Basso,vs,-1.52,-1.52,-0.81,0.27,5.4%,3.2%,35.0%,21.1%,7.7%,292
