Matchup,WSH @ ARI
Pitcher,Merrill Kelly
Pitcher Team,ARI
Opposing Team,WSH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,53.1,233,0.268,0.351,0.498,0.230,1.46,10,1.69,9.4%,23.1%,14.2%,14.2%,11.0%,5.57,63.8%,5.7%,16.4%,44.1%,28.8%,13.7%,18.6%
vsLHB,29.0,134,0.271,0.378,0.568,0.297,1.62,7,2.17,11.2%,17.8%,10.4%,11.2%,8.0%,4.34,58.1%,5.5%,21.2%,51.9%,33.7%,17.1%,21.2%
vsRHB,23.1,99,0.264,0.314,0.407,0.143,1.33,3,1.16,7.1%,29.7%,19.2%,17.8%,15.5%,7.33,71.7%,6.0%,9.6%,32.9%,21.9%,6.2%,15.1%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Curtis Mead RHB,+880,21,3.60,2,3,0.263,0.333,0.579,0.316,0.389,9.5%,13.2%,23.8%,6.4%,94.7,21.4%,7.1%,14.3%,50.0%,57.1%,73.4,28.3%,23.9%,13.0%,92.0%,57.1%,25.0%,28.6%,14.3%,21.4%,57.1%,21.4%,8.0%
James Wood LHB,+336,21,4.20,2,2,0.375,0.524,0.812,0.438,0.542,23.8%,27.0%,28.6%,11.1%,95.0,20.0%,-,10.0%,60.0%,80.0%,76.8,61.3%,22.6%,9.7%,83.8%,40.0%,25.0%,50.0%,10.0%,10.0%,70.0%,20.0%,22.2%
Luis Garcia Jr. LHB,+1020,20,3.60,2,3,0.316,0.350,0.684,0.368,0.439,5.0%,15.0%,-,8.3%,87.7,15.8%,5.3%,15.8%,36.8%,42.1%,73.5,36.8%,26.3%,13.2%,95.0%,15.8%,0.0%,31.6%,42.1%,52.6%,31.6%,15.8%,35.3%
Dylan Crews RHB,+910,27,4.20,1,1,0.240,0.296,0.360,0.120,0.296,-,32.0%,25.9%,18.2%,92.0,5.6%,5.6%,5.6%,61.1%,16.7%,73.8,35.9%,28.2%,17.9%,83.0%,16.7%,33.3%,16.7%,61.1%,44.4%,33.3%,22.2%,39.3%
Jorbit Vivas LHB,N/A,21,2.60,1,2,0.211,0.286,0.421,0.211,0.307,9.5%,23.1%,19.0%,12.2%,83.2,6.7%,6.7%,20.0%,26.7%,13.3%,69.9,3.0%,21.2%,9.1%,94.3%,33.3%,20.0%,6.7%,46.7%,46.7%,40.0%,13.3%,43.5%
CJ Abrams LHB,+640,21,4.00,1,1,0.500,0.571,0.778,0.278,0.568,14.3%,21.4%,9.5%,11.5%,90.7,6.2%,6.2%,37.5%,43.8%,43.8%,73.1,30.0%,27.5%,15.0%,95.2%,18.8%,33.3%,37.5%,31.2%,56.2%,37.5%,6.2%,45.0%
Jacob Young RHB,+1260,21,3.20,1,1,0.263,0.333,0.421,0.158,0.335,4.8%,19.4%,23.8%,6.5%,90.6,7.1%,7.1%,14.3%,42.9%,28.6%,69.4,-,40.0%,20.0%,83.3%,35.7%,20.0%,21.4%,42.9%,35.7%,35.7%,28.6%,4.3%
Keibert Ruiz SHB,+1040,12,3.00,1,1,0.182,0.250,0.455,0.273,0.303,8.3%,0.0%,-,-,86.8,-,-,45.5%,45.5%,18.2%,68.6,-,50.0%,27.8%,90.0%,36.4%,25.0%,18.2%,27.3%,63.6%,27.3%,9.1%,58.3%
Daylen Lile LHB,+800,24,4.00,0,0,0.136,0.167,0.136,-,0.138,4.2%,16.7%,12.5%,10.8%,83.5,-,-,10.0%,25.0%,25.0%,70.1,7.0%,20.9%,4.7%,89.6%,40.0%,0.0%,5.0%,45.0%,45.0%,25.0%,30.0%,59.1%
Drew Millas SHB,N/A,22,3.60,0,0,0.211,0.318,0.211,-,0.254,9.1%,22.2%,9.1%,9.2%,79.8,-,-,17.6%,11.8%,35.3%,66.7,2.9%,20.0%,5.7%,97.2%,5.9%,0.0%,35.3%,47.1%,41.2%,23.5%,23.5%,27.3%
Nasim Nuñez SHB,+1660,18,2.60,0,0,0.111,0.111,0.111,-,0.099,-,24.2%,33.3%,13.3%,81.4,-,-,16.7%,25.0%,41.7%,67.7,-,13.8%,6.9%,93.5%,25.0%,0.0%,16.7%,50.0%,50.0%,41.7%,8.3%,42.9%
Jose Tena LHB,N/A,13,2.40,0,0,0.167,0.231,0.167,-,0.187,7.7%,43.8%,23.1%,27.5%,87.4,-,-,11.1%,44.4%,22.2%,74.4,41.4%,13.8%,10.3%,96.7%,11.1%,0.0%,22.2%,66.7%,44.4%,44.4%,11.1%,50.0%
Andres Chaparro RHB,N/A,1,2.20,0,0,1.000,1.000,1.000,-,0.890,-,0.0%,-,-,72.1,-,-,-,-,-,74.5,33.3%,-,-,100.0%,100.0%,0.0%,-,-,-,100.0%,-,0.0%
