Matchup,TB @ LAA
Pitcher,Jose Soriano
Pitcher Team,LAA
Opposing Team,TB

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,82.0,341,0.209,0.280,0.313,0.104,1.24,9,0.99,11.7%,33.2%,25.2%,22.5%,15.4%,9.44,57.5%,6.1%,9.0%,37.0%,25.1%,17.0%,13.3%
vsLHB,41.2,183,0.247,0.323,0.386,0.139,1.51,7,1.51,13.1%,31.8%,23.0%,21.0%,15.0%,9.07,55.2%,5.5%,9.6%,40.0%,25.2%,24.1%,13.0%
vsRHB,40.0,158,0.165,0.229,0.230,0.065,0.98,2,0.45,10.1%,34.7%,27.8%,24.0%,15.8%,9.90,60.1%,6.7%,8.3%,33.3%,25.0%,8.3%,13.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Cedric Mullins LHB,,+660,20,12,3.40,3,4,0.333,0.500,1.333,1.000,0.687,25.0%,40.0%,33.3%,18.5%,98.4,384.7,4,4,60.0%,60.0%,80.0%,80.0%,40.0%,70.5,-,20.8%,12.5%,96.0%,80.0%,75.0%,-,20.0%,100.0%,-,-,33.3%
Junior Caminero RHB,,+350,22,22,4.20,1,1,0.316,0.409,0.526,0.211,0.403,13.6%,15.6%,13.6%,5.7%,89.4,294.3,1,1,6.2%,-,6.2%,50.0%,18.8%,80.5,100.0%,29.6%,22.2%,90.0%,6.2%,100.0%,12.5%,81.2%,37.5%,50.0%,12.5%,8.7%
Ryan Vilade RHB,—,N/A,20,19,3.60,1,1,0.278,0.316,0.500,0.222,0.352,5.3%,12.5%,15.8%,6.5%,93.3,286.0,2,1,6.7%,6.7%,6.7%,46.7%,20.0%,75.4,51.4%,21.6%,18.9%,94.9%,13.3%,50.0%,13.3%,73.3%,20.0%,60.0%,20.0%,31.6%
Jonathan Aranda LHB,,+516,38,18,4.40,1,1,0.250,0.500,0.500,0.250,0.432,33.3%,21.9%,27.8%,8.4%,93.1,289.8,1,1,14.3%,14.3%,28.6%,57.1%,42.9%,70.7,14.8%,18.5%,7.4%,87.1%,42.9%,33.3%,14.3%,42.9%,57.1%,28.6%,14.3%,33.3%
Hunter Feduccia LHB,,+1040,10,15,2.80,1,1,0.214,0.267,0.429,0.214,0.302,6.7%,26.9%,40.0%,12.5%,87.9,280.5,3,1,12.5%,-,12.5%,37.5%,50.0%,71.0,4.3%,21.7%,8.7%,92.0%,37.5%,33.3%,37.5%,-,12.5%,37.5%,50.0%,33.3%
Yandy Diaz RHB,,+550,18,18,4.60,0,0,0.375,0.444,0.375,-,0.369,11.1%,12.5%,11.1%,5.7%,95.2,259.2,1,1,7.1%,-,-,50.0%,21.4%,73.3,31.2%,37.5%,18.8%,100.0%,14.3%,0.0%,21.4%,64.3%,-,57.1%,42.9%,33.3%
Nick Fortes RHB,,+1000,12,18,3.80,0,0,0.412,0.444,0.471,0.059,0.407,-,6.9%,5.6%,3.9%,84.2,238.8,2,1,-,-,43.8%,25.0%,25.0%,74.2,46.4%,25.0%,10.7%,96.6%,25.0%,0.0%,31.2%,37.5%,81.2%,12.5%,6.2%,35.3%
Richie Palacios LHB,,+1300,18,18,3.80,0,0,0.077,0.333,0.154,0.077,0.251,27.8%,23.3%,22.2%,10.0%,86.1,288.9,1,0,-,-,11.1%,11.1%,22.2%,68.7,-,19.2%,3.8%,86.7%,33.3%,0.0%,11.1%,55.6%,55.6%,22.2%,22.2%,33.3%
Ben Williamson RHB,—,N/A,7,18,4.00,0,0,0.250,0.333,0.250,-,0.274,5.6%,20.7%,22.2%,8.8%,83.2,209.6,0,0,-,-,-,33.3%,16.7%,67.7,8.0%,28.0%,-,92.6%,-,-,16.7%,75.0%,33.3%,41.7%,25.0%,12.5%
Taylor Walls SHB,,+1120,14,16,3.80,0,0,0.214,0.312,0.214,-,0.248,12.5%,28.6%,25.0%,12.5%,89.7,248.6,3,1,-,-,20.0%,40.0%,50.0%,68.4,3.0%,27.3%,3.0%,94.3%,30.0%,0.0%,40.0%,20.0%,30.0%,30.0%,40.0%,21.1%
Victor Mesa Jr. LHB,,+800,33,15,2.80,0,0,0.091,0.333,0.091,-,0.232,26.7%,37.0%,20.0%,16.9%,89.3,218.2,1,0,-,-,28.6%,42.9%,14.3%,74.2,37.5%,16.7%,12.5%,88.9%,14.3%,0.0%,14.3%,42.9%,42.9%,14.3%,42.9%,38.5%
Chandler Simpson LHB,,+3000,10,13,3.00,0,0,0.154,0.154,0.154,-,0.137,-,13.0%,15.4%,6.5%,77.9,219.5,2,0,-,-,-,-,27.3%,64.3,-,36.8%,-,86.4%,27.3%,0.0%,45.5%,9.1%,9.1%,27.3%,63.6%,22.2%
Austin Slater RHB,—,N/A,4,5,3.80,0,0,0.750,0.800,0.750,-,0.664,20.0%,10.0%,20.0%,5.3%,73.9,-,0,0,-,-,-,-,-,71.1,-,12.5%,-,80.0%,-,-,-,100.0%,100.0%,-,-,40.0%
