Matchup,COL @ LAA
Pitcher,Jose Soriano
Pitcher Team,LAA
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,71.1,289,0.199,0.258,0.285,0.086,1.15,6,0.76,10.7%,33.3%,27.0%,23.4%,15.4%,9.84,56.4%,6.0%,8.9%,36.3%,26.8%,12.5%,12.8%
vsLHB,34.2,148,0.223,0.284,0.323,0.100,1.36,4,1.04,12.2%,32.6%,26.4%,23.1%,15.7%,10.12,54.7%,5.7%,8.8%,40.7%,26.4%,16.7%,11.0%
vsRHB,36.1,141,0.175,0.231,0.246,0.071,0.96,2,0.50,9.2%,34.0%,27.7%,23.8%,15.1%,9.66,58.2%,6.2%,9.1%,31.8%,27.3%,8.3%,14.8%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ezequiel Tovar RHB,+990,19,4.20,2,2,0.389,0.421,0.722,0.333,0.489,5.3%,31.2%,26.3%,17.5%,86.5,15.4%,7.7%,15.4%,46.2%,23.1%,71.0,18.5%,25.9%,11.1%,87.1%,30.8%,50.0%,7.7%,53.8%,53.8%,30.8%,15.4%,33.3%
Jake McCarthy LHB,+1260,21,4.20,1,2,0.211,0.238,0.368,0.158,0.258,4.8%,10.8%,9.5%,7.4%,83.9,5.6%,5.6%,22.2%,27.8%,38.9%,72.0,11.4%,22.9%,8.6%,97.2%,50.0%,11.1%,11.1%,22.2%,44.4%,33.3%,22.2%,55.6%
TJ Rumfield LHB,+920,15,3.60,1,2,0.417,0.533,0.750,0.333,0.537,13.3%,17.9%,6.7%,10.2%,82.1,9.1%,-,18.2%,18.2%,54.5%,68.7,4.3%,17.4%,8.7%,85.2%,36.4%,25.0%,36.4%,18.2%,36.4%,45.5%,18.2%,50.0%
Kyle Karros RHB,+1100,18,2.80,0,1,0.062,0.167,0.062,-,0.122,11.1%,10.3%,22.2%,4.6%,92.2,-,-,8.3%,41.7%,25.0%,71.1,7.4%,29.6%,7.4%,100.0%,25.0%,0.0%,16.7%,58.3%,50.0%,33.3%,16.7%,42.9%
Willi Castro SHB,+910,18,4.40,0,2,0.250,0.333,0.375,0.125,0.312,11.1%,23.1%,27.8%,12.0%,97.6,-,-,18.2%,63.6%,36.4%,72.7,20.6%,32.4%,14.7%,87.2%,54.5%,0.0%,27.3%,18.2%,36.4%,36.4%,27.3%,22.2%
Edouard Julien LHB,+980,18,2.80,0,0,0.118,0.167,0.118,-,0.135,5.6%,0.0%,11.1%,-,87.6,-,-,20.0%,40.0%,46.7%,71.2,10.7%,32.1%,14.3%,93.3%,13.3%,0.0%,46.7%,40.0%,40.0%,33.3%,26.7%,42.1%
Tyler Freeman RHB,+1120,18,4.00,0,1,0.214,0.389,0.286,0.071,0.322,11.1%,10.0%,5.6%,4.2%,92.1,7.7%,7.7%,15.4%,38.5%,15.4%,69.9,11.1%,29.6%,18.5%,90.0%,15.4%,0.0%,23.1%,61.5%,53.8%,30.8%,15.4%,34.8%
Troy Johnston LHB,+1160,17,4.60,0,0,0.214,0.353,0.214,-,0.272,17.6%,23.5%,23.5%,11.4%,89.4,10.0%,-,-,40.0%,20.0%,69.1,3.3%,20.0%,10.0%,88.2%,-,-,30.0%,60.0%,60.0%,10.0%,30.0%,41.2%
Sterlin Thompson LHB,+1040,13,2.40,0,0,0.100,0.308,0.200,0.100,0.253,15.4%,28.0%,23.1%,13.7%,84.1,-,-,-,28.6%,28.6%,75.8,60.9%,13.0%,4.3%,92.0%,-,-,28.6%,71.4%,42.9%,42.9%,14.3%,45.5%
Brett Sullivan LHB,N/A,13,2.60,0,1,-,0.077,-,-,0.050,7.7%,12.9%,7.7%,6.9%,83.9,-,-,9.1%,36.4%,18.2%,65.6,-,23.3%,3.3%,96.8%,18.2%,0.0%,9.1%,54.5%,45.5%,36.4%,18.2%,18.2%
Hunter Goodman RHB,+426,13,4.20,0,0,0.333,0.538,0.333,-,0.411,23.1%,15.4%,15.4%,6.2%,77.8,14.3%,14.3%,14.3%,14.3%,42.9%,74.2,36.0%,12.0%,4.0%,96.2%,-,-,42.9%,42.9%,57.1%,28.6%,14.3%,28.6%
Chad Stevens RHB,N/A,7,3.00,0,0,-,0.143,-,-,0.093,14.3%,30.0%,57.1%,12.5%,85.1,-,-,-,-,100.0%,72.4,44.4%,-,-,100.0%,-,-,100.0%,-,-,100.0%,-,33.3%
Braxton Fulford RHB,N/A,3,2.20,0,0,-,0.333,-,-,0.216,33.3%,33.3%,-,13.3%,94.2,-,-,-,50.0%,50.0%,72.7,20.0%,40.0%,20.0%,83.3%,-,-,50.0%,50.0%,50.0%,50.0%,-,25.0%
