Matchup,NYM @ ATL
Pitcher,Freddy Peralta
Pitcher Team,NYM
Opposing Team,ATL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.1,237,0.296,0.376,0.521,0.225,1.62,9,1.58,8.4%,24.4%,20.7%,18.0%,11.2%,8.59,57.0%,6.7%,5.4%,38.0%,25.3%,21.4%,17.5%
vsLHB,34.0,159,0.306,0.392,0.562,0.257,1.71,8,2.12,8.8%,26.6%,21.4%,20.0%,12.0%,9.00,54.1%,5.9%,7.2%,38.7%,27.9%,25.8%,17.1%
vsRHB,17.1,78,0.275,0.342,0.435,0.159,1.44,1,0.52,7.7%,20.3%,19.2%,14.7%,9.5%,7.79,62.8%,8.2%,1.8%,36.4%,20.0%,9.1%,18.2%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ozzie Albies SHB,,+574,20,19,4.60,2,3,0.333,0.368,0.778,0.444,0.483,5.3%,28.2%,15.8%,19.3%,90.0,297.2,5,3,13.3%,13.3%,26.7%,26.7%,40.0%,68.7,5.6%,25.0%,8.3%,94.7%,73.4%,46.7%,28.6%,26.7%,26.7%,53.3%,20.0%,26.7%,46.2%
Michael Harris II LHB,,+425,22,14,4.40,1,1,0.231,0.286,0.462,0.231,0.324,7.1%,32.1%,21.4%,17.0%,90.0,312.9,1,1,10.0%,-,-,40.0%,20.0%,74.4,40.0%,20.0%,16.0%,89.3%,30.0%,20.0%,50.0%,10.0%,70.0%,50.0%,40.0%,10.0%,40.0%
Joey Bart RHB,—,N/A,5,13,3.80,1,1,0.385,0.385,0.615,0.231,0.435,-,5.3%,23.1%,2.6%,92.3,232.6,2,1,10.0%,10.0%,30.0%,50.0%,40.0%,76.8,64.3%,35.7%,28.6%,93.3%,60.0%,10.0%,0.0%,50.0%,30.0%,40.0%,50.0%,10.0%,18.2%
Mauricio Dubon RHB,,+900,18,21,4.40,0,0,0.294,0.429,0.294,-,0.336,19.0%,16.0%,9.5%,7.0%,78.0,250.3,2,1,-,-,13.3%,20.0%,40.0%,67.8,4.5%,31.8%,4.5%,91.7%,40.0%,26.7%,0.0%,13.3%,40.0%,40.0%,33.3%,26.7%,22.2%
Jorge Mateo RHB,—,N/A,29,17,3.00,0,0,0.133,0.235,0.200,0.067,0.203,11.8%,31.0%,35.3%,21.0%,92.9,257.1,4,2,-,-,-,55.6%,44.4%,73.8,35.3%,14.7%,8.8%,81.0%,55.5%,11.1%,0.0%,44.4%,22.2%,22.2%,33.3%,44.4%,41.7%
Matt Olson LHB,,+310,16,16,4.40,0,0,0.143,0.250,0.286,0.143,0.240,12.5%,16.1%,25.0%,6.8%,91.5,298.4,2,1,10.0%,-,20.0%,50.0%,30.0%,74.9,55.6%,22.2%,14.8%,90.0%,60.0%,30.0%,0.0%,30.0%,40.0%,50.0%,40.0%,10.0%,17.6%
Dominic Smith LHB,,+610,16,16,3.60,0,1,0.250,0.250,0.250,-,0.222,-,21.7%,25.0%,8.6%,86.0,271.0,2,1,-,-,25.0%,50.0%,33.3%,68.7,15.0%,30.0%,15.0%,87.0%,33.3%,8.3%,0.0%,25.0%,66.7%,50.0%,41.7%,8.3%,23.1%
Austin Riley RHB,,+475,20,13,4.00,0,0,0.154,0.154,0.154,-,0.137,-,41.4%,23.1%,23.5%,85.9,310.4,4,2,-,-,-,30.0%,40.0%,75.9,59.3%,14.8%,3.7%,96.4%,70.0%,30.0%,0.0%,40.0%,30.0%,10.0%,70.0%,20.0%,37.5%
Drake Baldwin LHB,,+393,22,13,4.60,0,0,0.091,0.231,0.091,-,0.179,-,16.7%,7.7%,6.5%,88.5,210.3,1,0,-,-,-,20.0%,10.0%,75.3,62.5%,25.0%,6.2%,88.9%,30.0%,20.0%,0.0%,10.0%,60.0%,20.0%,50.0%,30.0%,9.1%
Eli White RHB,—,N/A,24,12,2.60,0,1,0.083,0.083,0.083,-,0.074,-,40.0%,50.0%,23.8%,93.4,376.4,1,1,-,-,16.7%,66.7%,33.3%,72.6,33.3%,23.8%,14.3%,84.0%,16.7%,16.7%,0.0%,-,83.3%,100.0%,-,-,33.3%
