HR Split,Overall
Dates,="6/6/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,2:15 PM,Nick Lodolo,@,1.30,-0.77,1.66,2.20,12.9%,24.9%,40.0%,28.5%,4.5%,889
2,4:10 PM,Lake Bachar,vs,1.29,0.23,1.35,2.07,8.8%,23.6%,50.8%,36.7%,7.6%,456
3,4:10 PM,Tatsuya Imai,vs,1.19,1.37,-0.19,1.86,10.8%,33.6%,49.1%,22.8%,6.3%,215
4,7:35 PM,Tanner Bibee,@,1.08,1.04,0.51,1.86,11.7%,20.8%,43.5%,29.3%,8.4%,1192
5,4:05 PM,Andrew Painter,vs,1.02,0.05,1.71,1.91,11.0%,21.3%,39.4%,30.0%,8.3%,339
6,4:10 PM,Spencer Strider,vs,0.75,1.07,-0.44,1.70,9.9%,20.4%,33.3%,38.1%,7.0%,774
7,10:10 PM,Griffin Canning,vs,0.69,1.27,-0.99,1.86,10.6%,15.5%,47.9%,20.5%,6.2%,548
8,4:10 PM,Zack Littell,@,0.53,0.80,-0.14,1.47,9.2%,13.4%,43.1%,37.6%,7.3%,1140
9,10:10 PM,Nolan McLean,@,0.33,0.03,0.48,1.45,8.2%,24.2%,40.6%,24.1%,6.1%,587
10,1:10 PM,Keider Montero,vs,0.20,0.41,-0.18,1.24,9.0%,16.5%,41.5%,27.1%,7.7%,760
11,2:10 PM,Joe Ryan,vs,0.15,0.25,-0.07,0.90,11.2%,11.9%,44.6%,30.5%,7.9%,1094
12,3:07 PM,Braydon Fisher,vs,0.10,-0.65,0.89,1.05,9.6%,18.0%,35.5%,27.5%,9.1%,379
13,10:10 PM,Jack Kochanowicz,@,0.10,-0.15,0.32,1.31,7.5%,19.6%,43.6%,21.6%,7.0%,913
14,2:15 PM,Matthew Liberatore,vs,0.10,1.49,-0.23,1.10,10.2%,12.0%,44.5%,24.9%,7.6%,1026
15,4:05 PM,Brandon Eisert,@,-0.05,0.51,-0.43,1.10,6.9%,12.1%,44.8%,36.1%,5.4%,378
16,7:35 PM,Jack Leiter,vs,-0.08,0.21,-0.30,0.93,9.6%,11.1%,40.8%,31.5%,6.6%,1056
17,7:35 PM,Will Warren,vs,-0.14,-0.04,-0.02,1.03,7.1%,12.7%,39.3%,31.2%,8.3%,1122
18,10:10 PM,Yoshinobu Yamamoto,vs,-0.16,-0.56,0.40,1.23,6.8%,15.6%,39.6%,23.6%,6.5%,1221
19,3:07 PM,Kyle Bradish,@,-0.42,-0.60,0.25,0.78,9.6%,14.9%,34.9%,22.0%,5.5%,530
20,4:10 PM,Braxton Ashcraft,@,-0.53,-0.07,-0.67,0.88,5.0%,13.7%,39.0%,25.5%,8.0%,721
21,1:10 PM,Bryce Miller,@,-0.64,-1.20,0.59,0.97,4.4%,15.3%,28.3%,25.1%,8.6%,604
22,4:10 PM,Shane McClanahan,@,-0.65,-1.42,-0.11,0.34,8.9%,4.6%,40.4%,30.1%,9.1%,322
23,2:20 PM,Ben Brown,vs,-0.78,-0.51,-0.47,0.29,8.8%,4.0%,47.0%,22.1%,8.4%,782
24,4:10 PM,Eduardo Rodriguez,vs,-0.83,-0.52,-0.53,0.60,7.6%,7.0%,34.4%,25.6%,6.0%,1116
25,2:20 PM,Landen Roupp,@,-0.97,-1.14,-0.15,0.64,5.6%,12.0%,35.0%,19.8%,5.3%,859
26,2:10 PM,Luinder Avila,@,-1.04,-0.22,-1.22,0.60,6.1%,9.6%,27.2%,22.9%,6.6%,231
27,7:35 PM,Ranger Suarez,@,-1.16,-0.06,-1.01,0.55,4.7%,9.1%,32.1%,22.9%,5.7%,1015
28,9:10 PM,Jacob Misiorowski,@,-1.37,-0.82,-1.01,0.36,3.0%,7.4%,32.4%,21.8%,8.8%,709
29,4:10 PM,Kade Morris,@,-,-,-,-,-,-,-,-,-,0
