Bat Side,L
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"4,353",1.13,1.11,1.10,1.09,1.09,1.32,0.87,1.03,1.05,1.03,1.08,88.6,173.8
2,Great American Ball Park,535',Open,"3,828",1.05,1.16,1.04,1.02,1.01,0.89,1.00,1.03,1.02,0.98,1.00,88,174.8
3,Sutter Health Park,24',Open,"2,369",1.04,0.99,1.03,1.02,1.09,0.93,0.96,1.09,0.97,0.98,1.00,88.7,176.5
4,Rate Field,595',Open,"4,445",1.03,1.06,1.01,1.00,0.99,1.01,0.96,1.07,1.03,1.01,1.00,87.9,173.2
5,Daikin Park,45',Retractable,"3,447",1.02,1.11,1.03,1.02,0.96,0.94,1.08,1.02,0.98,1.03,1.00,89.6,175.8
6,Oriole Park at Camden Yards,33',Open,"5,144",1.02,1.08,1.02,1.00,0.98,0.97,0.97,0.97,1.03,1.01,1.00,89,170.4
7,Target Field,828',Open,"4,779",1.02,1.00,1.03,1.05,1.01,0.84,1.00,0.97,1.02,1.01,1.01,88.5,177.6
8,Citizens Bank Park,20',Open,"4,434",1.02,1.11,1.03,1.03,0.95,0.92,1.04,0.95,0.96,0.98,1.01,88.9,171.3
9,Nationals Park,35',Open,"5,319",1.01,1.00,1.02,1.04,0.96,0.99,0.95,1.00,1.04,1.02,1.00,88.6,165.2
10,PNC Park,780',Open,"4,258",1.01,0.95,1.01,0.97,1.16,0.92,0.97,0.99,1.03,1.03,1.01,89.7,174.1
11,Rogers Centre,270',Retractable,"4,271",1.01,1.05,1.00,0.97,1.07,0.86,1.02,0.98,1.02,0.99,1.00,87.9,167.5
12,loanDepot park,10',Retractable,"4,716",1.01,0.96,1.01,1.00,1.02,1.11,0.97,1.04,1.02,1.04,1.00,88.8,167.4
13,Kauffman Stadium,856',Open,"4,676",1.01,0.83,1.02,1.01,1.13,1.29,0.95,1.01,0.98,1.02,1.01,88.5,171.5
14,Angel Stadium,151',Open,"3,716",1.00,1.03,0.99,0.98,0.98,0.98,1.00,1.03,0.99,1.04,1.00,88.6,165
15,Progressive Field,653',Open,"5,546",1.00,1.06,1.00,0.99,0.97,0.82,1.05,1.03,1.04,1.02,0.99,87.8,169
16,Yankee Stadium,55',Open,"4,735",0.99,1.03,0.99,0.97,0.99,0.87,1.02,1.05,0.99,1.01,1.00,89.2,170.9
17,Comerica Park,600',Open,"4,641",0.99,0.97,1.01,1.01,0.94,1.27,0.98,0.97,0.96,1.02,1.00,88.7,171.2
18,Chase Field,1086',Retractable,"4,983",0.98,0.82,1.01,1.01,1.06,1.28,0.93,0.98,0.95,1.04,1.02,88.9,164.7
19,Truist Park,1001',Open,"4,427",0.98,0.97,1.00,1.03,0.94,0.98,1.05,0.97,0.95,0.97,1.02,88.8,168.8
20,American Family Field,597',Retractable,"4,331",0.98,1.01,0.99,1.00,0.92,1.08,1.08,1.02,0.96,0.97,1.01,87,161
21,Citi Field,10',Open,"4,375",0.98,0.93,0.99,1.01,0.97,0.86,1.04,1.06,0.91,0.98,0.99,88.7,164.5
22,Fenway Park,21',Open,"4,896",0.98,0.84,1.00,1.00,1.10,0.85,0.98,0.98,0.92,0.99,0.99,88.7,163.9
23,Busch Stadium,460',Open,"4,788",0.98,0.85,1.00,1.03,1.00,0.94,0.93,0.93,0.98,1.02,1.00,88.7,161.6
24,Wrigley Field,595',Open,"4,182",0.97,0.94,1.00,1.03,0.90,1.14,1.02,0.97,0.98,1.01,0.99,88.8,170.3
25,Oracle Park,',Open,"4,284",0.97,0.80,1.00,1.02,1.04,1.13,0.97,0.97,0.94,1.00,0.99,88.4,156.1
26,Dodger Stadium,515',Open,"4,522",0.96,1.02,0.96,0.95,0.95,0.80,1.04,1.00,0.94,1.00,1.01,89.5,171.2
27,Tropicana Field,15',Dome,"1,676",0.96,0.94,0.97,0.97,0.96,1.03,1.00,0.98,0.96,0.96,1.00,87.5,172.4
28,Globe Life Field,545',Retractable,"4,391",0.96,0.97,0.97,0.97,0.95,0.95,1.02,0.96,1.01,1.01,1.00,88.9,174
29,T-Mobile Park,10',Retractable,"4,736",0.96,0.98,0.98,0.97,1.03,0.72,1.11,0.93,1.00,1.03,0.99,88.9,171.4
30,Petco Park,23',Open,"4,494",0.95,0.98,0.96,0.97,0.95,0.81,1.06,1.02,1.04,1.00,0.99,87.7,168.9
