Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Nathaniel Lowe,LHB,CIN,Brandon Sproat,R,17.5,17.2,51.3,35.6,32.1
TJ Rumfield,LHB,COL,Sonny Gray,R,35.4,47,37.4,66.4,47.8
Derek Hill,RHB,PHI,PJ Poulin,L,16.5,38.6,37.2,16.8,30.5
Jonathan Aranda,LHB,TB,Luinder Avila,R,32.6,47.5,36.9,58,45.5
Bobby Witt Jr.,RHB,KC,Shane McClanahan,L,14.4,29.4,36.4,52.2,35.7
Willson Contreras,RHB,BOS,Sean Sullivan,L,66.2,37.5,36.1,41.7,41
Dillon Dingler,RHB,DET,Carlos Rodon,L,16.4,10,34.7,22.2,21.1
Mickey Moniak,LHB,COL,Sonny Gray,R,31.2,35.6,33,67.4,42.3
Hunter Goodman,RHB,COL,Sonny Gray,R,30.5,19.4,32.5,25.1,25.9
Coby Mayo,RHB,BAL,Ryan Johnson,R,49.6,27.4,32.1,51.4,37
Colton Cowser,LHB,BAL,Ryan Johnson,R,31.1,48.5,31.9,40.2,39.7
Bryce Eldridge,LHB,SF,Aaron Civale,R,20.4,55.1,31.6,23.1,36.6
Nolan Schanuel,LHB,LAA,Shane Baz,R,37,9.7,31.1,50.6,29.1
Pete Alonso,RHB,BAL,Ryan Johnson,R,47.5,20.7,30.9,53.5,34.6
Kyle Schwarber,LHB,PHI,PJ Poulin,L,42.8,22.2,30.9,42.3,31.9
Joc Pederson,LHB,TEX,Sandy Alcantara,R,29,19.7,30.8,5.9,20.5
Alex Bregman,RHB,CHC,Kodai Senga,R,24.9,13.9,30.2,37.3,25.7
Eugenio Suarez,RHB,CIN,Brandon Sproat,R,40.8,23.7,29.4,31.7,29.1
Tyler Stephenson,RHB,CIN,Brandon Sproat,R,40.7,18.2,29.4,38.6,28.9
Alec Bohm,RHB,PHI,PJ Poulin,L,24.2,31.5,28.8,20.1,27.1
Nolan Arenado,RHB,ARI,Kyle Leahy,R,26.8,18.2,28.6,35.2,26.4
Junior Caminero,RHB,TB,Luinder Avila,R,25.1,31.4,28.4,21.5,27.4
Gunnar Henderson,LHB,BAL,Ryan Johnson,R,36.7,21.8,27.9,38.7,29.3
Colt Emerson,LHB,SEA,Mitch Keller,R,18.7,21.8,27.7,26.9,24.5
Jackson Chourio,RHB,MIL,Nick Lodolo,L,23.2,18.6,27.5,18.7,21.8
Shea Langeliers,RHB,ATH,Robbie Ray,L,12.9,29,27,24.8,25.7
Nick Kurtz,LHB,ATH,Robbie Ray,L,47.1,16.2,26,8.2,20.2
George Springer,RHB,TOR,Peter Lambert,R,41,18.3,25.8,51.9,31.2
Ty France,RHB,SD,JR Ritchie,R,26.2,22.6,25.4,34.8,26.8
Colson Montgomery,LHB,CWS,Parker Messick,L,43.1,17.2,25.2,30.7,25.6
Jordan Walker,RHB,STL,Eduardo Rodriguez,L,44.2,32.5,24.5,33.5,31.5
Corbin Carroll,LHB,ARI,Kyle Leahy,R,20.6,16.4,24.5,47,26.9
Spencer Horwitz,LHB,PIT,George Kirby,R,41.3,25.4,23.9,19.2,25
JP Crawford,LHB,SEA,Mitch Keller,R,26.4,15.8,23.8,20.2,20.4
Kazuma Okamoto,RHB,TOR,Peter Lambert,R,48.2,32.7,23.3,45.4,34.6
Logan O'Hoppe,RHB,LAA,Shane Baz,R,48.9,15.4,23.1,10.1,19.7
Nathan Lukes,LHB,TOR,Peter Lambert,R,18.8,8.1,22.7,49.3,23.8
Owen Caissie,LHB,MIA,Cal Quantrill,R,33.4,32.2,22.2,41.7,31.7
Bryce Harper,LHB,PHI,PJ Poulin,L,44.6,22.2,22.2,38.6,28.5
Ezequiel Tovar,RHB,COL,Sonny Gray,R,32.1,19.3,22.1,27.6,23.5
Zach Neto,RHB,LAA,Shane Baz,R,39.3,13.6,21.8,24,21.2
Andy Pages,RHB,LAD,Kendry Rojas,L,32.4,18.5,21.7,43.1,27
Tommy Troy,RHB,ARI,Kyle Leahy,R,47.8,29.7,21.6,33,29.9
Ezequiel Duran,RHB,TEX,Sandy Alcantara,R,51.9,21.1,21.4,42,29.5
Henry Davis,RHB,PIT,George Kirby,R,29.8,30.5,21.2,46.5,31.6
Samuel Basallo,LHB,BAL,Ryan Johnson,R,40,17.2,21.2,33.6,24.8
Davis Schneider,RHB,TOR,Peter Lambert,R,29.2,20.9,20.9,27.1,23.3
Brooks Lee,SHB,MIN,Justin Wrobleski,L,38.3,23.4,20.7,27.2,25
Carson Benge,LHB,NYM,Edward Cabrera,R,30,34.6,20.6,45.7,32.7
Mookie Betts,RHB,LAD,Kendry Rojas,L,36.3,20.6,20.6,33.3,25.3
Troy Johnston,LHB,COL,Sonny Gray,R,37.4,5.1,20.6,41.3,22
Luke Raley,LHB,SEA,Mitch Keller,R,35.3,24.5,20.5,40.5,28.4
Rafael Devers,LHB,SF,Aaron Civale,R,31.5,20,20.4,57.8,30.7
Justin Foscue,RHB,TEX,Sandy Alcantara,R,30.6,18.9,20.4,43.4,26.6
Kevin McGonigle,LHB,DET,Carlos Rodon,L,42.8,9,20.3,33,21.8
Blake Dunn,RHB,CIN,Brandon Sproat,R,39.3,15.6,19.7,29.2,22.6
Ernie Clement,RHB,TOR,Peter Lambert,R,33.8,11.8,19.5,51.1,26.1
Ian Happ,SHB,CHC,Kodai Senga,R,26.1,48.1,19.4,62.1,40.8
Endy Rodriguez,SHB,PIT,George Kirby,R,38.4,49.7,19.2,57.1,41.3
Spencer Torkelson,RHB,DET,Carlos Rodon,L,25.7,25.2,19.1,42.8,27.8
Ivan Herrera,RHB,STL,Eduardo Rodriguez,L,27.1,17.8,19,39.4,24.5
Cole Carrigg,SHB,COL,Sonny Gray,R,35,19,19,31.8,23.8
Randal Grichuk,RHB,CWS,Parker Messick,L,34.3,34.3,18.8,37.7,30.5
Matt McLain,RHB,CIN,Brandon Sproat,R,42.6,16.2,18.7,37.6,24.9
Casey Schmitt,RHB,SF,Aaron Civale,R,50.3,27.2,18.3,37.8,29.5
Vaughn Grissom,RHB,LAA,Shane Baz,R,38.2,18.3,18.3,34.5,24.3
Jared Young,LHB,NYM,Edward Cabrera,R,35.6,18.2,18.2,44.5,26.5
Willi Castro,SHB,COL,Sonny Gray,R,37.4,11.9,18.2,35.1,22.1
Jake McCarthy,LHB,COL,Sonny Gray,R,41.3,42.3,18.1,56.9,38.6
Byron Buxton,RHB,MIN,Justin Wrobleski,L,33.7,10.8,18.1,34.2,21.1
Brandon Marsh,LHB,PHI,PJ Poulin,L,52.1,17.8,18,33.8,25.3
Curtis Mead,RHB,WSH,Jesus Luzardo,L,31.4,17.8,17.8,29.8,22.2
Ketel Marte,SHB,ARI,Kyle Leahy,R,28.2,18.8,17.3,34.8,23.3
Jonah Heim,SHB,ATH,Robbie Ray,L,36.1,17.3,17.3,31.2,22.7
Zack Gelof,RHB,ATH,Robbie Ray,L,21.8,12.2,17.3,44.4,22.7
Victor Mesa Jr.,LHB,TB,Luinder Avila,R,38.4,44.1,16.4,36.1,33.2
