Matchup,COL @ LAD
Pitcher,Eric Lauer
Pitcher Team,LAD
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,52.0,220,0.243,0.322,0.455,0.213,1.23,13,2.25,6.8%,17.3%,12.7%,11.6%,8.9%,4.85,65.2%,7.6%,11.9%,36.4%,41.5%,17.8%,16.5%
vsLHB,9.1,42,0.270,0.372,0.514,0.243,1.50,3,2.89,9.5%,24.7%,19.0%,20.0%,12.5%,7.71,73.8%,9.2%,3.4%,37.9%,34.5%,30.0%,10.3%
vsRHB,42.2,178,0.236,0.310,0.442,0.206,1.17,10,2.11,6.2%,15.7%,11.2%,9.9%,8.1%,4.22,63.1%,7.2%,13.6%,36.1%,42.9%,15.9%,17.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jake McCarthy LHB,,+1060,14,8,4.40,2,2,0.625,0.625,1.375,0.750,0.859,-,31.2%,12.5%,20.0%,80.0,311.7,2,2,28.6%,28.6%,28.6%,28.6%,57.1%,70.9,7.7%,23.1%,15.4%,86.7%,71.5%,42.9%,66.7%,28.6%,14.3%,42.9%,28.6%,28.6%,72.7%
Troy Johnston LHB,—,N/A,14,13,3.40,1,0,0.250,0.308,0.500,0.250,0.348,7.7%,13.0%,7.7%,8.1%,88.3,275.9,2,1,-,-,10.0%,50.0%,40.0%,70.8,9.1%,27.3%,9.1%,78.6%,50.0%,30.0%,0.0%,20.0%,50.0%,40.0%,40.0%,20.0%,76.9%
Hunter Goodman RHB,,+200,30,12,3.80,1,1,0.300,0.333,0.600,0.300,0.377,8.3%,46.7%,50.0%,26.9%,96.1,248.7,2,1,20.0%,20.0%,20.0%,60.0%,40.0%,75.9,58.6%,10.3%,6.9%,96.7%,60.0%,40.0%,50.0%,20.0%,20.0%,40.0%,20.0%,40.0%,58.3%
Cole Carrigg SHB,,+535,13,7,3.80,1,1,0.286,0.286,0.714,0.429,0.427,-,41.7%,57.1%,23.3%,60.2,392.7,1,1,33.3%,33.3%,33.3%,33.3%,33.3%,71.4,22.2%,5.6%,5.6%,81.8%,33.3%,33.3%,100.0%,-,-,66.7%,-,33.3%,22.2%
Willi Castro SHB,,+461,10,18,3.60,0,0,0.353,0.389,0.353,-,0.333,5.6%,29.4%,38.9%,17.9%,78.0,217.1,1,0,-,-,40.0%,10.0%,60.0%,73.7,46.4%,10.7%,3.6%,84.8%,60.0%,20.0%,0.0%,40.0%,40.0%,60.0%,30.0%,10.0%,40.0%
Braxton Fulford RHB,,+552,13,18,2.60,0,0,0.200,0.333,0.333,0.133,0.303,11.1%,33.3%,44.4%,12.4%,87.4,226.9,2,0,14.3%,-,14.3%,28.6%,42.9%,71.6,26.1%,8.7%,4.3%,92.0%,57.2%,28.6%,0.0%,28.6%,14.3%,28.6%,42.9%,28.6%,27.8%
Tyler Freeman RHB,,+720,18,16,3.80,0,0,0.333,0.375,0.333,-,0.323,-,26.5%,25.0%,14.3%,90.3,283.4,3,0,-,-,18.2%,18.2%,18.2%,71.1,16.7%,33.3%,-,82.8%,63.7%,45.5%,0.0%,18.2%,36.4%,27.3%,27.3%,45.5%,41.2%
Kyle Karros RHB,,+552,24,14,4.20,0,0,0.385,0.429,0.462,0.077,0.396,-,36.7%,21.4%,20.4%,83.0,240.7,2,1,10.0%,10.0%,20.0%,30.0%,50.0%,69.8,8.3%,16.7%,12.5%,82.8%,40.0%,-,-,40.0%,50.0%,50.0%,30.0%,20.0%,30.0%
Ezequiel Tovar RHB,,+509,15,13,2.80,0,0,-,0.077,-,-,0.050,7.7%,21.9%,30.8%,12.7%,85.8,236.5,2,0,-,-,12.5%,12.5%,25.0%,73.1,34.5%,13.8%,-,90.6%,62.5%,37.5%,0.0%,25.0%,25.0%,25.0%,37.5%,37.5%,46.2%
Brett Sullivan LHB,—,N/A,7,9,3.00,0,0,0.333,0.333,0.333,-,0.297,-,14.3%,-,6.1%,81.0,169.4,1,0,-,-,-,11.1%,22.2%,66.7,8.3%,33.3%,8.3%,85.7%,33.3%,11.1%,0.0%,22.2%,44.4%,11.1%,55.6%,33.3%,27.3%
