Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Pete Alonso","BAL","Randy Vasquez","SD","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","1"
"Shea Langeliers","ATH","Kyle Freeland","COL","2","1.000","1.00","1.50","2.50","0","1","1","0","2","1","5","0.0","1.000","0"
"Ezequiel Tovar","COL","Joey Estes","ATH","5","0.800","0.80","0.60","1.40","1","3","0","0","3","1","7","0.0","0.800","0"
"Junior Caminero","TB","Jose Soriano","LAA","5","0.600","1.00","0.20","0.80","2","1","0","0","1","0","4","40.0","0.600","0"
"Willi Castro","COL","Joey Estes","ATH","5","0.600","0.60","0.60","1.20","0","3","0","0","3","0","6","0.0","0.714","1"
"Nick Gonzales","PIT","Lake Bachar","MIA","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.667","1"
"Spencer Horwitz","PIT","Lake Bachar","MIA","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Hunter Feduccia","TB","Jose Soriano","LAA","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Dane Myers","CIN","Michael Soroka","ARI","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","50.0","0.500","0"
"Ian Happ","CHC","Trevor McDonald","SF","2","0.500","1.00","1.00","1.50","0","0","1","0","1","0","3","50.0","0.500","0"
"Jose Caballero","NYY","Kevin Gausman","TOR","10","0.500","0.56","0.20","0.70","3","2","0","0","2","1","7","10.0","0.500","0"
"Paul Goldschmidt","NYY","Kevin Gausman","TOR","22","0.455","0.53","0.18","0.64","8","1","0","1","2","1","14","18.2","0.556","5"
"Dillon Dingler","DET","Joey Cantillo","CLE","7","0.429","0.67","0.71","1.14","0","2","0","1","3","1","8","42.9","0.429","0"
"Bo Bichette","NYM","Martin Perez","ATL","7","0.429","0.50","0.14","0.57","2","1","0","0","1","0","4","14.3","0.500","1"
"George Springer","TOR","Cam Schlittler","NYY","7","0.429","0.50","0.14","0.57","2","1","0","0","1","1","4","28.6","0.545","2"
"Juan Soto","NYM","Martin Perez","ATL","8","0.375","0.29","0.38","0.75","2","0","0","1","1","3","6","0.0","0.444","1"
"Gleyber Torres","DET","Joey Cantillo","CLE","8","0.375","0.33","0.38","0.75","2","0","0","1","1","1","6","12.5","0.444","1"
"Chandler Simpson","TB","Jose Soriano","LAA","3","0.333","0.50","0.33","0.67","0","1","0","0","1","1","2","33.3","0.333","0"
"Andy Pages","LAD","Sean Burke","CWS","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","0.0","0.333","0"
"Edouard Julien","COL","Joey Estes","ATH","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","33.3","0.333","0"
"Taylor Ward","BAL","Randy Vasquez","SD","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","0.0","0.333","0"
"Brice Turang","MIL","Aaron Nola","PHI","12","0.333","0.36","0.25","0.58","2","1","1","0","2","2","7","8.3","0.429","2"
"Jose Ramirez","CLE","Tarik Skubal","DET","38","0.316","0.39","0.13","0.45","8","3","1","0","4","2","17","18.4","0.395","4"
"Amed Rosario","NYY","Kevin Gausman","TOR","14","0.286","0.18","0.43","0.71","2","0","0","2","2","7","10","7.1","0.333","1"
"Christian Yelich","MIL","Aaron Nola","PHI","39","0.282","0.36","0.18","0.46","7","2","1","1","4","6","18","25.6","0.300","1"
"Ryan McMahon","NYY","Kevin Gausman","TOR","18","0.278","0.33","0.33","0.61","1","3","0","1","4","4","11","27.8","0.350","2"
"Elias Diaz","TEX","Ranger Suarez","BOS","18","0.278","0.36","0.06","0.33","4","1","0","0","1","1","6","22.2","0.278","0"
"William Contreras","MIL","Aaron Nola","PHI","29","0.276","0.41","0.17","0.45","5","2","0","1","3","1","13","37.9","0.323","2"
"Marcus Semien","NYM","Martin Perez","ATL","37","0.270","0.32","0.19","0.46","6","2","1","1","4","3","17","21.6","0.270","0"
"Tyler Stephenson","CIN","Michael Soroka","ARI","4","0.250","0.00","0.75","1.00","0","0","0","1","1","1","4","0.0","0.250","0"
"Willy Adames","SF","Ben Brown","CHC","8","0.250","0.29","0.13","0.38","1","1","0","0","1","0","3","12.5","0.250","0"
"Kyle Manzardo","CLE","Tarik Skubal","DET","9","0.222","0.50","0.11","0.33","1","1","0","0","1","0","3","55.6","0.222","0"
"Angel Martinez","CLE","Tarik Skubal","DET","18","0.222","0.33","0.11","0.33","2","2","0","0","2","0","6","33.3","0.250","1"
"Brayan Rocchio","CLE","Tarik Skubal","DET","19","0.211","0.44","0.16","0.37","2","1","1","0","2","0","7","52.6","0.250","1"
"Jonah Heim","ATH","Kyle Freeland","COL","5","0.200","0.00","0.60","0.80","0","0","0","1","1","2","4","20.0","0.200","0"
"Josh Bell","MIN","Matthew Liberatore","STL","5","0.200","0.20","0.20","0.40","0","1","0","0","1","1","2","20.0","0.167","0"
"Gary Sanchez","MIL","Aaron Nola","PHI","10","0.200","0.20","0.30","0.50","1","0","0","1","1","1","5","40.0","0.200","0"
"Anthony Volpe","NYY","Kevin Gausman","TOR","26","0.154","0.20","0.23","0.38","0","3","0","1","4","3","10","38.5","0.179","1"
"Keibert Ruiz","WSH","Luis Castillo","SEA","8","0.125","0.13","0.13","0.25","0","1","0","0","1","0","2","0.0","0.222","1"
