Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Kyle Schwarber,LHB,PHI,Janson Junk,R,40.9,50.1,40.9,45.2,45.2
Willson Contreras,RHB,BOS,Mitch Bratt,L,52.4,47.4,27.7,47.7,42.1
Esteury Ruiz,RHB,MIA,Cristopher Sanchez,L,25.3,40.4,32.8,51.8,39.5
Derek Hill,RHB,PHI,Janson Junk,R,25.7,32.9,35.3,57.5,39
Victor Mesa Jr.,LHB,TB,Brandon Young,R,28.9,44.2,20,49.6,36.8
Junior Caminero,RHB,TB,Brandon Young,R,39.3,32.1,38.4,35.1,35.5
Christian Encarnacion-Strand,RHB,BAL,Shane McClanahan,L,34.5,29.1,38.4,35.3,34
Manny Machado,RHB,SD,Nolan McLean,R,25.1,35,31.8,36.2,33.3
Bryce Harper,LHB,PHI,Janson Junk,R,38.7,30.1,31.7,35,32.7
Tyrone Taylor,RHB,CHC,Luis Castillo,R,24.5,32.9,18.7,50.4,32.2
Coby Mayo,RHB,BAL,Shane McClanahan,L,38.3,44.4,14.1,34.4,32.2
Bryson Stott,LHB,PHI,Janson Junk,R,33.8,30.5,15.8,51.6,31.7
Carson Benge,LHB,NYM,Walker Buehler,R,37.8,35.2,20.8,35.8,31.3
Zack Gelof,RHB,ATH,Michael Wacha,R,40.6,36.4,20.2,29.9,30.3
Brandon Lowe,LHB,PIT,Framber Valdez,L,36.8,28.8,30.5,28.8,30.1
Miguel Amaya,RHB,CHC,Luis Castillo,R,42.3,34.1,32.4,16.2,29.9
Caleb Durbin,RHB,BOS,Mitch Bratt,L,37.7,14.8,37.2,38.7,29.8
Max Muncy,LHB,LAD,Tomoyuki Sugano,R,25,30.1,17.3,45.7,29.6
Bryan Reynolds,SHB,PIT,Framber Valdez,L,34.6,15.7,17.5,56.5,28.3
Esmerlyn Valdez,RHB,PIT,Framber Valdez,L,20.5,43.2,19,20,27.9
Dillon Dingler,RHB,DET,Carmen Mlodzinski,R,32.6,22.3,30,31.4,27.9
Francisco Lindor,SHB,NYM,Walker Buehler,R,19.1,33.2,12.6,41.9,27.8
Shohei Ohtani,LHB,LAD,Tomoyuki Sugano,R,36.8,14.9,21.9,48.8,27.7
Austin Riley,RHB,ATL,Bailey Ober,R,45.4,27.3,20,30.1,27.6
Jorge Mateo,RHB,TB,Brandon Young,R,58.6,26.5,18.9,26.3,27.4
Michael Conforto,LHB,CHC,Luis Castillo,R,40.9,10.7,20.6,52,27
Max Muncy,RHB,ATH,Michael Wacha,R,41.6,25.2,21.2,30.7,27
A.J. Ewing,LHB,NYM,Walker Buehler,R,34.6,21.4,17.5,42.9,26.9
Andruw Monasterio,RHB,BOS,Mitch Bratt,L,40.5,22,20.2,35.8,26.8
Lawrence Butler,LHB,ATH,Michael Wacha,R,20.2,27.5,11.1,45.4,26.3
Jackson Merrill,LHB,SD,Nolan McLean,R,25.2,23.8,18.6,39.5,26.3
Kody Clemens,LHB,MIN,Martin Perez,L,24.3,25.1,20.4,34.7,26
Eli White,RHB,BOS,Mitch Bratt,L,22.7,16.1,28,38.5,25.9
Randal Grichuk,RHB,CWS,Shota Imanaga,L,25.9,27.4,10.1,41.8,25.7
Pete Alonso,RHB,BAL,Shane McClanahan,L,23,27.1,38.6,9.3,25.7
Michael Busch,LHB,CHC,Luis Castillo,R,38.4,20,18.2,37.2,25.6
Tyler O'Neill,RHB,BAL,Shane McClanahan,L,31.9,19.5,25.5,31.2,25.5
Wilyer Abreu,LHB,BOS,Mitch Bratt,L,34.5,31.3,28.8,9.5,25.4
Heriberto Hernandez,RHB,MIA,Cristopher Sanchez,L,36.4,24.7,28,18.8,25.4
