Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Dalton Rushing,LHB,LAD,Joe Ryan,R,39.2,43.3,29,58.4,42.4
Josh Bell,SHB,MIN,Shohei Ohtani,R,22.4,41.7,39.8,46.8,40.5
Willson Contreras,RHB,BOS,Kyle Freeland,L,50.6,41.8,29.1,46,39.9
Henry Davis,RHB,PIT,Bryan Woo,R,42.8,38.1,33.1,46.5,39.2
Luke Raley,LHB,SEA,Braxton Ashcraft,R,38.8,29.3,29.3,57.6,37.3
Kyle Schwarber,LHB,PHI,Miles Mikolas,R,29.8,36.9,29.8,49.4,37.2
Shohei Ohtani,LHB,LAD,Joe Ryan,R,35.7,35.8,23.1,55.7,37
Spencer Torkelson,RHB,DET,Ryan Weathers,L,25.4,41.4,24,50.5,36.9
Yainer Diaz,RHB,HOU,Trey Yesavage,R,18.9,35.4,35.4,46.7,36.6
Cody Bellinger,LHB,NYY,Tarik Skubal,L,49.8,23.9,45.5,38,36.5
Andy Pages,RHB,LAD,Joe Ryan,R,30.3,32.5,26.1,54.4,35.8
Josh Naylor,LHB,SEA,Braxton Ashcraft,R,40.6,33.1,24.1,48.2,34.9
Gary Sanchez,RHB,MIL,Rhett Lowder,R,42.9,28.1,42.9,29.4,34.3
Leo Jimenez,RHB,MIA,Jacob deGrom,R,40.7,50.4,,50.4,34.3
Junior Caminero,RHB,TB,Noah Cameron,L,20.8,31.2,37.7,39.9,34.3
Colson Montgomery,LHB,CWS,Tanner Bibee,R,22,30.3,29.1,51,34.3
Bryce Harper,LHB,PHI,Miles Mikolas,R,35.8,27.5,29.8,46.8,33.8
Zach Neto,RHB,LAA,Trey Gibson,R,57.3,31.4,33.3,27.6,33.6
Colt Emerson,LHB,SEA,Braxton Ashcraft,R,29.5,27.5,23.9,52.7,32.9
Jackson Chourio,RHB,MIL,Rhett Lowder,R,43.3,31.9,17.9,48.3,32.9
Ben Rice,LHB,NYY,Tarik Skubal,L,45.7,23.1,30.6,44.1,32.9
Endy Rodriguez,SHB,PIT,Bryan Woo,R,31.1,37.6,11.2,52.5,32.8
Max Muncy,RHB,ATH,Tyler Mahle,R,51.2,27.4,26.7,39.7,32.6
Dillon Dingler,RHB,DET,Ryan Weathers,L,15.4,25.9,44.2,34.9,32.6
Elly De La Cruz,SHB,CIN,Shane Drohan,L,28.3,19.2,30.8,52.8,32
Freddie Freeman,LHB,LAD,Joe Ryan,R,21.9,31,21.1,50.3,31.9
Ian Happ,SHB,CHC,Nolan McLean,R,26.1,30.9,17.8,52.4,31.9
Jackson Holliday,LHB,BAL,Jose Soriano,R,17.2,31.1,24.1,47.7,31.8
Alex Freeland,SHB,LAD,Joe Ryan,R,36.2,40.9,20.1,31,31.7
Owen Caissie,LHB,MIA,Jacob deGrom,R,35.2,34.6,14.5,46.6,31.6
Gabriel Moreno,RHB,ARI,Matthew Liberatore,L,28.9,25.9,25.9,46.6,31.4
Ildemaro Vargas,SHB,ARI,Matthew Liberatore,L,41.9,23.7,23.7,46.9,31.3
Jesus Sanchez,LHB,TOR,Mike Burrows,R,27.7,40.8,8.5,46.8,31.3
Christian Yelich,LHB,MIL,Rhett Lowder,R,32.2,18.1,24.3,55.1,30.6
Julio Rodriguez,RHB,SEA,Braxton Ashcraft,R,50,28.6,26.1,30.2,30.4
Zack Gelof,RHB,ATH,Tyler Mahle,R,42,28.3,28,31.3,30.3
Ryan O'Hearn,LHB,PIT,Bryan Woo,R,42.3,31.6,25.1,29.7,30.2
Garrett Mitchell,LHB,MIL,Rhett Lowder,R,31.2,38.9,14.9,35.1,30
Jorge Soler,RHB,LAA,Trey Gibson,R,39.3,23.3,32.1,33.3,30
Bryce Eldridge,LHB,SF,Gage Jump,L,65.2,30.3,7.6,41.5,29.8
Marcell Ozuna,RHB,PIT,Bryan Woo,R,53,23.2,12.8,48.7,29.4
Ketel Marte,SHB,ARI,Matthew Liberatore,L,27,24,29.3,37.9,29.4
Brandon Lowe,LHB,PIT,Bryan Woo,R,24,29.7,21.6,39.9,29.2
Jazz Chisholm Jr.,LHB,NYY,Tarik Skubal,L,65.2,19.8,10.1,50.6,29.1
Ezequiel Duran,RHB,TEX,Eury Perez,R,51.5,18.3,22,42.8,28.9
Jake Burger,RHB,TEX,Eury Perez,R,44.3,28.7,11.7,42.8,28.7
Cal Raleigh,SHB,SEA,Braxton Ashcraft,R,35.6,31.6,9.3,44.4,28.5
Kyle Stowers,LHB,MIA,Jacob deGrom,R,21.9,17.7,15.6,60.2,28.1
Cam Smith,RHB,HOU,Trey Yesavage,R,46.5,32.4,17.2,27.9,28.1
Kody Clemens,LHB,MIN,Shohei Ohtani,R,17.9,29.1,11.8,49.9,28
Joe Mack,LHB,MIA,Jacob deGrom,R,49.6,14.8,12,55.8,27.7
Dominic Canzone,LHB,SEA,Braxton Ashcraft,R,24.2,21.5,29.5,35.8,27.7
Justin Foscue,RHB,TEX,Eury Perez,R,34.6,19.7,21.1,43.4,27.5
Vaughn Grissom,RHB,LAA,Trey Gibson,R,58.2,26.9,26.9,14.8,27
Jac Caglianone,LHB,KC,Griffin Jax,R,27.3,26.2,18.4,37.9,26.9
Logan O'Hoppe,RHB,LAA,Trey Gibson,R,51.8,29.9,13.5,28.4,26.8
Hunter Goodman,RHB,COL,Ranger Suarez,L,32.3,33.4,25.2,16.5,26.6
Casey Schmitt,RHB,SF,Gage Jump,L,36.6,32.2,8.7,35.1,26.3
Max Muncy,LHB,LAD,Joe Ryan,R,18.1,29.3,16.5,35.5,25.9
Curtis Mead,RHB,WSH,Aaron Nola,R,34.8,22.7,26.9,25.6,25.9
Randy Arozarena,RHB,SEA,Braxton Ashcraft,R,38.9,10.1,21.1,47.5,25.6
Jorge Barrosa,SHB,ARI,Matthew Liberatore,L,38.3,25.2,24,18.6,24.5
Nick Gonzales,RHB,PIT,Bryan Woo,R,22.7,11.2,12.8,57.8,24.5
Ryan Ward,LHB,LAD,Joe Ryan,R,48.1,11.1,11.1,49.4,24.4
Wyatt Langford,RHB,TEX,Eury Perez,R,46.9,12.8,11.7,46.7,24.4
Sal Stewart,RHB,CIN,Shane Drohan,L,25.9,30.8,28,10,24.3
Travis Bazzana,LHB,CLE,Erick Fedde,R,54.2,20,20,22.9,24.1
Nathan Lukes,LHB,TOR,Mike Burrows,R,17.5,7.6,23,50.1,23.8
Brice Turang,LHB,MIL,Rhett Lowder,R,22.3,12.1,19.7,45.8,23.8
George Springer,RHB,TOR,Mike Burrows,R,18.2,18.2,14.3,45,23.7
Carlos Cortes,LHB,ATH,Tyler Mahle,R,39.2,19.5,15.2,33.3,23.6
Ceddanne Rafaela,RHB,BOS,Kyle Freeland,L,32.5,19.4,10.1,41.6,23.5
Michael Busch,LHB,CHC,Nolan McLean,R,52.1,17.8,17.8,26.3,23.4
Wilyer Abreu,LHB,BOS,Kyle Freeland,L,23.9,20.8,,54.4,23.3
William Contreras,RHB,MIL,Rhett Lowder,R,51.1,18.9,10.6,33.2,23.2
Colton Cowser,LHB,BAL,Jose Soriano,R,22.1,30.5,15.5,22.2,23.1
Michael Conforto,LHB,CHC,Nolan McLean,R,28.3,17.5,7.8,46.8,23
Austin Wells,LHB,NYY,Tarik Skubal,L,61.3,11.6,,51.3,23
Tristan Gray,LHB,MIN,Shohei Ohtani,R,22.5,29.8,8,31.2,22.9
Matt Chapman,RHB,SF,Gage Jump,L,43.5,15.5,8.7,41.7,22.8
Rafael Devers,LHB,SF,Gage Jump,L,19.7,16.7,7.8,50.7,22.8
