Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Brooks Lee","MIN","Jack Leiter","TEX","2","1.000","1.00","0.50","1.50","1","1","0","0","1","0","3","0.0","1.000","0"
"Byron Buxton","MIN","Jack Leiter","TEX","2","1.000","1.00","2.00","3.00","0","1","0","1","2","3","6","0.0","1.000","1"
"Adley Rutschman","BAL","Bryan Woo","SEA","6","0.667","0.75","0.67","1.33","2","1","0","1","2","5","8","16.7","0.667","0"
"Salvador Perez","KC","Matthew Liberatore","STL","7","0.571","0.50","0.43","1.00","3","0","0","1","1","2","7","0.0","0.571","0"
"Masataka Yoshida","BOS","Trey Yesavage","TOR","2","0.500","0.50","0.00","0.50","1","0","0","0","0","0","1","0.0","0.500","0"
"Nathan Church","STL","Noah Cameron","KC","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Marcelo Mayer","BOS","Trey Yesavage","TOR","2","0.500","0.50","0.00","0.50","1","0","0","0","0","0","1","0.0","0.500","0"
"Coby Mayo","BAL","Bryan Woo","SEA","2","0.500","0.50","0.00","0.50","1","0","0","0","0","0","1","0.0","0.500","0"
"Colton Cowser","BAL","Bryan Woo","SEA","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Nick Loftin","KC","Matthew Liberatore","STL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","1","2","0.0","0.500","0"
"Jared Young","NYM","Aaron Nola","PHI","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Alejandro Kirk","TOR","Sonny Gray","BOS","2","0.500","0.50","0.00","0.50","1","0","0","0","0","0","1","0.0","0.750","2"
"Garrett Stubbs","PHI","Sean Manaea","NYM","2","0.500","0.50","0.00","0.50","1","0","0","0","0","1","1","0.0","0.500","0"
"Elias Diaz","TEX","Joe Ryan","MIN","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Maikel Garcia","KC","Matthew Liberatore","STL","4","0.500","0.50","1.00","1.50","0","1","0","1","2","2","6","25.0","0.714","3"
"Eric Haase","SF","Martin Perez","ATL","6","0.500","0.60","0.33","0.83","1","2","0","0","2","0","5","16.7","0.571","1"
"Matt Olson","ATL","Landen Roupp","SF","8","0.500","0.57","0.13","0.63","3","1","0","0","1","3","5","12.5","0.500","0"
