Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Yordan Alvarez,LHB,HOU,Tyler Phillips,R,36.9,59.3,28.6,63.1,48.8
Coby Mayo,RHB,BAL,Eduardo Rivera,L,38,57.1,35.2,40,44.3
Esmerlyn Valdez,RHB,PIT,Will Warren,R,29,45.3,45.3,37.2,41.6
Seiya Suzuki,RHB,CHC,Framber Valdez,L,28.6,51.9,41.5,27,40.2
Trea Turner,RHB,PHI,Justin Wrobleski,L,59.6,29.5,23.9,64.9,39.7
Drake Baldwin,LHB,ATL,Walker Buehler,R,37.1,31.7,40.5,45.1,38.2
Jo Adell,RHB,LAA,Matthew Liberatore,L,35.7,45.7,30.8,36.3,37.9
Bryce Eldridge,LHB,SF,Luinder Avila,R,30.6,43.9,23.8,47.8,37.5
Pete Alonso,RHB,BAL,Eduardo Rivera,L,30.9,37.2,42.5,33.8,37.3
Jordan Walker,RHB,STL,Walbert Urena,R,48,24.5,31,49.6,35.1
Edmundo Sosa,RHB,PHI,Justin Wrobleski,L,37.2,22,34.8,51.8,34.8
Derek Hill,RHB,PHI,Justin Wrobleski,L,38.6,42.5,33.7,18.5,33.5
Jonathan Aranda,LHB,TB,Kevin Gausman,R,29.7,35,22.9,43.3,32.9
Randal Grichuk,RHB,CWS,Kumar Rocker,R,38.3,24,15.9,63.7,32.9
Leo Jimenez,RHB,MIA,Tatsuya Imai,R,30.8,47.3,,52.6,32.8
Carson Benge,LHB,NYM,Brandon Sproat,R,30.2,34.4,21.4,43.6,32.4
Brandon Valenzuela,SHB,TOR,Drew Rasmussen,R,46.9,24.3,31.2,39,32.3
Kyle Schwarber,LHB,PHI,Justin Wrobleski,L,48.2,23.4,38.9,30.1,32.2
Francisco Lindor,SHB,NYM,Brandon Sproat,R,48.8,27.8,16.6,49.9,32.1
Brandon Marsh,LHB,PHI,Justin Wrobleski,L,39.7,31.3,31.3,31.3,32.1
Manny Machado,RHB,SD,Reynaldo Lopez,R,49.1,23.5,30.4,37.4,31.6
James Wood,LHB,WSH,Michael Lorenzen,R,26.5,37.4,22.3,36.3,31.5
Junior Caminero,RHB,TB,Kevin Gausman,R,26.6,28.5,30.9,37.7,31.3
Liam Hicks,LHB,MIA,Tatsuya Imai,R,37.6,35.6,18.3,37.9,31.2
Victor Mesa Jr.,LHB,TB,Kevin Gausman,R,52.8,25.6,6.8,59.1,31.1
Tyler Stephenson,RHB,CIN,Luis Castillo,R,26.9,35.2,20.6,34.2,29.7
Ian Happ,SHB,CHC,Framber Valdez,L,31.7,24.5,27.2,38.5,29.5
Yainer Diaz,RHB,HOU,Tyler Phillips,R,32.1,24.7,29.3,35.2,29.4
Mike Trout,RHB,LAA,Matthew Liberatore,L,37,18.9,18.9,53.8,29.4
Max Kepler,LHB,ARI,Jack Perkins,R,43,31.5,8.6,44.8,29.1
Fernando Tatis Jr.,RHB,SD,Reynaldo Lopez,R,60.2,35.1,4.3,38.1,29.1
Bobby Witt Jr.,RHB,KC,Tyler Mahle,R,32.8,31.2,25.8,28.4,29
Casey Schmitt,RHB,SF,Luinder Avila,R,31.6,19.5,31.7,37.8,28.9
Ben Rice,LHB,NYY,Bubba Chandler,R,28.1,16.9,20.4,56.4,28.9
Hunter Goodman,RHB,COL,Carson Palmquist,L,33.3,31,31,21.4,28.8
Michael Massey,LHB,KC,Tyler Mahle,R,24.6,32.6,26.7,26.7,28.6
Jose Siri,RHB,LAA,Matthew Liberatore,L,15.6,35.7,9.9,45,28.3
Carson Kelly,RHB,CHC,Framber Valdez,L,32.5,19.4,19.4,49.9,28.3
CJ Abrams,LHB,WSH,Michael Lorenzen,R,33.7,21.1,23.6,41.3,28.2
Zach Neto,RHB,LAA,Matthew Liberatore,L,33.4,28.1,9.9,48.3,28.2
A.J. Ewing,LHB,NYM,Brandon Sproat,R,35.8,22.1,21.6,41.4,28.1
Xander Bogaerts,RHB,SD,Reynaldo Lopez,R,54,12.4,23.9,44.6,28.1
Juan Soto,LHB,NYM,Brandon Sproat,R,35.8,26.8,17.5,39.4,28.1
Kyle Stowers,LHB,MIA,Tatsuya Imai,R,18.3,23,15.9,53,27.9
Colson Montgomery,LHB,CWS,Kumar Rocker,R,35.2,25.8,17.4,40.7,27.9
Ryan Jeffers,RHB,MIN,Parker Messick,L,29.7,31.7,8.5,44.7,27.8
Daylen Lile,LHB,WSH,Michael Lorenzen,R,31.9,32.4,12.3,38.2,27.8
Ke'Bryan Hayes,RHB,CIN,Luis Castillo,R,51.8,31,14.6,29,27.7
Justin Foscue,RHB,TEX,Noah Schultz,L,25.9,26.9,17.9,40.8,27.6
Dillon Dingler,RHB,DET,David Peterson,L,2.8,32.7,19.8,39.3,27.5
Matt Olson,LHB,ATL,Walker Buehler,R,12.7,25.4,27.9,35.4,27.4
Nathaniel Lowe,LHB,CIN,Luis Castillo,R,29.3,16,28.9,40.8,27.4
Jared Young,LHB,NYM,Brandon Sproat,R,42.5,9.6,21.6,52.9,27.3
Cedric Mullins,LHB,TB,Kevin Gausman,R,32,14.2,24.8,46.4,27.2
Tyrone Taylor,RHB,NYM,Brandon Sproat,R,34.6,24.2,11.8,46.6,27.1
Tim Tawa,RHB,ARI,Jack Perkins,R,57.2,26.4,19,25.3,27
Luke Raley,LHB,SEA,Chase Burns,R,24.2,16.9,16.9,51.5,26.3
Elly De La Cruz,SHB,CIN,Luis Castillo,R,29.7,19,19,43.1,26.1
Paul Goldschmidt,RHB,NYY,Bubba Chandler,R,27.2,25.5,27.4,24.4,26
Austin Riley,RHB,ATL,Walker Buehler,R,35,25.8,22.3,27.2,26
Jake Bauers,LHB,MIL,Zach Thornton,L,39.7,23.3,16.9,33.8,25.6
Gary Sanchez,RHB,MIL,Zach Thornton,L,45.4,26.9,13.4,29.7,25.4
Nolan Arenado,RHB,ARI,Jack Perkins,R,39.6,18.3,13,44.2,25.3
Miguel Vargas,RHB,CWS,Kumar Rocker,R,34.7,12.1,24.2,40.4,25.1
Ryan Vilade,RHB,TB,Kevin Gausman,R,43.5,16.6,17.5,38.5,25
Spencer Torkelson,RHB,DET,David Peterson,L,24.3,28.9,17.5,28.8,25
Dominic Canzone,LHB,SEA,Chase Burns,R,41.5,26.2,16.9,26.2,24.9
Gabriel Moreno,RHB,ARI,Jack Perkins,R,28.5,17.7,15.5,43.9,24.7
Rafael Devers,LHB,SF,Luinder Avila,R,51.3,17.3,18.8,31.2,24.6
Julio Rodriguez,RHB,SEA,Chase Burns,R,31.9,13.5,16,46.6,24.4
Michael Busch,LHB,CHC,Framber Valdez,L,35.8,28,15,25.7,24.3
Dansby Swanson,RHB,CHC,Framber Valdez,L,27.5,10.3,28.9,35.7,24
Isaac Paredes,RHB,HOU,Tyler Phillips,R,31.7,16,16.5,40.3,23.8
Brandon Lowe,LHB,PIT,Will Warren,R,37.1,27.4,18.3,20,23.8
Rodolfo Durán,RHB,SD,Reynaldo Lopez,R,38.8,14.7,19.7,34.5,23.6
Munetaka Murakami,LHB,CWS,Kumar Rocker,R,32.4,26.9,15,25.8,23.6
