Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Michael Harris II","ATL","Brandon Williamson","CIN","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","0"
"Danny Jansen","TEX","Sean Manaea","NYM","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","1"
"Matt Olson","ATL","Brandon Williamson","CIN","1","1.000","0.00","3.00","4.00","0","0","0","1","1","2","4","0.0","1.000","0"
"Carter Jensen","KC","Anthony Kay","CWS","3","0.667","0.67","0.33","1.00","1","1","0","0","1","2","3","0.0","0.667","0"
"Garrett Mitchell","MIL","Zack Wheeler","PHI","3","0.667","0.67","0.67","1.33","1","0","1","0","1","1","4","0.0","0.667","0"
"Jorge Mateo","TB","Carlos Rodon","NYY","7","0.571","0.75","0.57","1.14","2","1","0","1","2","1","8","28.6","0.625","0"
"Jose Fernandez","ARI","Kyle Freeland","COL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","1","2","0.0","0.500","0"
"Gabriel Arias","CHC","Janson Junk","MIA","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Andruw Monasterio","BOS","Parker Messick","CLE","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Dylan Beavers","BAL","Max Scherzer","TOR","4","0.500","0.33","0.75","1.25","1","0","0","1","1","3","5","0.0","0.667","2"
"Brandon Lowe","PIT","Andre Pallante","STL","4","0.500","0.67","0.25","0.75","1","1","0","0","1","1","3","25.0","0.500","0"
"Lars Nootbaar","ARI","Kyle Freeland","COL","6","0.500","0.40","1.00","1.50","0","1","1","1","3","3","9","16.7","0.429","0"
"Nolan Arenado","ARI","Kyle Freeland","COL","10","0.500","0.56","0.20","0.70","3","2","0","0","2","1","7","10.0","0.667","5"
"Ben Rice","NYY","Nick Martinez","TB","7","0.429","0.50","0.29","0.71","1","2","0","0","2","2","5","14.3","0.500","1"
"Colton Cowser","BAL","Max Scherzer","TOR","7","0.429","0.25","1.00","1.43","0","1","0","2","3","4","10","14.3","0.556","2"
"Cal Raleigh","SEA","Cristian Javier","HOU","7","0.429","0.40","0.43","0.86","2","0","0","1","1","4","6","14.3","0.500","1"
"Corbin Carroll","ARI","Kyle Freeland","COL","12","0.417","0.33","0.25","0.67","4","0","0","1","1","2","8","0.0","0.500","3"
"Kazuma Okamoto","TOR","Chris Bassitt","BAL","5","0.400","0.25","0.80","1.20","0","1","0","1","2","1","6","0.0","0.500","0"
"Austin Wells","NYY","Nick Martinez","TB","5","0.400","0.00","1.20","1.60","0","0","0","2","2","2","8","20.0","0.400","0"
"Ildemaro Vargas","ARI","Kyle Freeland","COL","5","0.400","0.40","0.20","0.60","1","1","0","0","1","1","3","0.0","0.400","0"
"Gunnar Henderson","BAL","Max Scherzer","TOR","10","0.400","0.44","0.10","0.50","3","1","0","0","1","2","5","10.0","0.455","1"
"Troy Johnston","COL","Michael Soroka","ARI","8","0.375","0.50","0.13","0.50","2","1","0","0","1","1","4","25.0","0.375","0"
"Spencer Horwitz","PIT","Andre Pallante","STL","8","0.375","0.40","0.38","0.75","2","0","0","1","1","1","6","25.0","0.375","0"
"Miguel Vargas","CWS","Daniel Lynch IV","KC","8","0.375","0.38","0.13","0.50","2","1","0","0","1","1","4","0.0","0.444","1"
"Jake Burger","TEX","Sean Manaea","NYM","8","0.375","0.20","0.88","1.25","0","1","0","2","3","3","10","12.5","0.375","0"
