Matchup,NYM @ PHI
Pitcher,Aaron Nola
Pitcher Team,PHI
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,70.2,309,0.283,0.353,0.488,0.205,1.47,13,1.66,7.8%,25.0%,23.0%,18.9%,11.4%,9.04,64.8%,6.5%,9.3%,38.8%,25.7%,20.0%,19.2%
vsLHB,35.1,168,0.292,0.381,0.500,0.208,1.81,7,1.78,13.1%,24.4%,20.2%,15.3%,11.1%,8.66,56.5%,4.5%,8.9%,43.8%,25.9%,24.1%,19.6%
vsRHB,34.2,141,0.273,0.320,0.475,0.201,1.15,6,1.56,1.4%,25.7%,26.2%,24.2%,11.7%,9.61,74.6%,9.2%,9.8%,33.3%,25.5%,15.4%,18.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Bo Bichette RHB,,+640,16,25,4.80,1,1,0.320,0.320,0.480,0.160,0.348,-,17.0%,20.0%,10.7%,91.6,288.9,5,0,-,-,-,52.6%,36.8%,69.8,9.5%,31.0%,19.0%,91.3%,15.8%,33.3%,26.3%,57.9%,10.5%,26.3%,63.2%,45.8%
Juan Soto LHB,,+235,25,21,4.60,1,2,0.412,0.524,0.706,0.294,0.514,19.0%,27.3%,9.5%,10.8%,85.2,246.3,3,2,7.1%,7.1%,21.4%,35.7%,28.6%,71.4,14.3%,32.1%,14.3%,87.5%,21.4%,33.3%,21.4%,35.7%,42.9%,35.7%,21.4%,20.0%
Marcus Semien RHB,,+610,24,16,4.40,1,1,0.133,0.188,0.333,0.200,0.227,6.2%,25.7%,31.2%,13.4%,83.1,205.4,2,1,10.0%,-,20.0%,40.0%,60.0%,70.0,6.1%,12.1%,9.1%,94.3%,10.0%,100.0%,40.0%,30.0%,40.0%,40.0%,20.0%,41.2%
Luis Torrens RHB,—,N/A,16,15,3.80,1,2,0.286,0.333,0.643,0.357,0.417,-,12.1%,13.3%,5.5%,85.3,264.9,2,2,16.7%,-,-,50.0%,41.7%,70.6,9.7%,25.8%,16.1%,93.9%,16.7%,50.0%,33.3%,50.0%,-,58.3%,41.7%,26.1%
Mark Vientos RHB,—,N/A,26,11,2.80,1,1,0.091,0.091,0.364,0.273,0.191,-,18.2%,-,10.5%,80.4,241.2,2,1,9.1%,9.1%,18.2%,27.3%,9.1%,72.6,29.4%,23.5%,5.9%,77.3%,36.4%,25.0%,-,36.4%,36.4%,63.6%,-,53.8%
Jared Young LHB,,+490,24,22,3.20,0,1,0.091,0.091,0.136,0.045,0.098,-,19.5%,9.1%,10.0%,87.8,236.2,4,2,-,-,15.0%,30.0%,15.0%,73.1,35.1%,24.3%,13.5%,92.5%,30.0%,0.0%,15.0%,35.0%,25.0%,55.0%,20.0%,33.3%
Carson Benge LHB,,+520,23,21,4.80,0,1,0.316,0.381,0.526,0.211,0.389,4.8%,18.8%,23.8%,8.1%,89.1,264.0,1,1,7.7%,-,7.7%,38.5%,46.2%,69.8,10.0%,26.7%,16.7%,93.8%,30.8%,0.0%,30.8%,30.8%,23.1%,61.5%,15.4%,15.8%
Brett Baty LHB,,+600,13,21,4.00,0,1,0.263,0.333,0.316,0.053,0.295,4.8%,15.8%,19.0%,8.5%,89.4,258.0,3,0,-,-,13.3%,53.3%,40.0%,75.0,57.1%,28.6%,8.6%,94.6%,26.7%,0.0%,20.0%,46.7%,33.3%,26.7%,40.0%,37.5%
A.J. Ewing LHB,,+820,18,19,4.00,0,0,0.188,0.316,0.312,0.125,0.283,15.8%,8.3%,15.8%,3.8%,88.1,239.9,1,1,-,-,7.7%,23.1%,53.8%,69.6,13.9%,25.0%,2.8%,100.0%,15.4%,0.0%,46.2%,30.8%,23.1%,30.8%,46.2%,50.0%
Francisco Alvarez RHB,,+478,27,14,4.00,0,0,0.231,0.286,0.231,-,0.237,7.1%,29.3%,21.4%,16.7%,91.2,270.9,2,0,10.0%,-,30.0%,40.0%,40.0%,74.3,43.9%,17.1%,9.8%,100.0%,20.0%,0.0%,30.0%,50.0%,40.0%,50.0%,10.0%,38.1%
Zack Short RHB,—,N/A,7,13,2.20,0,0,0.154,0.154,0.154,-,0.137,-,31.0%,46.2%,14.1%,87.8,193.1,0,0,-,-,14.3%,14.3%,14.3%,70.8,3.6%,17.9%,3.6%,96.6%,14.3%,0.0%,14.3%,42.9%,28.6%,57.1%,14.3%,21.4%
MJ Melendez LHB,,+442,22,12,3.00,0,0,0.200,0.333,0.300,0.100,0.288,16.7%,22.2%,33.3%,9.0%,96.2,198.9,1,0,-,-,33.3%,66.7%,33.3%,73.9,33.3%,16.7%,12.5%,88.9%,16.7%,0.0%,33.3%,16.7%,33.3%,50.0%,16.7%,50.0%
Eric Wagaman RHB,—,N/A,-,1,1.60,0,0,-,-,-,-,-,-,33.3%,100.0%,20.0%,-,-,0,0,-,-,-,-,-,69.8,-,-,-,100.0%,-,-,-,-,-,-,-,0.0%
