Matchup,SF @ ARI
Pitcher,Trevor McDonald
Pitcher Team,SF
Opposing Team,ARI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.1,228,0.253,0.320,0.374,0.121,1.34,4,0.70,8.3%,22.3%,19.7%,20.0%,9.9%,7.89,57.8%,7.6%,4.5%,40.6%,14.8%,17.4%,10.3%
vsLHB,26.1,126,0.306,0.390,0.509,0.204,1.63,4,1.37,7.9%,20.6%,17.5%,20.6%,8.8%,7.52,55.1%,7.7%,6.8%,40.9%,17.0%,26.7%,13.6%
vsRHB,25.0,102,0.189,0.236,0.211,0.022,1.04,0,-,8.8%,24.2%,22.5%,19.5%,11.1%,8.28,61.2%,7.6%,1.5%,40.3%,11.9%,-,6.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Pavin Smith LHB,,+870,17,15,3.80,1,1,0.231,0.333,0.462,0.231,0.345,13.3%,13.6%,6.7%,5.5%,87.7,250.1,2,1,8.3%,8.3%,33.3%,33.3%,25.0%,71.8,15.8%,36.8%,10.5%,86.4%,58.4%,41.7%,20.0%,16.7%,33.3%,58.3%,16.7%,25.0%,33.3%
Ketel Marte SHB,,+439,21,15,4.20,1,1,0.133,0.133,0.333,0.200,0.199,-,25.0%,20.0%,12.7%,91.6,277.5,2,2,8.3%,-,8.3%,41.7%,25.0%,75.6,56.5%,34.8%,13.0%,82.1%,58.3%,50.0%,16.7%,8.3%,41.7%,50.0%,33.3%,16.7%,26.7%
Lourdes Gurriel Jr. RHB,,+1060,22,15,4.40,1,1,0.385,0.467,0.846,0.462,0.549,-,7.4%,-,3.6%,93.8,288.8,3,1,7.7%,7.7%,30.8%,53.8%,30.8%,70.9,4.0%,44.0%,16.0%,92.6%,46.2%,15.4%,50.0%,30.8%,53.8%,61.5%,38.5%,-,22.2%
Nolan Arenado RHB,,+1040,19,12,3.60,1,1,0.500,0.500,0.917,0.417,0.609,-,3.8%,8.3%,2.0%,88.0,345.8,3,2,18.2%,18.2%,18.2%,54.5%,27.3%,71.2,8.3%,33.3%,12.5%,92.3%,36.4%,18.2%,50.0%,18.2%,63.6%,36.4%,63.6%,-,46.7%
Geraldo Perdomo SHB,,+1520,6,12,4.20,1,1,0.300,0.417,0.600,0.300,0.432,16.7%,6.2%,8.3%,1.8%,90.6,261.9,2,1,11.1%,11.1%,44.4%,33.3%,33.3%,68.5,-,46.7%,13.3%,100.0%,55.5%,33.3%,33.3%,22.2%,44.4%,88.9%,11.1%,-,9.1%
Gabriel Moreno RHB,,+1140,17,19,3.60,0,0,0.562,0.632,0.625,0.062,0.544,15.8%,13.3%,5.3%,5.5%,91.2,262.6,0,0,-,-,6.7%,40.0%,26.7%,71.3,11.5%,42.3%,15.4%,86.7%,33.3%,13.3%,0.0%,20.0%,66.7%,40.0%,40.0%,20.0%,16.7%
Tommy Troy RHB,,+1380,22,15,3.40,0,1,0.071,0.133,0.143,0.071,0.128,6.7%,21.7%,20.0%,8.3%,74.9,189.6,1,1,9.1%,-,9.1%,9.1%,27.3%,71.8,35.0%,10.0%,5.0%,95.2%,27.3%,-,-,27.3%,54.5%,27.3%,18.2%,54.5%,20.0%
Adrian Del Castillo LHB,,+372,24,14,3.20,0,0,0.167,0.286,0.167,-,0.220,14.3%,14.3%,14.3%,6.6%,92.2,190.5,0,0,-,-,20.0%,40.0%,40.0%,72.5,33.3%,33.3%,11.1%,100.0%,30.0%,-,-,30.0%,60.0%,40.0%,50.0%,10.0%,22.2%
Corbin Carroll LHB,,+484,22,13,4.20,0,1,0.333,0.385,0.667,0.333,0.436,7.7%,24.1%,15.4%,13.5%,91.1,269.4,2,1,10.0%,10.0%,50.0%,40.0%,40.0%,76.3,70.4%,22.2%,14.8%,96.4%,50.0%,10.0%,0.0%,40.0%,50.0%,100.0%,-,-,23.1%
LuJames Groover RHB,,+719,13,11,3.60,0,0,0.182,0.182,0.182,-,0.162,-,28.6%,27.3%,9.8%,95.5,175.6,0,0,-,-,-,85.7%,42.9%,72.0,15.4%,46.2%,23.1%,92.9%,42.9%,-,-,42.9%,42.9%,28.6%,42.9%,28.6%,41.2%
Ildemaro Vargas SHB,—,N/A,16,10,3.00,0,0,0.100,0.100,0.200,0.100,0.127,-,28.6%,20.0%,14.3%,93.2,272.3,1,0,-,-,12.5%,37.5%,25.0%,72.2,20.0%,50.0%,20.0%,83.3%,37.5%,12.5%,0.0%,25.0%,62.5%,50.0%,37.5%,12.5%,14.3%
Max Kepler LHB,,+690,-,8,3.25,0,0,0.250,0.250,0.375,0.125,0.270,-,25.0%,12.5%,14.8%,84.6,276.7,3,1,-,-,28.6%,42.9%,57.1%,69.4,14.3%,21.4%,14.3%,93.3%,85.7%,28.6%,0.0%,57.1%,14.3%,42.9%,42.9%,14.3%,50.0%
Jorge Barrosa SHB,—,N/A,13,6,2.60,0,0,0.250,0.500,0.250,-,0.365,33.3%,33.3%,16.7%,8.8%,88.6,200.6,0,0,-,-,66.7%,66.7%,33.3%,69.5,-,33.3%,16.7%,66.7%,33.3%,-,-,33.3%,33.3%,66.7%,33.3%,-,0.0%
